DateTime,Entries,UniqueIPs
1516321474,123547,123547
1516321957,123555,123555
1516322434,123567,123567
1516322893,123571,123571
1516323402,123572,123572
1516323861,123564,123564
1516324359,123569,123569
1516325088,123581,123581
1516325554,123590,123590
1516326035,123585,123585
1516326501,123589,123589
1516326970,123602,123602
1516327486,123609,123609
1516327934,123608,123608
1516328688,123618,123618
1516329141,123615,123615
1516329650,123620,123620
1516330364,123618,123618
1516330829,123629,123629
1516331327,123628,123628
1516331789,123639,123639
1516332278,123642,123642
1516333011,123653,123653
1516333461,123646,123646
1516334210,123651,123651
1516334674,123653,123653
1516335413,123665,123665
1516335860,123658,123658
1516336369,123671,123671
1516337083,123670,123670
1516337551,123679,123679
1516338055,123675,123675
1516338521,123686,123686
1516339251,123707,123707
1516339703,123714,123714
1516340174,123705,123705
1516340686,123726,123726
1516341139,123734,123734
1516341647,123748,123748
1516342366,123763,123763
1516342831,123773,123773
1516343323,123781,123781
1516343785,123797,123797
1516344254,123793,123793
1516344851,123803,123803
1516345218,123805,123805
1516346184,123823,123823
1516347145,123845,123845
1516348363,123858,123858
1516349291,123865,123865
1516350255,123877,123877
1516351236,123887,123887
1516352173,123870,123870
1516353141,123893,123893
1516354097,123905,123905
1516355056,123906,123906
1516356021,123907,123907
1516356990,123919,123919
1516357940,123927,123927
1516358901,123933,123933
1516359892,123940,123940
1516360815,123933,123933
1516361786,123929,123929
1516362733,123933,123933
1516363828,123929,123929
1516364911,123940,123940
1516365880,123951,123951
1516367065,123967,123967
1516368019,123978,123978
1516368985,124004,124004
1516370204,124018,124018
1516371382,124033,124033
1516372337,124029,124029
1516373301,124038,124038
1516374261,124062,124062
1516375213,124076,124076
1516376170,124081,124081
1516377146,124101,124101
1516378349,124109,124109
1516379295,124129,124129
1516380272,124133,124133
1516381477,124151,124151
1516382435,124169,124169
1516383406,124171,124171
1516384345,124155,124155
1516385569,124183,124183
1516386499,124189,124189
1516387463,124199,124199
1516388423,124210,124210
1516389400,124201,124201
1516390363,124198,124198
1516391321,124198,124198
1516392260,124214,124214
1516393213,124235,124235
1516394202,124201,124201
1516395162,124200,124200
1516396102,124207,124207
1516397321,124210,124210
1516398282,124196,124196
1516399220,123453,123453
1516400183,123484,123484
1516401161,123478,123478
1516402122,123513,123513
1516403314,123520,123520
1516404261,123515,123515
1516405218,123510,123510
1516406185,123526,123526
1516407147,123530,123530
1516408102,123538,123538
1516409062,123522,123522
1516410024,123530,123530
1516410990,123545,123545
1516411941,123562,123562
1516412902,123560,123560
1516413868,123575,123575
1516414823,123586,123586
1516415779,123585,123585
1516416740,123602,123602
1516417703,123608,123608
1516418670,123623,123623
1516419623,123630,123630
1516420576,123636,123636
1516421812,123655,123655
1516422758,123659,123659
1516423951,123678,123678
1516424904,123690,123690
1516426095,123703,123703
1516427064,123723,123723
1516428023,123735,123735
1516428985,123746,123746
1516429936,123752,123752
1516430895,123769,123769
1516431980,123780,123780
1516433052,123786,123786
1516434030,123794,123794
1516434971,123800,123800
1516435963,123798,123798
1516436896,123819,123819
1516437857,123821,123821
1516438824,123836,123836
1516440049,123848,123848
1516441219,123866,123866
1516442197,123875,123875
1516443164,123892,123892
1516444123,123905,123905
1516445575,123904,123904
1516446488,123917,123917
1516447476,123893,123893
1516448416,123909,123909
1516449397,123912,123912
1516450608,123932,123932
1516451554,123960,123960
1516452501,123954,123954
1516453469,123975,123975
1516454422,123985,123985
1516455384,123966,123966
1516456344,123974,123974
1516457312,123978,123978
1516458498,123984,123984
1516459467,123978,123978
1516460418,123995,123995
1516461407,123992,123992
1516462334,123996,123996
1516463307,123992,123992
1516464262,124006,124006
1516465225,124013,124013
1516466171,124023,124023
1516467160,124015,124015
1516468098,124030,124030
1516469075,124039,124039
1516470012,124012,124012
1516470997,124010,124010
1516471940,124003,124003
1516472898,124011,124011
1516473857,124002,124002
1516474832,124006,124006
1516475783,123996,123996
1516476746,124007,124007
1516477697,124006,124006
1516478674,124040,124040
1516479617,124038,124038
1516480586,124050,124050
1516481532,124039,124039
1516482522,124044,124044
1516483454,124038,124038
1516484417,124039,124039
1516485393,124042,124042
1516486341,123722,123722
1516487293,123700,123700
1516488291,123672,123672
1516489225,123697,123697
1516490214,123683,123683
1516491648,123677,123677
1516492574,123683,123683
1516493548,123682,123682
1516494497,123680,123680
1516495480,123663,123663
1516496420,123677,123677
1516497382,123670,123670
1516498335,123671,123671
1516499315,123662,123662
1516500260,123673,123673
1516501217,123664,123664
1516502195,123664,123664
1516503134,123670,123670
1516504105,123657,123657
1516505068,123672,123672
1516506012,123673,123673
1516506982,123692,123692
1516507944,123695,123695
1516508895,123707,123707
1516509870,123710,123710
1516510825,123731,123731
1516511776,123737,123737
1516512762,123725,123725
1516513700,123739,123739
1516514663,123745,123745
1516515621,123741,123741
1516516606,123745,123745
1516517534,123744,123744
1516518495,123743,123743
1516519476,123732,123732
1516520420,123743,123743
1516521373,123728,123728
1516522364,123737,123737
1516523293,123741,123741
1516524259,123727,123727
1516525246,123733,123733
1516526209,123726,123726
1516527134,123737,123737
1516528101,123722,123722
1516529061,123716,123716
1516530035,123721,123721
1516531223,123735,123735
1516532193,123733,123733
1516533137,123727,123727
1516534092,123708,123708
1516535081,123704,123704
1516536022,123710,123710
1516537096,123703,123703
1516538181,123705,123705
