DateTime,AddedIPs,RemovedIPs
1516321474,5,8
1516321957,768,775
1516322434,11,15
1516322893,729,719
1516323402,0,17
1516323861,856,848
1516324359,5,21
1516325088,804,803
1516325554,9,6
1516326035,478,484
1516326501,4,13
1516326970,727,732
1516327486,8,14
1516327934,877,879
1516328688,11,10
1516329141,668,662
1516329650,6,10
1516330364,743,745
1516330829,12,14
1516331327,802,806
1516331789,11,11
1516332278,938,941
1516333011,12,14
1516333461,751,753
1516334210,4,20
1516334674,858,865
1516335413,13,11
1516335860,871,868
1516336369,16,15
1516337083,917,909
1516337551,10,11
1516338055,812,811
1516338521,11,10
1516339251,893,899
1516339703,7,10
1516340174,283,281
1516340686,22,12
1516341139,1063,1068
1516341647,13,10
1516342366,945,946
1516342831,12,21
1516343323,606,615
1516343785,16,7
1516344254,353,356
1516344851,11,13
1516345218,682,688
1516346184,811,812
1516347145,741,735
1516348363,896,895
1516349291,598,592
1516350255,365,357
1516351236,971,964
1516352173,341,337
1516353141,932,930
1516354097,515,517
1516355056,724,725
1516356021,577,577
1516356990,504,503
1516357940,707,695
1516358901,649,647
1516359892,658,651
1516360815,320,323
1516361786,679,687
1516362733,676,680
1516363828,786,797
1516364911,759,762
1516365880,630,623
1516367065,972,959
1516368019,406,410
1516368985,734,716
1516370204,806,812
1516371382,804,785
1516372337,701,698
1516373301,575,577
1516374261,685,684
1516375213,923,932
1516376170,470,467
1516377146,511,495
1516378349,829,819
1516379295,836,825
1516380272,785,776
1516381477,853,863
1516382435,816,835
1516383406,586,593
1516384345,387,386
1516385569,951,959
1516386499,599,598
1516387463,777,761
1516388423,704,695
1516389400,656,659
1516390363,539,540
1516391321,692,687
1516392260,781,779
1516393213,695,704
1516394202,746,752
1516395162,588,597
1516396102,546,536
1516397321,762,739
1516398282,699,683
1516399220,430,426
1516400183,1857,1867
1516401161,732,736
1516402122,803,802
1516403314,752,748
1516404261,335,332
1516405218,767,762
1516406185,686,695
1516407147,688,694
1516408102,718,735
1516409062,637,635
1516410024,515,516
1516410990,759,767
1516411941,442,458
1516412902,853,869
1516413868,703,714
1516414823,800,803
1516415779,627,619
1516416740,689,707
1516417703,501,495
1516418670,862,861
1516419623,628,637
1516420576,332,337
1516421812,1261,1249
1516422758,319,321
1516423951,822,816
1516424904,815,816
1516426095,871,864
1516427064,826,832
1516428023,802,806
1516428985,547,544
1516429936,482,484
1516430895,792,801
1516431980,850,843
1516433052,825,816
1516434030,665,672
1516434971,466,468
1516435963,528,527
1516436896,829,825
1516437857,749,759
1516438824,702,699
1516440049,837,831
1516441219,689,705
1516442197,586,590
1516443164,863,886
1516444123,475,479
1516445575,973,973
1516446488,538,534
1516447476,668,666
1516448416,704,705
1516449397,594,587
1516450608,856,849
1516451554,756,748
1516452501,459,456
1516453469,732,738
1516454422,743,738
1516455384,506,515
1516456344,574,558
1516457312,501,501
1516458498,604,613
1516459467,656,656
1516460418,836,839
1516461407,574,578
1516462334,632,630
1516463307,591,584
1516464262,705,701
1516465225,641,641
1516466171,244,241
1516467160,989,984
1516468098,490,481
1516469075,730,733
1516470012,685,692
1516470997,648,655
1516471940,330,328
1516472898,739,745
1516473857,737,733
1516474832,521,520
1516475783,754,744
1516476746,712,715
1516477697,374,377
1516478674,887,876
1516479617,524,529
1516480586,759,758
1516481532,639,639
1516482522,464,470
1516483454,794,775
1516484417,599,594
1516485393,614,612
1516486341,1764,1784
1516487293,484,481
1516488291,626,623
1516489225,786,794
1516490214,690,687
1516491648,1011,1017
1516492574,541,547
1516493548,664,664
1516494497,547,554
1516495480,633,637
1516496420,695,706
1516497382,591,594
1516498335,709,707
1516499315,508,512
1516500260,820,824
1516501217,383,390
1516502195,709,717
1516503134,776,775
1516504105,556,559
1516505068,600,598
1516506012,557,564
1516506982,629,627
1516507944,731,726
1516508895,584,594
1516509870,685,671
1516510825,325,322
1516511776,714,707
1516512762,733,740
1516513700,639,647
1516514663,549,547
1516515621,651,658
1516516606,522,525
1516517534,665,661
1516518495,619,625
1516519476,626,615
1516520420,436,435
1516521373,646,637
1516522364,710,709
1516523293,717,713
1516524259,507,518
1516525246,614,616
1516526209,416,419
1516527134,527,533
1516528101,633,648
1516529061,533,534
1516530035,527,536
1516531223,807,795
1516532193,439,441
1516533137,664,655
1516534092,620,627
1516535081,617,627
1516536022,566,559
1516537096,526,534
1516538181,801,795
1516539139,548,540
1516540091,400,404
1516541060,664,660
1516542025,506,509
1516542972,625,631
