DateTime,Entries,UniqueIPs
1516321474,2543,2543
1516321957,2536,2536
1516322434,2532,2532
1516322893,2542,2542
1516323402,2525,2525
1516323861,2533,2533
1516324359,2517,2517
1516325088,2518,2518
1516325554,2521,2521
1516326035,2515,2515
1516326501,2506,2506
1516326970,2501,2501
1516327486,2495,2495
1516327934,2493,2493
1516328688,2494,2494
1516329141,2500,2500
1516329650,2496,2496
1516330364,2494,2494
1516330829,2492,2492
1516331327,2488,2488
1516331789,2488,2488
1516332278,2485,2485
1516333011,2483,2483
1516333461,2481,2481
1516334210,2465,2465
1516334674,2458,2458
1516335413,2460,2460
1516335860,2463,2463
1516336369,2464,2464
1516337083,2472,2472
1516337551,2471,2471
1516338055,2472,2472
1516338521,2473,2473
1516339251,2467,2467
1516339703,2464,2464
1516340174,2466,2466
1516340686,2476,2476
1516341139,2471,2471
1516341647,2474,2474
1516342366,2473,2473
1516342831,2464,2464
1516343323,2455,2455
1516343785,2464,2464
1516344254,2461,2461
1516344851,2459,2459
1516345218,2453,2453
1516346184,2452,2452
1516347145,2458,2458
1516348363,2459,2459
1516349291,2465,2465
1516350255,2473,2473
1516351236,2480,2480
1516352173,2484,2484
1516353141,2486,2486
1516354097,2484,2484
1516355056,2483,2483
1516356021,2483,2483
1516356990,2484,2484
1516357940,2496,2496
1516358901,2498,2498
1516359892,2505,2505
1516360815,2502,2502
1516361786,2494,2494
1516362733,2490,2490
1516363828,2479,2479
1516364911,2476,2476
1516365880,2483,2483
1516367065,2496,2496
1516368019,2492,2492
1516368985,2510,2510
1516370204,2504,2504
1516371382,2523,2523
1516372337,2526,2526
1516373301,2524,2524
1516374261,2525,2525
1516375213,2516,2516
1516376170,2519,2519
1516377146,2535,2535
1516378349,2545,2545
1516379295,2556,2556
1516380272,2565,2565
1516381477,2555,2555
1516382435,2536,2536
1516383406,2529,2529
1516384345,2530,2530
1516385569,2522,2522
1516386499,2523,2523
1516387463,2539,2539
1516388423,2548,2548
1516389400,2545,2545
1516390363,2544,2544
1516391321,2549,2549
1516392260,2551,2551
1516393213,2542,2542
1516394202,2536,2536
1516395162,2527,2527
1516396102,2537,2537
1516397321,2560,2560
1516398282,2576,2576
1516399220,2580,2580
1516400183,2570,2570
1516401161,2566,2566
1516402122,2567,2567
1516403314,2571,2571
1516404261,2574,2574
1516405218,2579,2579
1516406185,2570,2570
1516407147,2564,2564
1516408102,2547,2547
1516409062,2549,2549
1516410024,2548,2548
1516410990,2540,2540
1516411941,2524,2524
1516412902,2508,2508
1516413868,2497,2497
1516414823,2494,2494
1516415779,2502,2502
1516416740,2484,2484
1516417703,2490,2490
1516418670,2491,2491
1516419623,2482,2482
1516420576,2477,2477
1516421812,2489,2489
1516422758,2487,2487
1516423951,2493,2493
1516424904,2492,2492
1516426095,2499,2499
1516427064,2493,2493
1516428023,2489,2489
1516428985,2492,2492
1516429936,2490,2490
1516430895,2481,2481
1516431980,2488,2488
1516433052,2497,2497
1516434030,2490,2490
