DateTime,Entries,UniqueIPs
1516295565,1324,1345
1516296516,1331,1352
1516297488,1330,1351
1516298943,1336,1357
1516300095,1347,1368
1516301330,1341,1362
1516302276,1339,1360
1516303492,1350,1371
1516304443,1349,1370
1516305406,1357,1378
1516306364,1355,1376
1516307320,1357,1378
1516308284,1354,1375
1516309466,1353,1374
1516310658,1349,1370
1516311887,1357,1378
1516312852,1358,1379
1516314058,1353,1374
1516314989,1354,1375
1516315951,1362,1383
1516316910,1359,1380
1516318130,1360,1381
1516319558,1349,1370
1516320515,1334,1355
1516321474,1315,1336
1516322434,1295,1316
1516323402,1287,1308
1516324359,1253,1274
1516325554,1255,1276
1516326501,1243,1264
1516327486,1235,1256
1516328688,1239,1260
1516329650,1237,1258
1516330829,1227,1248
1516331789,1238,1259
1516333011,1227,1248
1516334210,1222,1243
1516335413,1228,1249
1516336369,1234,1255
1516337551,1232,1253
1516338521,1238,1259
1516339703,1230,1251
1516340686,1238,1259
1516341647,1231,1252
1516342831,1242,1264
1516343785,1257,1279
1516344851,1230,1252
1516346182,1237,1259
1516347142,1247,1269
1516348360,1247,1269
1516349289,1242,1264
1516350253,1245,1267
1516351233,1248,1270
1516352171,1249,1271
1516353139,1250,1272
1516354095,1260,1282
1516355054,1247,1269
1516356019,1255,1277
1516356988,1247,1269
1516357937,1247,1269
1516358898,1258,1280
1516359889,1252,1273
1516360813,1250,1271
1516361784,1257,1278
1516362730,1263,1284
1516363825,1259,1280
1516364908,1253,1274
1516365878,1257,1278
1516367063,1207,1226
1516368016,1214,1233
1516368982,1225,1244
1516370202,1231,1250
1516371380,1238,1257
1516372334,1241,1260
1516373299,1249,1268
1516374259,1255,1274
1516375210,1262,1281
1516376168,1267,1286
1516377143,1285,1304
1516378347,1283,1302
1516379292,1283,1302
1516380270,1294,1313
1516381474,1296,1317
1516382433,1298,1319
1516383404,1294,1315
1516384343,1292,1311
1516385567,1297,1314
1516386496,1300,1317
1516387460,1316,1334
1516388421,1310,1329
1516389398,1310,1329
1516390361,1302,1319
1516391320,1299,1315
1516392258,1292,1307
1516393210,1290,1305
1516394199,1287,1302
1516395160,1285,1300
1516396100,1280,1293
1516397319,1284,1296
1516398278,1289,1301
1516399217,1291,1303
1516400181,1293,1305
1516401159,1294,1306
1516402120,1295,1307
1516403312,1290,1299
1516404259,1294,1303
1516405216,1288,1300
1516406183,1286,1297
1516407145,1279,1290
1516408100,1270,1280
1516409059,1260,1271
1516410022,1239,1251
1516410988,1234,1246
1516411939,1241,1253
1516412900,1232,1244
1516413865,1226,1239
1516414821,1224,1237
1516415776,1215,1229
1516416737,1208,1222
1516417701,1204,1218
1516418668,1202,1216
1516419621,1190,1203
1516420573,1201,1214
1516421809,1205,1218
1516422755,1195,1208
1516423948,1200,1212
1516424901,1200,1212
1516426094,1199,1213
1516427062,1200,1214
1516428021,1198,1212
1516428983,1187,1201
1516429933,1190,1204
1516430892,1184,1198
1516431977,1184,1200
1516433050,1183,1199
1516434028,1177,1193
1516434969,1180,1196
1516435962,1175,1191
1516436893,1180,1196
1516437855,1183,1199
1516438822,1188,1204
1516440047,1196,1213
1516441217,1201,1218
1516442195,1201,1219
1516443162,1198,1216
1516444120,1197,1216
1516445573,1197,1216
1516446486,1198,1217
1516447474,1200,1219
1516448413,1204,1224
1516449395,1197,1217
1516450605,1204,1225
1516451551,1212,1234
1516452499,1211,1233
1516453467,1213,1235
1516454420,1213,1236
1516455382,1214,1237
1516456341,1220,1244
1516457309,1220,1244
1516458496,1221,1245
1516459464,1223,1247
1516460416,1231,1255
1516461405,1226,1250
1516462332,1223,1249
1516463306,1222,1251
1516464260,1226,1256
1516465222,1229,1259
1516466170,1232,1262
1516467158,1221,1251
1516468096,1199,1229
1516469073,1198,1227
1516470009,1199,1228
1516470995,1194,1223
1516471937,1200,1229
1516472896,1202,1231
1516473854,1208,1237
1516474829,1203,1232
1516475781,1212,1241
1516476743,1209,1238
1516477695,1214,1243
1516478671,1218,1247
1516479614,1216,1245
1516480584,1223,1252
1516481530,1224,1253
1516482520,1221,1250
1516483452,1226,1255
1516484414,1222,1251
1516485390,1221,1250
1516486339,1218,1249
1516487291,1214,1245
1516488289,1216,1247
1516489223,1213,1244
1516490212,1214,1245
1516491645,1215,1246
1516492573,1217,1248
1516493545,1213,1244
1516494495,1206,1237
1516495478,1192,1223
1516496418,1195,1226
1516497380,1191,1222
1516498333,1172,1203
1516499313,1137,1167
1516500257,1145,1175
1516501214,1133,1163
1516502192,1118,1148
1516503131,1127,1157
1516504103,1118,1148
1516505065,1133,1163
1516506009,1125,1155
1516506980,1104,1134
1516507942,1115,1145
1516508893,1110,1140
1516509868,1115,1145
1516510823,1123,1153
1516511774,1120,1150
1516512760,1116,1146
1516513697,1108,1138
1516514660,1113,1143
1516515618,1113,1143
1516516603,1110,1140
1516517532,1111,1136
1516518493,1116,1137
1516519473,1116,1136
1516520418,1133,1153
1516521371,1116,1133
1516522362,1129,1146
1516523290,1125,1142
1516524256,1104,1120
1516525244,1104,1119
1516526207,1110,1125
1516527132,1101,1116
1516528099,1094,1108
1516529058,1084,1097
1516530033,1076,1089
1516531221,1083,1096
1516532191,1079,1092
1516533135,1076,1089
1516534089,1074,1087
1516535079,1072,1085
1516536020,1074,1087
1516537094,1071,1084
1516538179,1073,1086
1516539137,1074,1087
1516540089,1074,1086
1516541058,1080,1092
1516542023,1080,1092
1516542969,1083,1095
1516543946,1079,1091
1516544892,1084,1096
1516545865,1079,1091
1516546844,1080,1092
1516547773,1083,1095
1516548755,1083,1095
1516549697,1085,1097
1516550666,1068,1080
1516551610,1078,1090
1516552592,1068,1079
1516553530,1073,1084
1516554491,1070,1081
1516555471,1065,1074
1516556410,1057,1065
1516557370,1060,1068
1516558356,1050,1058
1516559290,1051,1059
1516560255,1035,1043
1516561220,1037,1045
1516562188,1033,1040
1516563133,1035,1042
1516564117,1029,1035
1516566010,1030,1036
1516566992,1023,1029
1516567938,1021,1027
1516568893,1023,1029
1516569874,1024,1029
1516570809,1028,1033
1516571770,1028,1032
1516572754,1018,1022
1516573694,1020,1024
1516574678,1024,1028
1516575635,1023,1027
1516576620,1021,1023
1516577692,1025,1027
1516578757,1021,1023
1516579717,1021,1023
1516580664,1013,1015
1516581628,1004,1006
1516582589,995,997
1516583548,988,990
1516584494,988,990
1516585459,995,997
1516586415,986,988
1516587389,982,984
1516588336,975,977
1516589320,973,975
1516590271,985,987
1516591214,989,991
1516592184,990,992
1516593142,987,989
1516594091,1000,1002
1516595065,1000,1002
1516596009,1009,1011
1516596976,1009,1010
1516597946,1013,1014
1516598898,1018,1019
1516599870,1021,1022
1516600815,1018,1019
1516601782,1012,1013
1516602752,1018,1019
1516603699,1022,1023
1516604671,1031,1032
1516605611,1049,1050
1516606592,1048,1049
1516607531,1052,1053
1516608506,1048,1049
1516609463,1048,1049
1516610425,1042,1043
1516611378,1038,1039
1516612339,1042,1043
1516613295,1034,1035
1516614523,1047,1048
1516615459,1049,1050
1516616414,1056,1057
1516617393,1054,1055
1516618330,1064,1065
1516619558,1063,1064
1516620494,1062,1063
1516621456,1069,1070
1516622421,1041,1041
1516623399,1057,1057
1516624341,1058,1058
1516625294,1055,1055
1516626259,1057,1057
1516627236,1055,1055
1516628175,1053,1053
1516629139,1055,1055
1516630105,1059,1059
1516631054,1066,1066
1516632025,1067,1067
1516632972,1066,1066
1516633934,1070,1070
1516634913,1072,1072
1516635860,1073,1073
1516636816,1073,1073
1516637806,1074,1074
1516638980,1075,1075
1516639929,1069,1069
1516640915,1066,1066
1516641851,1077,1077
1516642815,1069,1069
1516643791,1074,1074
1516644737,1079,1079
1516645693,1082,1082
1516646674,1091,1091
1516647619,1098,1098
1516648584,1101,1101
1516649542,1094,1094
1516650503,1101,1101
1516651460,1099,1099
1516652415,1092,1092
1516653394,1088,1088
1516654330,1093,1093
1516655295,1088,1088
1516657017,1097,1097
1516657934,1101,1101
1516658899,1102,1102
1516659875,1095,1095
1516660838,1097,1097
1516661769,1096,1096
1516662742,1095,1095
1516664064,1096,1096
1516665146,1097,1097
1516666088,1095,1095
1516667067,1075,1075
1516668014,1083,1083
1516668986,1079,1079
1516669946,1067,1067
1516670896,1049,1049
1516671865,1044,1044
1516672822,1044,1044
1516673787,1055,1055
1516674739,1031,1031
1516675696,1039,1039
1516676684,1033,1034
1516677646,1040,1041
1516678577,1052,1053
1516679531,1053,1054
1516680504,1042,1043
1516681464,1056,1057
1516682413,1052,1053
1516683385,1055,1056
1516684392,1052,1053
1516685293,1068,1069
1516686265,1069,1070
1516687219,1065,1066
1516688180,1078,1079
1516689186,1070,1071
1516690093,1086,1087
1516691061,1083,1084
1516692045,1097,1098
1516692973,1101,1102
1516693950,1103,1104
1516694892,1114,1115
1516695853,1120,1121
1516696813,1120,1121
1516697795,1117,1118
1516698742,1125,1126
1516699697,1133,1134
1516700679,1137,1138
1516701622,1138,1139
1516702575,1136,1137
1516703556,1142,1143
1516704494,1137,1138
1516705467,1146,1147
1516706423,1146,1147
1516707373,1148,1149
1516708333,1148,1149
1516709420,1150,1151
1516710501,1148,1149
1516711457,1150,1151
1516712421,1151,1152
1516713398,1155,1156
1516714336,1159,1160
1516715296,1159,1160
1516716282,1162,1163
1516717212,1163,1165
1516718181,1162,1164
1516719141,1160,1162
1516720100,1163,1165
1516721068,1171,1173
1516722012,1168,1170
1516723255,1164,1166
1516724178,1173,1175
1516725403,1170,1172
1516726335,1173,1175
1516727316,1175,1177
1516728261,1177,1179
1516729218,1179,1181
1516730940,1185,1187
1516731851,1187,1189
1516732830,1189,1191
1516733768,1196,1198
1516734756,1195,1197
1516735692,1197,1199
1516736665,1201,1203
1516737611,1204,1206
1516738589,1207,1209
1516739536,1208,1210
1516740522,1213,1215
1516741459,1214,1216
1516742422,1210,1212
1516743374,1212,1214
1516744354,1210,1212
1516745294,1215,1217
1516746262,1214,1216
1516747211,1222,1224
1516748221,1217,1219
1516749131,1222,1224
1516750708,1217,1219
1516751778,1220,1222
1516752756,1223,1225
1516753691,1219,1221
1516754667,1215,1217
1516755632,1202,1204
1516756586,1196,1198
1516757804,1165,1167
1516758735,1155,1157
1516759691,1159,1161
1516760673,1156,1158
1516761612,1153,1155
1516762569,1137,1139
1516763555,1139,1141
1516764490,1145,1147
1516765454,1149,1151
1516766439,1147,1149
1516767624,1145,1147
1516768578,1141,1143
1516769552,1146,1148
1516770524,1152,1154
1516771452,1148,1150
1516772416,1148,1150
1516773394,1148,1150
1516774357,1139,1141
1516775376,1141,1143
1516776517,1135,1137
1516777454,1148,1150
1516778411,1149,1151
1516779391,1157,1159
1516780429,1156,1158
1516782059,1165,1167
1516782973,1175,1177
1516783938,1179,1181
1516784905,1187,1189
1516786128,1181,1183
1516787053,1190,1192
1516788031,1188,1190
1516788994,1191,1193
1516789940,1199,1201
1516790901,1199,1201
1516791862,1206,1208
1516792815,1202,1204
