DateTime,AddedIPs,RemovedIPs
1516293397,9,7
1516294349,5,9
1516295565,15,7
1516296516,11,4
1516297488,11,5
1516298943,10,5
1516300095,14,3
1516301330,7,6
1516302276,0,9
1516303492,16,11
1516304443,12,0
1516305406,11,23
1516306364,8,4
1516307320,2,14
1516308284,8,0
1516309466,3,9
1516310658,2,8
1516311887,9,24
1516312852,6,0
1516314058,5,4
1516314989,2,2
1516315951,9,7
1516316910,3,4
1516318130,6,9
1516319558,7,12
1516320515,8,32
1516321474,5,23
1516322434,11,20
1516323402,0,16
1516324359,5,21
1516325554,9,2
1516326501,4,26
1516327486,8,11
1516328688,11,9
1516329650,6,11
1516330829,12,12
1516331789,11,12
1516333011,12,21
1516334210,4,18
1516335413,13,16
1516336369,16,21
1516337551,10,6
1516338521,11,6
1516339703,7,9
1516340686,22,20
1516341647,13,10
1516342831,12,10
1516343785,16,5
1516344851,11,16
1516346182,13,19
1516347142,11,8
1516348360,14,17
1516349289,7,12
1516350253,10,11
1516351233,12,8
1516352171,7,21
1516353139,12,0
1516354095,13,24
1516355054,3,19
1516356019,8,10
1516356988,7,13
1516357937,13,9
1516358898,12,6
1516359889,10,5
1516360813,4,8
1516361784,7,6
1516362730,9,13
1516363825,7,13
1516364908,5,8
1516365878,13,8
1516367063,10,3
1516368016,7,5
1516368982,11,8
1516370202,6,5
1516371380,7,12
1516372334,3,8
1516373299,8,4
1516374259,6,6
1516375210,7,13
1516376168,5,0
1516377143,18,4
1516378347,8,8
1516379292,7,3
1516380270,12,2
1516381474,8,3
1516382433,9,6
1516383404,4,10
1516384343,5,2
1516385567,11,4
1516386496,8,4
1516387460,17,2
1516388421,5,6
1516389398,8,13
1516390361,5,5
1516391320,5,13
1516392258,7,8
1516393210,1,0
1516394199,7,10
1516395160,4,6
1516396100,5,3
1516397319,9,5
1516398278,5,3
1516399217,9,7
1516400181,6,5
1516401159,8,8
1516402120,8,0
1516403312,9,12
1516404259,4,7
1516405216,4,13
1516406183,5,10
1516407145,1,21
1516408100,5,21
1516409059,8,17
1516410022,2,0
1516410988,1,22
1516411939,7,0
1516412900,7,20
1516413865,11,11
1516414821,8,7
1516415776,3,18
1516416737,7,18
1516417701,9,19
1516418668,14,10
1516419621,8,6
1516420573,11,14
1516421809,17,20
1516422755,5,7
1516423948,15,16
1516424901,10,9
1516426094,11,5
1516427062,14,10
1516428021,8,6
1516428983,10,12
1516429933,11,12
1516430892,8,0
1516431977,14,40
1516433050,10,11
1516434028,7,8
1516434969,10,14
1516435962,6,10
1516436893,14,0
1516437855,7,17
1516438822,12,8
1516440047,16,17
1516441217,8,6
1516442195,8,8
1516443162,3,7
1516444120,8,0
1516445573,8,25
1516446486,6,6
1516447474,8,7
1516448413,11,6
1516449395,5,3
1516450605,17,9
1516451551,12,7
1516452499,3,3
1516453467,8,13
1516454420,11,5
1516455382,1,9
1516456341,13,0
1516457309,4,6
1516458496,3,18
1516459464,9,11
1516460416,9,0
1516461405,3,9
1516462332,5,8
1516463306,6,8
1516464260,9,5
1516465222,6,12
1516466170,6,12
1516467158,6,7
1516468096,6,16
1516469073,7,38
1516470009,4,13
1516470995,4,7
1516471937,6,0
1516472896,9,10
