DateTime,AddedIPs,RemovedIPs
1516295565,15,4
1516296516,11,7
1516297488,11,8
1516298943,10,9
1516300095,14,8
1516301330,7,5
1516302276,0,10
1516303492,16,8
1516304443,12,15
1516305406,11,9
1516306364,8,15
1516307320,2,3
1516308284,8,10
1516309466,3,6
1516310658,2,12
1516311887,9,6
1516312852,6,7
1516314058,5,4
1516314989,2,7
1516315951,9,7
1516316910,3,7
1516318130,6,10
1516319558,7,7
1516320515,8,8
1516321474,5,8
1516322434,11,15
1516323402,0,17
1516324359,5,22
1516325554,9,6
1516326501,4,16
1516327486,8,16
1516328688,11,10
1516329650,6,11
1516330829,12,14
1516331789,11,13
1516333011,12,16
1516334210,4,21
1516335413,13,13
1516336369,16,15
1516337551,10,11
1516338521,11,10
1516339703,7,10
1516340686,22,13
1516341647,13,10
1516342831,12,21
1516343785,16,8
1516344851,11,14
1516346182,13,12
1516347142,11,11
1516348360,14,13
1516349289,7,7
1516350253,10,11
1516351233,12,9
1516352171,7,4
1516353139,12,7
1516354095,13,7
1516355054,3,3
1516356019,8,7
1516356988,7,6
1516357937,13,8
1516358898,12,8
1516359889,10,0
1516360813,4,5
1516361784,7,6
1516362730,9,6
1516363825,7,12
1516364908,5,9
1516365878,13,3
1516367063,10,4
1516368016,7,6
1516368982,11,10
1516370202,6,6
1516371380,7,4
1516372334,3,2
1516373299,8,7
1516374259,6,1
1516375210,7,8
1516376168,5,6
1516377143,18,4
1516378347,8,4
1516379292,7,3
1516380270,12,3
1516381474,8,17
1516382433,9,28
1516383404,4,9
1516384343,5,3
1516385567,11,9
1516386496,8,7
1516387460,17,3
1516388421,5,1
1516389398,8,11
1516390361,5,5
1516391320,5,0
1516392258,7,2
1516393210,1,5
1516394199,7,7
1516395160,4,5
1516396100,5,3
1516397319,9,2
1516398278,5,6
1516399217,9,4
1516400181,6,8
1516401159,8,4
1516402120,8,4
1516403312,9,5
1516404259,4,6
1516405216,4,2
1516406183,5,5
1516407145,1,6
1516408100,5,15
1516409059,8,15
1516410022,2,4
1516410988,1,8
1516411939,7,24
1516412900,7,15
1516413865,11,23
1516414821,8,17
1516415776,3,1
1516416737,7,20
1516417701,9,0
1516418668,14,14
1516419621,8,12
1516420573,11,16
1516421809,17,15
1516422755,5,9
1516423948,15,9
1516424901,10,6
1516426094,11,11
1516427062,14,17
1516428021,8,12
1516428983,10,4
1516429933,11,8
1516430892,8,10
1516431977,14,13
1516433050,10,6
1516434028,7,12
1516434969,10,14
1516435962,6,8
1516436893,14,9
1516437855,7,13
1516438822,12,13
1516440047,16,11
1516441217,8,21
1516442195,8,12
1516443162,3,18
1516444120,8,13
1516445573,8,2
1516446486,6,6
1516447474,8,10
1516448413,11,3
1516449395,5,6
1516450605,17,7
1516451551,12,13
1516452499,3,5
1516453467,8,9
1516454420,11,6
1516455382,1,5
1516456341,13,3
1516457309,4,4
1516458496,3,7
1516459464,9,4
1516460416,9,3
1516461405,3,4
1516462332,5,2
1516463306,6,6
1516464260,9,4
1516465222,6,15
1516466170,6,3
1516467158,6,9
1516468096,6,6
1516469073,7,13
1516470009,4,9
1516470995,4,3
1516471937,6,4
1516472896,9,9
1516473854,9,9
1516474829,7,7
1516475781,9,4
1516476743,2,5
1516477695,5,7
1516478671,11,5
1516479614,5,2
1516480584,7,6
1516481530,6,4
1516482520,2,4
1516483452,5,2
1516484414,2,2
1516485390,3,7
1516486339,7,10
1516487291,0,2
1516488289,6,4
1516489223,2,4
1516490212,7,3
