DateTime,Entries,UniqueIPs
1516296986,31034,34247
1516298203,31081,34284
1516299654,31173,34407
1516300819,31306,34617
1516301788,31354,34734
1516302769,31399,34806
1516303941,31654,35137
1516304905,31630,35131
1516305861,31622,35136
1516306821,31584,35104
1516307783,31566,35092
1516309010,31538,35040
1516310213,31957,35491
1516311166,32518,35995
1516312344,32612,36096
1516313312,31290,34755
1516314510,31488,34997
1516315472,31401,34884
1516316437,31438,34953
1516317423,31249,34751
1516318968,31347,34878
1516320040,31316,34870
1516321004,31317,34897
1516321957,31380,34990
1516322893,31425,35053
1516323861,31351,34979
1516325088,31266,34876
1516326035,31377,35023
1516326970,31357,35025
1516327934,31377,35058
1516329141,31244,34924
1516330364,31309,35013
1516331327,31291,35009
1516332278,31334,35072
1516333461,31324,35070
1516334674,31439,35203
1516335860,31455,35242
1516337083,31342,35118
1516338055,31326,35069
1516339251,31423,35192
1516340174,31343,35091
1516341139,31435,35209
1516342366,31442,35210
1516343323,31394,35151
1516344254,31248,34991
1516345218,31331,35089
1516346184,31159,34876
1516347145,31109,34835
1516348363,31213,34957
1516349291,31095,34840
1516350255,30908,34638
1516351236,30911,34644
1516352173,30827,34538
1516353141,30856,34609
1516354097,30785,34517
1516355056,30791,34511
1516356021,30744,34457
1516356990,30678,34382
1516357940,30668,34377
1516358901,30509,34190
1516359892,30580,34270
1516360815,30399,34048
1516361786,30533,34213
1516362733,30605,34291
1516363828,30625,34304
1516364911,30381,34005
1516365880,30423,34059
1516367065,30497,34138
1516368019,30150,33715
1516368985,30351,33954
1516370204,30531,34182
1516371382,30715,34406
1516372337,30903,34665
1516373301,31046,34833
1516374261,31191,35018
1516375213,31398,35282
1516376170,31489,35406
1516377146,31596,35531
1516378349,31772,35739
1516379295,31786,35764
1516380272,31781,35758
1516381477,31796,35755
1516382435,31988,35987
1516383406,31675,35583
1516384345,31748,35674
1516385569,31679,35565
1516386499,31597,35469
1516387463,31622,35513
1516388423,31486,35356
1516389400,31170,34854
1516390363,31128,34805
1516391321,31198,34875
1516392260,31388,35089
1516393213,31429,35128
1516394202,31212,34853
1516395162,31368,35022
1516396102,31221,34858
1516397321,31695,35309
1516398282,32014,35614
1516399220,30670,34213
1516400183,30942,34548
1516401161,31062,34697
1516402122,31081,34711
1516403314,31016,34627
1516404261,30839,34412
1516405218,30979,34593
1516406185,30978,34583
1516407147,30858,34436
1516408102,30814,34388
1516409062,30802,34371
1516410024,30681,34225
1516410990,30660,34184
1516411941,30664,34185
1516412902,30706,34209
1516413868,30635,34113
1516414823,30668,34152
1516415779,30640,34122
1516416740,30757,34279
1516417703,30675,34161
1516418670,30613,34075
1516419623,30572,34006
1516420576,30455,33872
1516421812,30502,33914
1516422758,30376,33767
1516423951,30358,33747
1516424904,30323,33703
1516426095,30450,33869
1516427064,30362,33778
1516428023,30353,33754
1516428985,30330,33727
1516429936,30374,33773
1516430895,30362,33774
1516431980,30362,33770
1516433052,30360,33770
1516434030,30297,33703
1516434971,30275,33671
1516435963,30300,33702
1516436896,30223,33630
1516437857,30308,33746
1516438824,30282,33685
1516440049,30448,33900
1516441219,30475,33947
1516442197,30472,33940
1516443164,30573,34065
1516444123,30537,34022
1516445575,30479,33932
1516446488,30529,33987
1516447476,30506,33948
1516448416,30521,33971
1516449397,30446,33899
1516450608,30462,33912
1516451554,30486,33955
1516452501,30367,33806
1516453469,30444,33889
1516454422,30426,33878
1516455384,30533,34006
1516456344,30471,33932
1516457312,30372,33810
1516458498,30336,33793
1516459467,30355,33818
1516460418,30359,33827
1516461407,30248,33658
1516462334,30278,33689
1516463307,30294,33723
1516464262,30250,33653
1516465225,30191,33579
1516466171,30081,33437
1516467160,30113,33481
