DateTime,AddedIPs,RemovedIPs
1516296056,46,23
1516296986,26,13
1516298203,46,29
1516299654,50,37
1516300819,40,22
1516301788,9,19
1516302769,38,12
1516303941,72,29
1516304905,40,12
1516305861,21,21
1516306821,25,19
1516307783,47,20
1516309010,44,20
1516310213,26,23
1516311166,0,24
1516312344,36,1037
1516313312,75,0
1516314510,39,45
1516315472,16,0
1516316437,28,44
1516317423,41,36
1516318968,34,16
1516320040,39,20
1516321004,56,18
1516321957,45,11
1516322893,27,15
1516323861,39,34
1516325088,31,11
1516326035,15,19
1516326970,35,11
1516327934,27,27
1516329141,26,14
1516330364,34,29
1516331327,32,22
1516332278,38,22
1516333461,29,26
1516334674,30,26
1516335860,27,23
1516337083,41,35
1516338055,27,28
1516339251,39,7
1516340174,17,28
1516341139,50,21
1516342366,48,13
1516343323,36,15
1516344254,12,5
1516345218,47,28
1516346184,30,17
1516347145,37,7
1516348363,49,25
1516349291,23,18
1516350255,11,13
1516351236,42,26
1516352173,15,39
1516353141,28,0
1516354097,22,17
1516355056,31,8
1516356021,22,29
1516356990,17,21
1516357940,27,20
1516358901,25,23
1516359892,29,25
1516360815,16,18
1516361786,34,25
1516362733,35,23
1516363828,33,29
1516364911,50,30
1516365880,34,16
1516367065,48,24
1516368019,30,17
1516368985,35,16
1516370204,47,25
1516371382,34,19
1516372337,24,28
1516373301,35,20
1516374261,36,19
1516375213,55,31
1516376170,21,14
1516377146,24,19
1516378349,26,11
1516379295,38,15
1516380272,25,32
1516381477,45,21
1516382435,42,19
1516383406,36,27
1516384345,13,38
1516385569,49,26
1516386499,22,19
1516387463,37,27
1516388423,39,23
1516389400,21,25
1516390363,21,28
1516391321,27,30
1516392260,51,27
1516393213,48,0
1516394202,23,78
1516395162,29,21
1516396102,30,16
1516397321,7,18
1516398282,13,37
1516399220,12,905
1516400183,82,30
1516401161,24,40
1516402122,39,0
1516403314,33,33
1516404261,15,23
1516405218,25,38
1516406185,34,8
1516407147,32,19
1516408102,32,11
1516409062,19,38
1516410024,21,0
1516410990,34,41
1516411941,18,0
1516412902,29,40
1516413868,20,13
1516414823,21,24
1516415779,26,25
1516416740,29,24
1516417703,19,18
1516418670,21,10
1516419623,24,18
1516420576,10,15
1516421812,42,47
1516422758,6,19
1516423951,29,18
1516424904,32,18
1516426095,26,27
1516427064,30,25
1516428023,28,24
1516428985,19,17
1516429936,17,25
1516430895,32,0
1516431980,41,36
1516433052,30,17
1516434030,25,20
1516434971,19,14
1516435963,26,33
1516436896,44,28
1516437857,26,30
1516438824,26,22
1516440049,29,20
1516441219,39,10
1516442197,30,24
1516443164,45,22
1516444123,20,12
1516445575,46,42
1516446488,25,0
1516447476,29,55
1516448416,32,0
1516449397,24,15
1516450608,45,59
1516451554,36,0
1516452501,21,43
1516453469,42,22
1516454422,36,23
1516455384,25,48
1516456344,28,26
1516457312,27,18
1516458498,32,17
1516459467,32,32
1516460418,41,33
1516461407,12,13
1516462334,33,27
1516463307,22,28
1516464262,24,0
1516465225,25,25
1516466171,12,14
1516467160,30,37
1516468098,18,0
1516469075,30,22
1516470012,20,43
1516470997,35,18
1516471940,16,20
1516472898,33,10
1516473857,26,39
1516474832,23,15
1516475783,26,34
1516476746,28,22
1516477697,16,32
1516478674,40,0
1516479617,23,27
1516480586,26,15
1516481532,19,31
1516482522,24,11
1516483454,6,28
1516485393,22,26
1516486341,83,420
1516487293,14,28
1516488291,21,62
1516489225,34,0
1516490214,14,48
1516491648,45,49
1516492574,22,0
1516493548,27,32
1516494497,22,22
1516495480,23,50
1516496420,22,0
1516497382,19,36
1516498335,23,23
1516499315,12,29
1516500260,26,28
1516501217,6,20
1516502195,23,34
1516503134,25,52
1516504105,18,35
1516505068,18,22
1516506012,21,31
1516506982,17,0
1516507944,27,65
1516508895,25,0
1516509870,22,51
1516510825,12,0
1516511776,30,37
1516512762,19,59
1516513700,19,0
1516514663,11,42
1516515621,23,65
1516516606,20,13
1516517534,18,41
1516518495,25,28
1516519476,20,42
1516520420,25,20
1516521373,24,26
1516522364,26,23
1516523293,31,18
