DateTime,AddedIPs,RemovedIPs
1516296986,566,566
1516298203,1076,1076
1516299654,1028,1028
1516300819,962,962
1516301788,648,648
1516302769,963,963
1516303941,1493,1493
1516304905,742,742
1516305861,491,491
1516306821,632,632
1516307783,915,915
1516309010,804,804
1516310213,1049,1049
1516311166,816,816
1516312344,729,729
1516313312,1952,1952
1516314510,796,796
1516315472,359,359
1516316437,712,712
1516317423,914,914
1516318968,1008,1008
1516320040,671,671
1516321004,871,871
1516321957,783,783
1516322893,737,737
1516323861,868,868
1516325088,813,813
1516326035,486,486
1516326970,740,740
1516327934,887,887
1516329141,674,674
1516330364,758,758
1516331327,813,813
1516332278,955,955
1516333461,763,763
1516334674,874,874
1516335860,882,882
1516337083,927,927
1516338055,824,824
1516339251,905,905
1516340174,285,285
1516341139,1081,1081
1516342366,959,959
1516343323,624,624
1516344254,358,358
1516345218,701,701
1516346184,814,814
1516347145,748,748
1516348363,900,900
1516349291,600,600
1516350255,357,357
1516351236,970,970
1516352173,338,338
1516353141,935,935
1516354097,517,517
1516355056,733,733
1516356021,582,582
1516356990,501,501
1516357940,703,703
1516358901,652,652
1516359892,660,660
1516360815,322,322
1516361786,692,692
1516362733,689,689
1516363828,802,802
1516364911,772,772
1516365880,641,641
1516367065,978,978
1516368019,414,414
1516368985,735,735
1516370204,820,820
1516371382,805,805
1516372337,708,708
1516373301,582,582
1516374261,689,689
1516375213,938,938
1516376170,473,473
1516377146,502,502
1516378349,831,831
1516379295,836,836
1516380272,785,785
1516381477,857,857
1516382435,820,820
1516383406,590,590
1516384345,391,391
1516385569,961,961
1516386499,602,602
1516387463,774,774
1516388423,711,711
1516389400,656,656
1516390363,543,543
1516391321,697,697
1516392260,791,791
1516393213,712,712
1516394202,754,754
1516395162,604,604
1516396102,551,551
1516397321,754,754
1516398282,696,696
1516399220,429,429
1516400183,1872,1872
1516401161,736,736
1516402122,812,812
1516403314,757,757
1516404261,335,335
1516405218,770,770
1516406185,697,697
1516407147,703,703
1516408102,728,728
1516409062,635,635
1516410024,524,524
1516410990,773,773
1516411941,443,443
1516412902,867,867
1516413868,703,703
1516414823,800,800
1516415779,633,633
1516416740,699,699
1516417703,498,498
1516418670,861,861
1516419623,635,635
1516420576,329,329
1516421812,1259,1259
1516422758,317,317
1516423951,821,821
1516424904,820,820
1516426095,867,867
1516427064,827,827
1516428023,805,805
1516428985,546,546
1516429936,486,486
1516430895,803,803
1516431980,846,846
1516433052,830,830
1516434030,671,671
1516434971,461,461
1516435963,529,529
1516436896,829,829
1516437857,756,756
1516438824,699,699
1516440049,836,836
1516441219,696,696
1516442197,588,588
1516443164,879,879
1516444123,478,478
1516445575,989,989
1516446488,541,541
1516447476,670,670
1516448416,714,714
1516449397,598,598
1516450608,855,855
1516451554,753,753
1516452501,460,460
1516453469,738,738
1516454422,747,747
1516455384,515,515
1516456344,570,570
1516457312,506,506
1516458498,614,614
1516459467,666,666
1516460418,848,848
1516461407,587,587
1516462334,646,646
1516463307,595,595
1516464262,710,710
1516465225,647,647
1516466171,243,243
1516467160,995,995
1516468098,488,488
1516469075,730,730
1516470012,691,691
1516470997,657,657
1516471940,331,331
1516472898,745,745
1516473857,735,735
1516474832,522,522
1516475783,755,755
1516476746,719,719
1516477697,374,374
1516478674,883,883
1516479617,531,531
1516480586,765,765
1516481532,641,641
1516482522,473,473
1516483454,791,791
1516484417,597,597
1516485393,618,618
1516486341,1781,1781
1516487293,488,488
1516488291,626,626
1516489225,798,798
1516490214,691,691
1516491648,1019,1019
1516492574,548,548
1516493548,667,667
1516494497,549,549
1516495480,636,636
1516496420,702,702
1516497382,597,597
1516498335,709,709
1516499315,511,511
1516500260,821,821
1516501217,384,384
1516502195,714,714
1516503134,777,777
1516504105,557,557
1516505068,593,593
1516506012,560,560
1516506982,628,628
1516507944,730,730
1516508895,591,591
1516509870,677,677
1516510825,315,315
1516511776,715,715
1516512762,736,736
1516513700,645,645
1516514663,549,549
1516515621,653,653
1516516606,524,524
1516517534,664,664
1516518495,625,625
1516519476,623,623
1516520420,433,433
1516521373,649,649
1516522364,704,704
1516523293,721,721
1516524259,509,509
1516525246,614,614
1516526209,416,416
1516527134,527,527
1516528101,649,649
1516529061,537,537
1516530035,539,539
1516531223,812,812
1516532193,450,450
1516533137,671,671
1516534092,629,629
1516535081,631,631
1516536022,568,568
1516537096,525,525
1516538181,805,805
1516539139,541,541
1516540091,402,402
1516541060,663,663
1516542025,509,509
1516542972,631,631
1516543948,627,627
1516544894,452,452
1516545868,631,631
1516546846,727,727
1516547776,595,595
1516548757,556,556
1516549699,477,477
1516550669,630,630
1516551613,428,428
1516552595,663,663
1516553532,662,662
1516554493,602,602
1516555474,646,646
1516556413,405,405
1516557373,773,773
1516558358,725,725
1516559293,532,532
1516560256,525,525
1516561223,662,662
1516562190,633,633
1516563136,680,680
1516564119,533,533
1516565062,547,547
1516566013,651,651
1516566994,501,501
1516567940,608,608
1516568895,620,620
1516569876,669,669
1516570812,640,640
1516571772,430,430
1516572756,1740,1740
1516573697,624,624
1516574680,680,680
1516575638,588,588
1516576622,481,481
1516577694,761,761
1516578759,676,676
1516579719,641,641
1516580667,632,632
1516581630,512,512
1516582591,525,525
1516583550,621,621
1516584496,564,564
1516585461,536,536
1516586417,555,555
1516587391,614,614
1516588339,576,576
1516589323,550,550
1516590273,694,694
1516591216,645,645
1516592187,525,525
1516593145,646,646
1516594094,669,669
1516595067,574,574
1516596011,633,633
1516596978,557,557
1516597948,545,545
1516598900,572,572
1516599872,771,771
1516600817,700,700
1516601785,640,640
1516602754,396,396
1516603701,669,669
1516604674,765,765
1516605614,750,750
1516606594,710,710
1516607534,439,439
1516608507,684,684
1516609465,589,589
1516610427,553,553
1516611381,681,681
1516612341,375,375
1516613297,660,660
1516614525,741,741
1516615461,679,679
1516616417,506,506
1516617395,571,571
1516618331,642,642
1516619561,803,803
1516620497,547,547
1516621459,712,712
1516622424,618,618
1516623401,517,517
1516624344,696,696
1516625296,581,581
1516626262,617,617
1516627238,550,550
1516628177,607,607
1516629141,701,701
1516630107,648,648
1516631057,527,527
1516632027,629,629
1516632974,587,587
1516633936,728,728
1516634916,651,651
1516635862,490,490
1516636819,703,703
1516637808,440,440
1516638982,652,652
1516639931,600,600
1516640918,774,774
1516641853,593,593
1516642817,553,553
1516643793,650,650
1516644739,685,685
1516645695,509,509
1516646677,584,584
1516647621,633,633
1516648586,496,496
1516649544,640,640
1516650505,479,479
1516651462,713,713
1516652417,701,701
1516653396,503,503
1516654333,627,627
1516655297,385,385
1516657020,1282,1282
1516657936,558,558
1516658901,1872,1872
1516659877,722,722
1516660841,636,636
1516661771,694,694
1516662744,741,741
1516664067,475,475
1516665149,1200,1200
1516666090,653,653
1516667070,677,677
1516668017,395,395
1516668988,769,769
1516669948,742,742
1516670898,689,689
1516671867,683,683
1516672825,694,694
1516673789,529,529
1516674741,766,766
1516675699,546,546
1516676687,769,769
1516677648,712,712
1516678579,531,531
1516679533,508,508
1516680507,791,791
1516681466,766,766
1516682416,780,780
1516683388,436,436
1516684394,563,563
1516685295,814,814
1516686268,768,768
1516687221,799,799
1516688182,291,291
1516689188,700,700
1516690096,881,881
1516691062,708,708
1516692047,745,745
1516692975,666,666
1516693952,695,695
1516694894,503,503
1516695856,757,757
1516696815,798,798
1516697797,246,246
1516698744,788,788
1516699700,643,643
1516700682,721,721
1516701624,417,417
1516702577,810,810
1516703557,687,687
1516704497,541,541
1516705469,775,775
1516706426,641,641
1516707375,612,612
1516708335,756,756
1516709423,827,827
1516710504,740,740
1516711459,488,488
1516712424,506,506
1516713400,790,790
1516714339,775,775
1516715298,261,261
1516716284,1105,1105
1516717214,380,380
1516718183,753,753
1516719143,733,733
1516720102,718,718
1516721070,604,604
1516722014,536,536
1516723258,994,994
1516724180,495,495
1516725406,823,823
1516726337,368,368
1516727318,965,965
1516728264,669,669
1516729220,686,686
1516730943,1328,1328
1516731854,913,913
1516732833,665,665
1516733770,728,728
1516734758,616,616
1516735695,647,647
1516736668,995,995
1516737613,828,828
1516738591,574,574
1516739539,944,944
1516740524,761,761
1516741462,656,656
1516742424,697,697
1516743376,524,524
1516744357,749,749
1516745296,2000,2000
1516746265,650,650
1516747213,534,534
1516748224,854,854
1516749133,812,812
1516750710,971,971
