DateTime,AddedIPs,RemovedIPs
1512856827,92,19
1512944197,56,35
1513031312,69,36
1513118452,69,44
1513205553,61,40
1513292929,125,66
1513380030,68,53
1513467164,103,66
1513554274,280,52
1513728514,102,90
1513815609,148,60
1513903007,147,82
1514077487,142,85
1514339099,155,87
1514775479,168,123
1514862610,96,91
1514949735,120,102
1515123938,171,120
1515298459,208,152
1515472933,216,160
1515560280,179,175
1515778101,189,198
1516039724,225,195
1516126822,171,175
1516301332,221,196
1516475787,240,185
