DateTime,AddedIPs,RemovedIPs
1514581218,1,1
1514588421,1,1
1514602818,1,1
1514606428,1,0
1514610025,4,0
1514613618,1,0
1514617219,1,2
1514620818,0,1
1514628021,0,1
1514631619,0,1
1514646019,0,1
1514649618,1,0
1514653219,0,1
1514656821,3,0
1514660420,1,1
1514664019,0,2
1514667619,1,0
1514671220,2,0
1514678424,1,0
1514685619,1,1
1514689220,2,0
1514696419,0,1
1514700022,2,0
1514703622,2,0
1514707222,3,0
1514710821,3,0
1514714419,0,2
1514718022,0,1
1514721622,1,0
1514725220,1,2
1514728820,2,0
1514732422,2,3
1514736024,1,3
1514739624,2,1
1514743222,4,0
1514746822,1,1
1514750422,0,1
1514754024,2,1
1514757623,0,4
1514761223,0,4
1514764821,1,0
1514768419,0,3
1514772020,0,2
1514775618,0,4
1514779218,0,3
1514782818,0,2
1514786422,0,1
1514790023,3,2
1514797218,0,2
1514800822,0,1
1514804422,0,3
1514808022,0,3
1514811621,1,1
1514818822,0,4
1514826019,4,4
1514829618,3,3
1514833217,1,3
1514836817,1,1
1514840418,2,1
1514844024,1,1
1514847618,2,1
1514851217,1,1
1514854818,2,2
1514862018,0,2
1514865618,3,2
1514869217,1,0
1514872818,7,1
1514876422,26,2
1514880019,0,1
1514883619,0,2
1514887219,1,0
1514898018,0,1
1514901619,1,0
1514905219,1,1
1514908819,1,1
1514912419,1,1
1514916019,2,1
1514919619,0,2
1514926821,1,1
1514930428,1,1
1514934020,4,0
1514937619,2,3
1514941219,1,11
1514944819,1,5
1514948418,0,8
1514955618,1,0
1514959219,0,2
1514966418,4,3
1514970018,2,2
1514973618,1,0
1514980818,1,0
1514984422,2,1
1514988020,2,0
1514991620,2,0
1514995224,0,1
1515002418,4,2
1515009618,2,0
1515013219,2,1
1515016820,2,0
1515024020,2,0
1515027621,2,2
1515031218,1,0
1515042019,1,0
1515045619,0,1
1515049220,2,0
1515052819,1,1
1515056421,0,1
1515060018,1,1
1515063619,3,1
1515067219,3,0
1515070820,1,1
1515078019,1,1
1515081619,1,0
1515085219,2,1
1515088820,2,2
1515092419,1,1
1515096023,52,0
1515099623,16,2
1515103222,5,1
1515106822,0,3
1515110422,1,1
1515114022,0,1
1515117622,2,1
1515121222,2,1
1515124823,0,4
1515128422,3,0
1515132022,2,0
1515135622,1,2
1515139222,1,1
1515142823,2,0
1515150023,0,1
1515153629,1,0
1515157226,2,0
1515160823,2,2
1515164424,3,1
1515171629,2,0
1515175226,1,1
1515178829,1,2
1515182429,3,0
1515186032,1,1
1515189629,1,0
1515193227,0,1
1515200433,2,1
1515204034,1,0
1515207646,1,1
1515214832,2,4
1515225635,1,0
1515236435,1,1
1515240035,0,1
1515247229,1,0
1515254432,0,1
1515258028,1,0
1515261628,1,2
1515265228,2,1
1515268838,1,2
1515272430,1,2
1515276032,1,2
1515279633,0,2
1515283224,0,1
1515294027,0,1
1515297622,0,2
1515304830,0,3
1515308423,0,3
1515312022,2,0
1515315630,1,1
1515319227,1,1
1515322827,4,0
1515326423,4,0
1515330033,1,0
1515333629,1,0
1515337223,3,0
1515340825,2,1
1515344426,1,1
1515348026,3,0
1515351629,2,2
1515355228,1,1
1515358826,2,1
1515366023,0,1
1515369625,0,1
1515373224,1,0
1515376823,1,0
1515380424,1,0
1515384023,1,0
1515387627,0,1
1515391223,2,1
1515394823,0,2
1515398426,0,2
1515405623,0,3
1515409223,1,1
1515412823,2,0
1515416427,2,0
1515420023,1,1
1515423623,1,1
1515430823,1,4
1515434423,2,2
1515438023,0,1
1515441623,0,1
1515445227,0,1
1515448825,1,0
1515452424,1,3
1515456023,0,1
1515459622,1,1
1515463222,2,1
1515466823,9,1
1515470423,3,3
1515474023,1,2
1515477623,0,5
1515481222,0,28
1515484821,0,1
1515488422,1,0
1515492023,0,1
1515499224,1,0
1515506422,1,0
1515510022,1,1
1515513621,2,1
1515517221,0,1
1515520821,2,1
1515524421,1,0
1515528022,1,0
1515535221,1,1
1515538822,0,1
1515542421,1,1
1515546023,1,0
1515549623,3,0
1515553222,3,0
1515556824,4,0
1515560422,3,0
1515564022,1,0
1515567627,2,0
1515571226,1,2
1515574824,2,0
1515582023,2,2
1515585631,2,1
1515589229,3,1
1515592830,2,2
1515596423,1,2
1515600034,2,1
1515607232,1,1
1515610826,3,1
1515614430,1,4
1515618031,1,1
1515621632,2,0
1515625228,2,0
1515628832,0,3
1515632431,1,3
1515636033,2,2
1515643236,3,0
1515646834,2,1
1515650434,1,1
1515654034,1,3
1515657633,1,1
1515661235,3,1
1515664833,1,1
1515668437,4,2
1515672033,4,2
1515675632,8,0
1515679235,2,1
1515682836,2,2
1515686435,1,2
1515690036,0,1
1515693639,3,2
1515697236,2,3
1515700830,1,50
1515704428,4,15
1515708025,0,7
1515711626,1,0
1515715225,1,3
1515718822,0,2
1515722424,0,2
1515726023,1,4
1515729621,3,2
1515733228,1,1
1515736826,4,0
1515747629,0,2
1515751224,2,0
1515754822,1,1
1515758425,0,2
1515762025,0,3
1515765624,2,3
1515769221,2,3
1515772821,1,1
1515776420,0,1
1515780020,1,1
1515783622,1,1
1515787221,1,3
1515790822,3,1
1515794424,1,1
1515798021,0,3
1515801619,2,3
1515805219,2,1
1515812421,1,2
1515816019,1,0
1515819619,3,2
1515823219,2,0
1515830424,1,2
1515834023,1,0
1515837620,1,0
1515841220,1,1
1515844820,1,1
1515848420,2,0
1515852020,2,0
1515855621,1,1
1515859223,2,1
1515862820,4,1
1515866422,2,1
1515873620,0,1
1515880823,1,0
1515884421,1,0
1515888022,1,0
1515895221,1,1
1515902422,1,0
1515906020,1,0
1515909625,1,0
1515913222,1,0
1515916820,1,1
1515920421,1,1
1515924020,2,0
1515927621,6,0
1515931221,2,0
1515934821,1,0
1515938422,5,2
1515942021,6,2
1515945626,5,2
1515949231,5,2
1515952825,5,1
1515956422,7,2
1515960024,5,4
1515963625,8,1
1515967223,5,0
1515970822,4,1
1515974426,0,1
1515978028,1,2
1515981626,2,2
1515985227,0,7
1515988824,0,1
1515992422,0,1
1515996023,1,0
1516003226,1,0
1516006825,0,1
1516010423,1,0
1516017624,0,1
1516021222,0,1
1516028426,0,1
1516039223,0,1
1516042832,0,1
1516046424,1,0
1516057222,1,0
1516068024,0,2
1516071624,0,1
1516075225,1,6
1516078823,1,6
1516082424,0,1
1516089622,0,1
1516096822,0,2
1516100421,0,1
1516111221,0,2
1516118421,0,2
1516122021,0,3
1516125621,0,4
1516129221,0,1
1516132822,0,1
1516136421,0,1
1516140020,0,1
1516143620,1,1
1516147221,1,3
1516150821,0,1
1516154420,0,1
1516161622,0,1
1516165220,0,3
1516168820,1,4
1516172421,1,8
1516176020,0,5
1516179620,0,3
1516190419,0,2
1516194019,1,2
1516197621,1,2
1516201219,3,1
1516204819,3,2
1516208420,2,0
1516212019,2,0
1516215619,2,2
1516219220,1,1
1516222821,0,2
1516226420,0,5
1516230026,0,2
1516233622,1,2
1516237218,1,2
1516240818,3,3
1516248020,2,3
1516251619,1,3
1516255218,0,2
1516258819,2,2
1516262420,3,0
1516266018,2,3
1516269619,0,3
1516273219,3,1
1516276819,4,0
1516280418,1,1
1516284018,0,2
1516287619,2,1
1516291228,2,2
1516294819,0,2
1516298419,0,2
1516302018,4,3
1516305619,2,1
1516309219,2,4
1516316424,1,0
1516320020,0,2
1516323620,0,1
1516327220,1,2
1516330819,1,0
1516334419,0,5
1516341618,0,1
1516345222,1,0
1516352421,3,2
1516366818,1,0
1516370418,1,0
1516374018,1,2
1516377620,1,1
1516381222,0,1
1516384820,2,0
1516388419,1,1
1516392020,0,3
1516395619,3,2
1516402819,0,1
1516413621,2,0
1516420819,0,1
1516424420,0,1
1516431619,0,2
1516435224,0,2
1516438822,1,2
1516442420,0,1
1516449618,1,0
1516453218,1,2
1516456819,0,2
1516464020,0,1
1516467619,0,3
1516471218,1,1
1516474817,0,1
1516478420,0,1
1516482019,1,3
1516485619,1,2
1516489217,0,1
1516492818,0,3
1516496423,0,1
1516503618,2,0
1516507217,0,3
1516510821,0,3
1516514416,1,1
1516518017,0,1
1516521619,1,2
1516528818,3,1
1516532418,2,2
1516536018,2,1
1516539617,2,1
1516543217,1,3
1516546817,4,4
1516550416,0,5
1516554016,1,2
1516557617,2,4
1516561216,0,6
1516564816,1,5
1516568416,0,8
1516572015,1,8
1516575615,0,6
1516579217,1,0
1516582816,0,5
1516586415,1,4
1516590015,1,6
1516593615,1,0
1516611615,1,1
1516615215,2,2
1516618815,1,1
1516622415,2,0
1516636815,1,0
1516647614,2,0
1516651215,0,1
1516658415,2,0
1516662016,1,0
1516665615,2,0
1516669215,1,0
1516672815,1,0
1516676416,1,0
1516683616,1,0
1516701616,1,0
1516708818,3,0
1516712419,0,1
1516716020,2,2
1516726823,1,0
1516730420,1,2
1516737629,3,1
1516744825,2,0
1516748423,1,0
1516752022,1,1
1516762826,3,0
1516766428,2,0
1516770029,3,0
1516773625,0,1
1516777223,0,1
1516780821,1,0
