DateTime,Entries,UniqueIPs
1514581218,271,271
1514588421,271,271
1514602818,271,271
1514606428,272,272
1514610025,276,276
1514613618,277,277
1514617219,276,276
1514620818,275,275
1514628021,274,274
1514631619,273,273
1514646019,272,272
1514649618,273,273
1514653219,272,272
1514656821,275,275
1514660420,275,275
1514664019,273,273
1514667619,274,274
1514671220,276,276
1514678424,277,277
1514685619,277,277
1514689220,279,279
1514696419,278,278
1514700022,280,280
1514703622,282,282
1514707222,285,285
1514710821,288,288
1514714419,286,286
1514718022,285,285
1514721622,286,286
1514725220,285,285
1514728820,287,287
1514732422,286,286
1514736024,284,284
1514739624,285,285
1514743222,289,289
1514746822,289,289
1514750422,288,288
1514754024,289,289
1514757623,285,285
1514761223,281,281
1514764821,282,282
1514768419,279,279
1514772020,277,277
1514775618,273,273
1514779218,270,270
1514782818,268,268
1514786422,267,267
1514790023,268,268
1514797218,266,266
1514800822,265,265
1514804422,262,262
1514808022,259,259
1514811621,259,259
1514818822,255,255
1514826019,255,255
1514829618,255,255
1514833217,253,253
1514836817,253,253
1514840418,254,254
1514844024,254,254
1514847618,255,255
1514851217,255,255
1514854818,255,255
1514862018,253,253
1514865618,254,254
1514869217,255,255
1514872818,261,261
1514876422,285,285
1514880019,284,284
1514883619,282,282
1514887219,283,283
1514898018,282,282
1514901619,283,283
1514905219,283,283
1514908819,283,283
1514912419,283,283
1514916019,284,284
1514919619,282,282
1514926821,282,282
1514930428,282,282
1514934020,286,286
1514937619,285,285
1514941219,275,275
1514944819,271,271
1514948418,263,263
1514955618,264,264
1514959219,262,262
1514966418,263,263
1514970018,263,263
1514973618,264,264
1514980818,265,265
1514984422,266,266
1514988020,268,268
1514991620,270,270
1514995224,269,269
1515002418,271,271
1515009618,273,273
1515013219,274,274
1515016820,276,276
1515024020,278,278
1515027621,278,278
1515031218,279,279
1515042019,280,280
1515045619,279,279
1515049220,281,281
1515052819,281,281
1515056421,280,280
1515060018,280,280
1515063619,282,282
1515067219,285,285
1515070820,285,285
1515078019,285,285
1515081619,286,286
1515085219,287,287
1515088820,287,287
1515092419,287,287
1515096023,339,339
1515099623,353,353
1515103222,357,357
1515106822,354,354
1515110422,354,354
1515114022,353,353
1515117622,354,354
1515121222,355,355
1515124823,351,351
1515128422,354,354
1515132022,356,356
1515135622,355,355
1515139222,355,355
1515142823,357,357
1515150023,356,356
1515153629,357,357
1515157226,359,359
1515160823,359,359
1515164424,361,361
1515171629,363,363
1515175226,363,363
1515178829,362,362
1515182429,365,365
1515186032,365,365
1515189629,366,366
1515193227,365,365
1515200433,366,366
1515204034,367,367
1515207646,367,367
1515214832,365,365
1515225635,366,366
1515236435,366,366
1515240035,365,365
1515247229,366,366
1515254432,365,365
1515258028,366,366
1515261628,365,365
1515265228,366,366
1515268838,365,365
1515272430,364,364
1515276032,363,363
1515279633,361,361
1515283224,360,360
1515294027,359,359
1515297622,357,357
1515304830,354,354
1515308423,351,351
1515312022,353,353
1515315630,353,353
1515319227,353,353
1515322827,357,357
1515326423,361,361
1515330033,362,362
1515333629,363,363
1515337223,366,366
1515340825,367,367
1515344426,367,367
1515348026,370,370
1515351629,370,370
1515355228,370,370
1515358826,371,371
1515366023,370,370
1515369625,369,369
1515373224,370,370
1515376823,371,371
1515380424,372,372
1515384023,373,373
1515387627,372,372
1515391223,373,373
1515394823,371,371
1515398426,369,369
1515405623,366,366
1515409223,366,366
1515412823,368,368
1515416427,370,370
1515420023,370,370
1515423623,370,370
1515430823,367,367
1515434423,367,367
1515438023,366,366
1515441623,365,365
1515445227,364,364
1515448825,365,365
1515452424,363,363
1515456023,362,362
1515459622,362,362
1515463222,363,363
1515466823,371,371
1515470423,371,371
1515474023,370,370
1515477623,365,365
1515481222,337,337
1515484821,336,336
1515488422,337,337
1515492023,336,336
1515499224,337,337
1515506422,338,338
1515510022,338,338
1515513621,339,339
1515517221,338,338
1515520821,339,339
1515524421,340,340
1515528022,341,341
1515535221,341,341
1515538822,340,340
1515542421,340,340
1515546023,341,341
1515549623,344,344
1515553222,347,347
1515556824,351,351
1515560422,354,354
1515564022,355,355
1515567627,357,357
1515571226,356,356
1515574824,358,358
1515582023,358,358
1515585631,359,359
1515589229,361,361
1515592830,361,361
1515596423,360,360
