DateTime,AddedIPs,RemovedIPs
1514235619,1,0
1514242819,0,1
1514246413,1,0
1514250017,1,1
1514253614,1,2
1514257214,1,1
1514260813,0,2
1514264417,1,1
1514268018,1,0
1514271618,1,1
1514282422,0,1
1514293215,0,1
1514296813,0,2
1514300412,0,3
1514307613,1,1
1514311211,0,2
1514329212,0,1
1514332811,6,0
1514336413,12,3
1514340013,6,1
1514343613,5,2
1514347214,0,3
1514350813,0,1
1514354412,1,1
1514358013,1,3
1514368813,1,1
1514372412,0,2
1514379616,0,1
1514386820,1,0
1514394016,1,0
1514397617,3,0
1514404813,2,0
1514412013,1,0
1514415613,1,0
1514422818,1,1
1514430018,2,0
1514433614,1,0
1514437215,2,0
1514455215,0,1
1514462417,1,0
1514466016,0,1
1514469617,0,1
1514473215,1,0
1514476815,0,1
1514480417,1,1
1514487616,3,0
1514491215,0,1
1514498415,1,0
1514505613,2,1
1514509218,1,0
1514512817,0,1
1514520015,1,1
1514523615,1,0
1514527218,1,0
1514534418,1,0
1514538016,2,0
1514541616,0,1
1514552417,1,0
1514556016,2,1
1514570423,1,0
1514574022,1,1
1514581214,1,0
1514588419,1,0
1514602814,1,1
1514613615,1,0
1514617214,0,2
1514628021,0,1
1514646014,0,1
1514653215,0,1
1514656815,2,0
1514664014,0,2
1514667614,1,0
1514671214,1,0
1514678416,1,0
1514685614,1,1
1514689215,1,0
1514696414,0,1
1514700017,1,0
1514703617,1,0
1514707217,1,0
1514710816,1,0
1514714414,0,1
1514725215,0,1
1514732417,0,1
1514736024,0,1
1514739619,0,1
1514746817,1,1
1514750417,0,1
1514754019,2,2
1514761218,0,1
1514772016,0,1
1514775613,0,1
1514779213,0,1
1514782813,0,2
1514786417,0,1
1514790018,1,2
1514797213,0,2
1514804418,0,3
1514808019,0,2
1514811617,1,1
1514818817,0,4
1514826014,4,4
1514829614,2,3
1514833216,0,2
1514836812,1,1
1514840412,2,1
1514844014,0,1
1514847613,2,1
1514851212,1,0
1514854814,1,2
1514862014,0,2
1514865613,1,2
1514869212,1,0
1514872813,6,1
1514876414,27,2
1514880014,0,1
1514883614,0,2
1514905214,0,1
1514912413,1,1
1514916014,1,1
1514919614,0,1
1514926817,1,1
1514930419,1,1
1514934014,2,0
1514937614,2,3
1514941213,1,11
1514944814,1,5
1514948414,0,8
1514955614,1,0
1514959214,0,1
1514966413,3,2
1514970013,2,1
1514984412,2,0
1514988017,2,0
1514991619,2,0
1514995214,0,1
1515002413,4,2
1515009613,1,0
1515013213,2,1
1515016815,2,0
1515024014,2,0
1515027617,2,0
1515034813,0,1
1515042013,1,0
1515049215,2,0
1515052814,1,0
1515060014,1,0
1515063614,3,0
1515067214,3,0
1515070814,1,0
1515078014,1,1
1515085213,2,0
1515088815,2,1
1515092413,1,1
1515096014,1,0
1515099614,1,0
1515106815,0,1
1515110414,1,0
1515117614,2,0
1515121214,1,0
1515128414,1,0
1515132017,2,0
1515135615,1,1
1515139214,1,1
1515142814,2,0
1515150015,0,1
1515157215,2,0
1515160815,2,1
1515164416,3,1
1515171621,2,0
1515175219,1,1
1515178829,1,2
1515182422,3,0
1515186029,1,1
1515189621,1,0
1515193220,0,1
1515200424,1,1
1515204034,1,0
1515207646,1,1
1515214825,1,0
1515225626,1,0
1515236428,1,0
1515240027,0,1
1515247222,1,0
1515254427,0,1
1515258022,1,0
1515261621,1,2
1515265221,2,1
1515268823,1,1
1515272423,1,2
1515276025,1,1
1515283217,0,1
1515294021,0,1
1515297615,0,2
1515304830,0,3
1515308415,0,1
1515315619,0,1
1515326415,2,0
1515333615,1,0
1515340815,1,0
1515344418,1,1
1515348018,2,0
1515351621,2,1
1515355221,0,1
1515358818,1,1
1515366014,0,1
1515369618,0,1
1515373215,1,0
1515376815,1,0
1515380414,1,0
1515384018,1,0
1515387615,0,1
1515391216,0,1
1515394815,0,1
1515398415,0,1
1515405614,0,2
1515409215,1,1
1515412815,2,0
1515416414,2,0
1515420015,1,1
1515423615,1,1
1515427214,0,1
1515430815,0,3
1515434415,2,2
1515438015,0,1
1515441615,0,1
1515445215,0,1
1515452414,0,3
1515456014,0,1
1515459614,1,1
1515463214,2,1
1515466815,8,0
1515470415,3,0
1515474015,1,1
1515477615,0,5
1515481214,0,28
1515488414,1,0
1515499213,1,0
1515506413,1,0
1515510014,1,0
1515513614,2,0
1515517213,0,1
1515520814,2,1
1515524413,1,0
1515528014,1,0
1515535213,1,0
1515538814,0,1
1515542413,1,1
1515546016,1,0
1515549615,3,0
1515553214,3,0
1515556814,4,0
1515560415,3,0
1515564015,1,0
1515567622,2,0
1515571219,1,1
1515574817,2,0
1515582015,2,2
1515585623,2,1
1515589222,3,1
