DateTime,AddedIPs,RemovedIPs
1503853507,0,1
1503911085,0,1
1503914707,1,0
1503929084,0,1
1503946881,0,1
1503968479,0,1
1504036813,0,1
1504072817,1,0
1504098070,0,1
1504191682,1,0
1504227685,1,0
1504267290,0,1
1504299688,0,1
1504414898,1,0
1504418500,0,1
1504461693,1,0
1504497685,0,1
1504504887,1,0
1504566083,0,1
1504587689,1,0
1504616481,1,0
1504702885,1,0
1504724488,1,0
1504767694,1,0
1504897292,1,0
1504929685,0,1
1505005293,1,0
1505016090,1,0
1505044888,1,0
1505084482,1,0
1505088076,1,0
1505109674,0,1
1505131280,1,0
1505178091,1,0
1505228479,1,0
1505250084,1,0
1505278888,1,0
1505311285,1,0
1505329282,0,1
1505332882,1,0
1505361695,0,1
1505365293,0,1
1505372494,0,1
1505379697,0,1
1505412100,1,0
1505426497,0,0
1505430096,0,0
1505487683,1,0
1505620888,0,1
1505642487,1,0
1505649688,0,2
1505689294,0,1
1505725291,0,1
1505732492,0,1
1505746892,0,1
1505754092,1,0
1505779290,1,0
1505829692,0,1
1505854890,1,0
1505858486,1,0
1505908889,0,1
1505923289,0,1
1505995291,0,1
1505998891,1,0
1506016888,0,1
1506020488,1,0
1506031289,0,1
1506052888,0,1
1506081690,0,1
1506092490,1,0
1506128494,1,0
1506160899,1,0
1506229297,0,1
1506272499,2,0
1506279705,1,0
1506391300,2,0
1506405694,1,0
1506416495,1,0
1506445295,0,1
1506452496,0,2
1506463296,0,1
1506499302,1,0
1506524496,0,1
1506553305,0,1
1506560503,1,0
1506621702,0,1
1506643300,1,0
1506700896,0,1
1506762106,0,1
1506798093,1,0
1506805292,1,0
1506862893,1,0
1506866492,1,0
1506884489,0,1
1506888095,2,0
1506895296,1,0
1506920501,0,1
1506934894,1,0
1506967295,1,0
1506978092,1,0
1507006895,0,1
1507021298,1,0
1507024897,0,1
1507096904,1,0
1507104103,0,1
1507107703,1,0
1507122105,0,1
1507136505,2,0
1507140103,0,1
1507168899,0,1
1507186900,1,0
1507222904,1,0
1507233704,1,0
1507258909,1,0
1507276913,0,1
1507280510,1,0
1507302114,1,0
1507323697,1,0
1507330899,1,0
1507338097,1,0
1507374053,0,1
1507377644,1,0
1507392081,2,0
1507413683,0,1
1507464102,1,0
1507467698,0,1
1507492902,0,1
1507539699,0,1
1507564900,0,1
1507582881,0,1
1507597301,0,2
1507611702,0,1
1507658493,0,1
1507672900,1,0
1507694504,1,0
1507744891,0,1
1507762873,0,1
1507791691,0,1
1507816860,1,0
1507827649,0,1
1507838457,1,0
1507845670,1,0
1507856464,0,1
1507863678,0,1
1507881675,1,0
1507906825,0,2
1507928418,1,0
1507950040,1,0
1507993211,1,1
1508004010,0,2
1508007611,0,1
1508036429,1,0
1508058050,1,0
1508104840,1,0
1508122861,0,1
1508158898,0,1
1508173271,0,1
1508176899,0,1
1508198500,2,0
1508335297,0,1
1508342497,1,0
1508349698,0,1
1508400115,1,1
1508432501,1,0
1508443305,0,1
1508450507,0,1
1508457709,1,0
1508493706,0,2
1508497307,1,1
1508544101,0,1
1508554899,0,1
1508594500,0,1
1508706108,0,1
1508810507,1,0
1508814104,1,0
1508850115,0,1
1508940094,1,0
1508947294,0,1
1508958100,0,1
1508976098,1,0
1509015707,1,0
1509055306,1,0
1509062512,0,1
1509066104,0,1
1509080498,2,0
1509123700,1,0
1509138103,1,0
1509163303,0,1
1509192105,1,0
1509278508,0,1
1509314512,1,0
1509318114,1,0
1509332506,1,0
1509361304,0,1
1509375699,1,0
1509411706,1,0
1509458510,1,0
1509505317,0,2
1509508901,0,1
1509537704,2,0
1509548521,1,1
1509562912,0,1
1509580909,1,0
1509685319,0,1
1509742910,0,1
1509753722,0,1
1509796924,1,1
1509836510,1,0
1509872504,1,0
1509876107,1,0
1509901312,1,0
1509912113,1,0
1509966119,1,0
1509998516,0,1
1510002111,0,1
1510045324,0,1
1510074118,0,1
1510113729,1,0
1510124530,1,1
1510128129,1,0
1510138940,1,0
1510149732,1,1
1510153339,0,2
1510156928,1,0
1510160533,1,0
1510164130,1,1
1510185722,0,1
1510200123,1,0
1510214530,0,1
1510261323,0,1
1510268524,1,0
1510315315,0,1
1510329721,0,1
1510408909,0,1
1510441319,0,1
1510452119,2,0
1510455730,0,1
1510459326,3,0
1510462890,5,0
1510531332,0,1
1510563700,1,0
1510570926,0,1
1510596106,1,0
1510603315,1,0
1510606921,1,0
1510614121,1,0
1510639323,2,0
1510653721,1,0
1510660918,1,0
1510675318,0,1
1510686118,1,1
1510693326,2,0
1510700531,0,1
1510707721,1,0
1510714909,2,0
1510718521,1,0
1510736515,1,0
1510743705,0,1
1510758115,1,0
1510761709,0,1
1510765323,1,0
1510768925,0,1
1510776113,0,1
1510790525,1,0
1510794124,1,0
1510840927,1,0
1510884121,0,1
1510916494,1,0
1510934489,1,0
1510938083,3,0
1510966922,1,0
1510970515,0,1
