DateTime,AddedIPs,RemovedIPs
1514768570,3,3
1514772192,1,0
1514775774,2,1
1514782969,2,2
1514786588,0,1
1514790201,1,1
1514793790,1,1
1514797348,1,0
1514800992,0,1
1514815394,2,1
1514818990,0,1
1514822591,1,0
1514826165,0,1
1514829769,1,2
1514833388,2,3
1514836993,2,0
1514840583,0,1
1514844186,3,1
1514847792,10,3
1514851386,11,1
1514854989,10,4
1514858590,6,3
1514862180,4,3
1514865780,1,3
1514869386,1,3
1514872982,0,4
1514876594,0,1
1514883783,1,1
1514887382,0,4
1514890984,0,2
1514894583,1,1
1514898179,1,2
1514901773,1,2
1514905390,0,2
1514908976,1,4
1514912588,0,5
1514916186,3,4
1514919787,2,0
1514923389,0,1
1514926995,2,1
1514930582,2,0
1514934198,2,1
1514937795,2,2
1514941342,1,2
1514944974,1,0
1514948577,2,0
1514952182,1,1
1514955741,1,1
1514962976,0,2
1514966572,0,2
1514970140,0,1
1514973767,3,0
1514980992,0,2
1514988181,3,3
1514991789,1,1
1514998947,1,1
1515002542,0,1
1515006160,1,1
1515009803,1,2
1515013342,2,2
1515016977,1,0
1515020611,2,1
1515027766,1,1
1515031377,0,1
1515034978,2,2
1515038575,2,0
1515042126,0,1
1515045744,1,0
1515049368,0,2
1515052963,1,0
1515056562,1,0
1515067366,2,2
1515070970,2,0
1515078167,0,1
1515081772,0,1
1515085372,1,1
1515088971,0,1
1515096178,1,1
1515103405,2,1
1515106979,4,1
1515110572,1,0
1515114172,2,0
1515117771,1,2
1515121372,3,0
1515124962,1,1
1515128581,1,0
1515132175,0,2
1515135783,1,0
1515139392,1,0
1515142987,0,1
1515146598,1,0
1515153781,0,1
1515157394,3,0
1515160984,0,3
1515164580,0,1
1515168204,0,1
1515171794,2,2
1515175400,3,2
1515179008,0,2
1515182551,0,2
1515186180,1,1
1515189811,1,0
1515193410,1,2
1515200594,0,1
1515204187,1,2
1515211401,0,2
1515214985,0,2
1515218607,0,1
1515222189,0,1
1515225808,1,2
1515229409,4,4
1515232987,3,0
1515236568,0,2
1515240145,0,1
1515243737,1,0
1515250937,1,3
1515254546,0,8
1515258139,1,1
1515261746,0,2
1515265342,0,1
1515268933,1,1
1515272539,1,0
1515276147,1,2
1515279770,2,0
1515283377,2,3
1515286964,3,2
1515290573,5,1
1515294146,0,1
1515297788,0,1
1515301361,0,1
1515304972,0,1
1515308570,0,1
1515312200,1,0
1515315808,3,1
1515319407,2,0
1515322999,2,1
1515326587,1,0
1515333806,0,2
1515340938,2,1
1515344555,1,2
1515348186,2,2
1515355367,2,1
1515358995,3,2
1515362588,4,1
1515366174,0,2
1515369756,0,2
1515373383,0,2
1515377004,6,1
1515380588,2,2
1515384164,1,0
1515387786,2,0
1515391392,1,1
1515398582,2,1
1515402181,1,0
1515405789,0,1
1515412977,4,0
1515416603,3,1
1515420206,9,1
1515423808,2,0
1515427390,4,2
1515430998,9,0
1515434595,4,1
1515438205,3,3
1515441807,2,0
1515445413,2,0
1515449000,1,1
1515452606,1,6
1515456213,1,14
1515459799,2,12
1515463395,6,5
1515466993,0,6
1515470576,3,0
1515474185,1,2
1515481408,0,1
1515492180,0,2
1515495779,0,1
1515499371,0,3
1515506585,1,1
1515510184,1,0
1515513785,3,0
1515517383,2,2
1515520985,1,0
1515524591,0,2
1515528190,3,3
1515531788,2,1
1515535386,4,1
1515538999,2,1
1515542579,1,2
1515546188,1,0
1515549791,3,1
1515556988,1,0
1515560587,0,1
1515564189,1,0
1515567791,1,1
1515571408,1,1
1515575007,1,1
1515578587,0,1
1515582154,0,1
1515585769,1,1
1515589374,1,0
1515592972,1,1
1515596544,2,1
1515600183,2,1
1515603809,2,1
1515607406,0,2
1515610955,1,1
1515614575,1,2
1515618208,1,1
1515621806,0,1
1515625374,3,1
1515628977,1,0
1515632577,1,3
1515636199,1,3
1515639800,0,1
1515643392,1,2
1515650559,0,1
1515654168,1,1
1515657787,1,1
1515661373,0,2
1515664975,3,0
1515668593,2,2
1515672185,0,4
1515675774,3,0
1515679364,0,2
1515683001,0,1
1515686578,2,2
1515690197,1,0
1515693789,1,1
1515697402,1,1
1515700980,2,0
1515704554,2,0
1515708158,0,1
1515711743,1,0
1515715342,4,2
1515718940,3,0
1515722544,1,1
1515726182,1,1
1515729759,1,3
1515733340,0,1
1515740536,0,3
1515747740,0,1
1515751346,0,1
1515754946,0,1
1515758539,0,1
1515762145,1,0
1515765740,1,1
1515776538,1,1
1515783778,0,2
1515787394,1,1
1515791007,3,1
1515794609,3,1
1515798208,1,4
1515801746,3,1
1515805348,1,0
1515808954,3,0
1515812560,1,0
1515816160,1,0
1515819773,4,1
1515823398,1,0
1515827021,2,1
1515830613,0,2
1515834205,2,4
1515837808,6,1
1515841414,4,2
1515845010,2,0
1515852172,1,0
1515855790,3,0
1515859416,2,0
1515862998,1,0
1515866604,5,0
1515870215,4,1
1515877390,3,2
1515881001,1,1
1515884568,1,2
1515888211,0,2
1515895409,3,3
1515902564,2,1
1515906195,0,3
1515909808,0,1
1515913366,1,1
1515917011,4,1
1515924191,1,2
1515927775,1,1
1515931369,1,0
1515934978,2,0
1515942196,1,0
1515945766,0,3
1515949390,5,0
1515952999,1,2
1515956574,2,0
1515960193,2,2
1515963809,3,1
1515967395,1,4
1515970975,2,1
1515974579,2,0
1515978179,0,1
1515981786,0,5
1515985375,2,5
1515988981,0,4
1515992571,1,2
1515996199,1,3
1515999797,3,0
1516007000,4,1
1516014186,2,0
1516017773,1,5
1516021371,0,3
1516024988,2,6
1516028574,1,2
1516032178,1,5
1516035774,0,9
1516039404,0,1
1516042979,1,7
1516046578,2,5
1516050175,1,1
1516053787,0,2
1516057353,3,3
1516060961,1,1
1516064580,1,0
1516068185,4,2
1516071771,3,1
1516075378,0,5
1516079008,1,3
