DateTime,Entries,UniqueIPs
1514768570,490,490
1514772192,491,491
1514775774,492,492
1514782969,492,492
1514786588,491,491
1514790201,491,491
1514793790,491,491
1514797348,492,492
1514800992,491,491
1514815394,492,492
1514818990,491,491
1514822591,492,492
1514826165,491,491
1514829769,490,490
1514833388,489,489
1514836993,491,491
1514840583,490,490
1514844186,492,492
1514847792,499,499
1514851386,509,509
1514854989,515,515
1514858590,518,518
1514862180,519,519
1514865780,517,517
1514869386,515,515
1514872982,511,511
1514876594,510,510
1514883783,510,510
1514887382,506,506
1514890984,504,504
1514894583,504,504
1514898179,503,503
1514901773,502,502
1514905390,500,500
1514908976,497,497
1514912588,492,492
1514916186,491,491
1514919787,493,493
1514923389,492,492
1514926995,493,493
1514930582,495,495
1514934198,496,496
1514937795,496,496
1514941342,495,495
1514944974,496,496
1514948577,498,498
1514952182,498,498
1514955741,498,498
1514962976,496,496
1514966572,494,494
1514970140,493,493
1514973767,496,496
1514980992,494,494
1514988181,494,494
1514991789,494,494
1514998947,494,494
1515002542,493,493
1515006160,493,493
1515009803,492,492
1515013342,492,492
1515016977,493,493
1515020611,494,494
1515027766,494,494
1515031377,493,493
1515034978,493,493
1515038575,495,495
1515042126,494,494
1515045744,495,495
1515049368,493,493
1515052963,494,494
1515056562,495,495
1515067366,495,495
1515070970,497,497
1515078167,496,496
1515081772,495,495
1515085372,495,495
1515088971,494,494
1515096178,494,494
1515103405,495,495
1515106979,498,498
1515110572,499,499
1515114172,501,501
1515117771,500,500
1515121372,503,503
1515124962,503,503
1515128581,504,504
1515132175,502,502
1515135783,503,503
1515139392,504,504
1515142987,503,503
1515146598,504,504
1515153781,503,503
1515157394,506,506
1515160984,503,503
1515164580,502,502
1515168204,501,501
1515171794,501,501
1515175400,502,502
1515179008,500,500
1515182551,498,498
1515186180,498,498
1515189811,499,499
1515193410,498,498
1515200594,497,497
1515204187,496,496
1515211401,494,494
1515214985,492,492
1515218607,491,491
1515222189,490,490
1515225808,489,489
1515229409,489,489
1515232987,492,492
1515236568,490,490
1515240145,489,489
1515243737,490,490
1515250937,488,488
1515254546,480,480
1515258139,480,480
1515261746,478,478
1515265342,477,477
1515268933,477,477
1515272539,478,478
1515276147,477,477
1515279770,479,479
1515283377,478,478
1515286964,479,479
1515290573,483,483
1515294146,482,482
1515297788,481,481
1515301361,480,480
1515304972,479,479
1515308570,478,478
1515312200,479,479
1515315808,481,481
1515319407,483,483
1515322999,484,484
1515326587,485,485
1515333806,483,483
1515340938,484,484
1515344555,483,483
1515348186,483,483
1515355367,484,484
1515358995,485,485
1515362588,488,488
1515366174,486,486
1515369756,484,484
1515373383,482,482
1515377004,487,487
1515380588,487,487
1515384164,488,488
1515387786,490,490
1515391392,490,490
1515398582,491,491
1515402181,492,492
1515405789,491,491
1515412977,495,495
1515416603,497,497
1515420206,505,505
1515423808,507,507
1515427390,509,509
1515430998,518,518
1515434595,521,521
1515438205,521,521
1515441807,523,523
1515445413,525,525
1515449000,525,525
1515452606,520,520
1515456213,507,507
1515459799,497,497
1515463395,498,498
1515466993,492,492
1515470576,495,495
1515474185,494,494
1515481408,493,493
1515492180,491,491
1515495779,490,490
