DateTime,AddedIPs,RemovedIPs
1506063689,1,0
1506078091,1,0
1506092489,0,2
1506103290,1,0
1506117690,1,0
1506139298,0,1
1506150097,0,1
1506175295,1,0
1506178895,0,1
1506193295,0,1
1506200492,0,1
1506207694,1,0
1506250897,0,1
1506254497,1,0
1506261694,0,2
1506279705,1,0
1506283302,0,2
1506308504,1,0
1506391301,0,1
1506398497,0,1
1506416495,1,0
1506423693,0,1
1506470500,0,2
1506474101,1,0
1506499302,1,0
1506510099,1,0
1506556901,1,0
1506560503,2,0
1506567700,1,0
1506578503,1,0
1506603701,1,0
1506607301,2,0
1506625301,1,0
1506664904,1,0
1506675695,0,1
1506690096,0,1
1506693695,0,1
1506733296,1,0
1506801694,0,1
1506805292,1,0
1506866492,1,0
1506884489,0,1
1506913295,0,1
1506916901,0,1
1507010495,1,0
1507042903,1,0
1507068103,1,0
1507071703,0,1
1507078902,0,1
1507122105,0,1
1507132908,2,0
1507154505,0,1
1507161702,0,1
1507165303,0,2
1507172495,0,2
1507183307,0,1
1507204898,0,1
1507208501,0,1
1507212100,0,2
1507230111,0,1
1507244507,1,1
1507251710,1,0
1507298512,0,1
1507320093,1,0
1507327295,1,0
1507334494,0,1
1507338096,0,1
1507381243,1,0
1507428100,0,1
1507460502,1,0
1507503699,1,0
1507615299,0,1
1507647698,0,1
1507658493,1,0
1507672899,0,1
1507730495,1,0
1507737695,0,1
1507806074,1,1
1507849265,0,1
1507910428,0,1
1507914038,1,0
1507932019,0,1
1508043642,0,1
1508047241,1,0
1508065225,0,1
1508079650,1,0
1508108459,0,1
1508162485,1,0
1508202099,0,1
1508216497,1,0
1508220093,1,0
1508263300,0,1
1508328102,1,0
1508335296,0,1
1508590902,1,0
1508630501,1,0
1508652101,0,1
1508752891,1,0
1508770897,1,0
1508824891,0,1
1508828494,0,1
1508835694,0,1
1508842898,1,0
1508850114,0,1
1508875308,1,0
1508878903,1,1
1508922101,0,1
1508958100,0,1
1508961712,0,1
1509019308,0,1
1509022904,1,0
1509123700,1,0
1509127302,1,0
1509152510,1,0
1509163302,0,1
1509206496,0,1
1509242472,0,1
1509357711,0,1
1509361303,2,0
1509372102,1,0
1509393714,2,0
1509400913,2,0
1509444097,1,0
1509447705,1,1
1509487310,1,0
1509523297,1,0
1509526910,1,0
1509537704,1,0
1509548521,1,0
1509552123,1,0
1509732103,0,1
1509735705,0,1
1509739307,1,0
1509757318,0,1
1509771722,0,1
1509789716,1,0
1509796923,0,1
1509818511,1,0
1509868907,1,0
1509879711,1,0
1509890519,1,0
1509922911,1,0
1509951726,1,0
1509969722,1,0
1509973318,1,0
1509984116,1,0
1509987720,1,0
1510005716,0,1
1510020111,1,0
1510023707,1,0
1510041711,1,0
1510045324,0,1
1510048914,0,1
1510052518,1,1
1510063317,1,0
1510066918,1,0
1510070512,0,1
1510074119,0,1
1510081316,1,0
1510095724,1,0
1510106528,0,1
1510128130,0,1
1510131742,0,2
1510142540,0,1
1510149732,1,0
1510153340,0,1
1510174919,0,1
1510268524,1,0
1510279321,0,1
1510344123,1,2
1510394497,0,1
1510423315,1,0
1510459326,0,1
1510473724,0,1
1510480900,1,0
1510484526,0,1
1510491708,1,0
1510495315,0,1
1510527682,0,1
1510538494,1,0
1510545733,1,0
1510549323,2,0
1510552919,1,1
1510563700,1,0
1510588970,1,0
1510603315,1,1
1510610519,0,1
1510621319,1,0
1510639322,0,1
1510653721,1,0
1510671719,0,2
1510678927,1,1
1510686118,1,1
1510700531,0,1
1510711278,2,0
1510754517,0,1
1510776113,1,0
1510808520,0,1
1510815674,1,0
1510873302,0,1
1510884119,1,0
1510905689,0,1
1511013725,1,0
1511028121,0,1
1511049742,1,0
1511082132,0,1
1511103733,1,1
1511150546,0,1
1511154144,0,1
1511157740,0,1
1511168530,0,1
1511175741,0,1
1511186546,1,1
1511193729,0,2
1511258534,0,1
1511262112,0,1
1511280132,1,0
1511323330,0,1
1511380927,1,0
1511395347,1,1
1511402530,0,2
1511467340,0,1
1511474525,1,0
1511478130,0,1
1511488931,0,1
1511514123,1,1
1511564526,1,0
1511575341,1,0
1511600523,1,0
1511614927,1,0
1511654545,0,1
1511701319,1,0
1511708527,0,1
1511737316,1,0
1511740949,0,1
1511805744,1,0
1511812877,1,0
1511827323,1,0
1511830931,1,0
1511838123,1,0
1511866893,1,0
1511870522,5,0
1511892133,1,0
1511895724,1,0
1511899332,1,0
1511910123,1,0
1511928125,1,0
1511949733,1,0
1511964148,0,1
1511985743,0,1
1512000143,0,1
1512039747,1,0
1512075756,1,0
1512090146,1,0
1512169362,0,1
1512183746,0,1
1512219741,1,0
1512226933,0,1
1512244934,1,0
1512306150,0,1
1512316954,1,0
1512392528,0,1
1512410530,0,1
1512417737,0,1
1512435723,1,0
1512446513,1,0
1512453725,0,1
1512464527,1,0
1512471739,0,1
1512475348,0,1
1512478959,0,1
1512496943,0,1
1512500554,0,2
1512514943,0,1
1512522153,0,1
1512532955,0,2
1512547349,0,1
1512554563,0,2
1512572545,0,1
1512615722,0,1
1512658945,0,1
1512680548,0,1
1512694928,1,1
1512738123,1,0
1512759732,1,0
1512892933,1,0
1512907351,0,1
1512928975,0,1
1512936115,1,1
1513011715,0,1
1513026137,1,0
1513040546,0,1
1513069355,0,1
1513072958,1,0
1513087314,1,0
1513112530,0,1
1513126927,0,1
1513130526,1,0
1513173728,0,1
1513177331,0,3
1513260161,1,0
1513267343,1,0
1513278152,0,1
1513285315,2,0
1513299736,0,1
1513335725,2,0
1513357333,0,1
1513360951,0,1
1513447359,1,0
1513454546,1,0
1513494114,1,0
1513519326,1,0
1513540942,0,1
1513602164,1,0
1513634551,0,1
1513638139,1,0
1513652553,1,0
1513659753,1,0
1513677761,0,1
1513692116,0,1
1513728159,1,0
1513742569,0,1
1513789349,1,0
1513803737,3,0
1513828946,1,0
1513836125,1,0
1513864946,0,1
1513868559,0,1
1513940541,0,1
1513972938,1,0
1514026958,0,1
1514041358,0,1
1514048576,0,2
1514052123,0,1
1514055730,1,0
1514116970,1,0
1514124144,0,1
1514149350,1,0
1514214154,0,1
1514242945,0,1
1514246570,1,0
1514253752,1,0
1514264551,0,1
1514300549,1,0
1514304154,1,0
1514314960,0,1
1514332965,1,0
1514336574,1,0
1514379758,1,0
1514383364,2,0
1514394150,0,1
1514401357,1,0
1514408560,0,2
1514412156,0,1
1514430153,0,1
1514433753,0,1
1514455331,0,1
1514667768,0,1
1514746966,0,1
1514754173,0,1
1514775754,1,0
1514840560,1,0
1514851363,0,1
1514854965,0,1
1514858565,0,1
1514880169,1,0
1514908953,0,1
1514912564,0,1
1514923366,0,1
1514937772,0,1
1514955718,1,0
1514962954,2,0
1514966547,1,0
1514977360,1,0
1514988158,0,1
1514995367,1,0
1514998924,2,1
1515006137,0,1
1515009780,1,1
1515013319,1,0
1515016953,1,0
1515027743,1,0
1515045721,1,0
1515049345,1,0
1515060142,1,0
1515067345,1,0
1515070949,1,0
1515092572,2,0
1515096155,1,0
1515099779,1,0
1515103382,1,0
1515114150,1,0
1515117749,1,0
1515128558,1,0
1515153759,2,0
1515171772,2,0
1515182528,2,0
1515196970,2,0
1515225786,1,0
1515236546,1,0
1515243715,1,0
1515250916,1,0
1515254526,1,0
1515268913,1,0
1515276127,1,0
1515312174,1,0
1515319386,1,0
1515380566,0,1
1515394972,1,0
1515409374,1,0
1515438182,1,0
