DateTime,AddedIPs,RemovedIPs
1514992372,58,72
1514995972,49,68
1514999583,49,42
1515003174,54,62
1515006771,49,60
1515010368,59,67
1515013971,57,74
1515017573,69,62
1515021175,69,65
1515024782,84,50
1515028378,60,65
1515031969,49,90
1515035574,64,61
1515039165,48,69
1515042752,61,54
1515046367,55,50
1515049966,65,49
1515053562,59,51
1515057168,54,71
1515060767,41,70
1515064362,62,56
1515067965,104,46
1515071558,71,47
1515075162,79,87
1515078766,91,93
1515082366,76,68
1515085967,87,70
1515089566,66,61
1515093175,74,42
1515096775,90,72
1515100367,89,52
1515103972,63,82
1515107572,57,58
1515111180,90,49
1515114775,99,42
1515118382,67,59
1515121969,70,82
1515125577,76,64
1515129177,61,65
1515132781,62,60
1515136373,59,45
1515139971,71,67
1515143579,61,45
1515147184,54,71
1515150775,50,68
1515154375,80,58
1515157984,97,50
1515161576,62,64
1515165178,69,83
1515168782,71,57
1515172377,61,57
1515175984,75,79
1515179586,50,54
1515183195,74,65
1515186794,57,52
1515190389,51,66
1515193986,46,61
1515197592,97,70
1515201192,110,55
1515204791,53,69
1515211992,120,173
1515215588,61,46
1515219193,69,70
1515222781,60,74
1515226384,61,44
1515229987,72,65
1515233592,58,55
1515237188,62,76
1515240784,53,63
1515244385,75,44
1515247995,94,54
1515251590,55,82
1515255189,60,97
1515258782,73,78
1515262391,50,66
1515265984,62,72
1515269587,62,45
1515273189,68,71
1515276787,60,53
1515280388,50,74
1515283990,49,61
1515287586,81,43
1515291192,82,36
1515294791,62,58
1515298380,63,94
1515301985,70,70
1515305588,67,63
1515309183,65,70
1515312783,47,61
1515316386,77,64
1515319981,63,74
1515323571,55,69
1515327179,48,67
1515330778,66,64
1515334383,93,60
1515337986,49,38
1515341586,65,68
1515345183,57,84
1515348797,59,57
1515352383,57,56
1515355983,47,80
1515359583,63,36
1515363187,52,52
1515366783,52,47
1515370387,41,64
1515373981,49,51
1515377589,74,43
1515381185,79,49
1515384772,54,104
1515388381,48,89
1515391980,60,67
1515395564,53,63
1515399164,54,68
1515402766,55,60
1515406375,61,57
1515409976,53,43
1515413573,49,75
1515417163,44,68
1515420764,76,74
1515424382,88,63
1515427968,63,67
1515431569,74,80
1515435174,76,77
1515438767,45,68
1515442365,71,68
1515445972,58,62
1515449581,74,63
1515453179,58,54
1515456767,48,77
1515460364,37,59
1515463965,78,69
1515467571,67,42
1515471171,54,62
1515474777,57,84
1515478369,86,91
1515481970,48,64
1515485568,67,60
1515489163,57,72
1515492777,63,48
1515496369,64,63
1515499967,61,55
1515503557,47,82
1515507169,65,57
1515510766,74,46
1515514375,91,49
1515517971,52,74
1515521570,69,74
1515525173,61,61
1515528764,58,59
1515532373,58,60
1515535974,59,46
1515539575,71,66
1515543174,51,44
1515546767,41,85
1515550372,61,48
1515553972,68,45
1515557579,78,56
1515561167,68,67
1515564775,57,91
1515568371,80,68
1515571975,56,61
1515575570,59,61
1515579165,39,61
1515582780,77,80
1515586381,57,52
1515589978,46,55
1515593576,44,58
1515597176,60,57
1515600780,75,37
1515604380,61,53
1515607983,58,50
1515611577,62,40
1515615179,60,57
1515618782,60,55
1515622384,56,68
1515625987,75,74
1515629585,48,93
1515633183,42,66
1515636778,44,61
1515640376,33,64
1515643972,38,43
1515647571,32,78
1515651169,42,55
1515654764,46,74
1515658370,40,52
1515661969,37,39
1515665568,44,40
1515669163,43,64
1515672759,35,93
1515676360,46,75
1515679959,27,70
1515683555,40,74
1515687163,43,67
1515690763,45,69
1515694357,40,69
1515697959,76,72
1515701560,82,94
1515705154,68,85
1515708756,62,67
1515712360,65,58
1515715954,59,97
1515719547,59,108
1515723149,40,85
1515726752,64,73
1515730341,51,76
1515733927,53,67
1515737541,42,64
1515741141,49,57
1515744736,71,82
1515748338,62,74
1515751939,46,52
1515755540,99,52
1515759142,65,78
1515762738,56,96
1515766339,49,71
1515769938,64,81
1515773548,73,67
1515777140,74,56
1515780739,44,68
1515784344,83,46
1515787941,85,72
1515791544,84,56
1515795139,62,49
1515798746,91,47
1515802344,77,95
1515805939,64,114
1515809541,75,65
1515813144,60,57
1515816734,85,65
1515820363,63,66
1515823941,54,77
1515827545,56,57
1515831135,72,60
1515834740,93,64
1515838339,63,57
1515841945,76,53
1515845543,81,52
1515849141,51,72
1515852738,64,91
1515856344,51,65
1515859943,78,52
1515863540,64,61
1515867137,52,45
1515870743,42,67
1515874345,46,58
1515877940,51,69
1515881530,48,57
1515885140,76,44
1515888746,86,46
1515892342,55,66
1515895943,50,77
1515899542,61,62
1515903140,37,60
1515906745,49,68
1515910344,53,69
1515913939,67,72
1515917536,56,54
1515921137,61,82
1515924731,49,58
1515928340,55,57
1515931935,79,55
1515935531,95,63
1515939123,68,93
1515942731,64,70
1515946330,63,59
1515949927,69,59
1515953535,64,67
1515957142,63,42
1515960737,69,55
1515964335,58,58
1515967943,48,66
1515971535,38,61
1515975133,72,49
1515978734,73,48
1515982336,51,83
1515985925,65,88
1515989541,100,52
1515993139,43,56
1515996737,58,64
1516000341,42,63
1516003933,63,63
1516007533,60,72
1516011128,47,70
1516014734,46,55
1516018375,59,59
1516021921,67,48
1516025527,64,75
1516029128,60,78
