DateTime,AddedIPs,RemovedIPs
1514992449,55,56
1514996054,41,57
1514999663,46,37
1515003260,44,54
1515006855,43,50
1515010464,52,50
1515014054,45,67
1515017658,56,53
1515021263,61,56
1515024872,75,40
1515028469,55,51
1515032060,49,84
1515035655,61,56
1515039247,40,65
1515042843,51,50
1515046442,47,49
1515050043,53,45
1515053647,53,46
1515057250,48,60
1515060854,37,65
1515064451,61,52
1515068049,95,38
1515071645,65,42
1515075243,66,75
1515078847,83,86
1515082451,66,63
1515086055,69,48
1515089658,54,56
1515093263,65,35
1515096866,77,63
1515100460,71,47
1515104059,51,70
1515107660,41,51
1515111261,73,42
1515114860,84,36
1515118459,57,52
1515122061,60,75
1515125657,65,62
1515129257,44,58
1515132854,56,49
1515136455,53,39
1515140055,61,59
1515143658,58,40
1515147258,52,59
1515150855,48,62
1515154456,73,48
1515158063,87,44
1515161654,55,48
1515165257,57,72
1515168851,65,51
1515172461,59,53
1515176061,64,60
1515179669,46,48
1515183269,68,57
1515186869,51,45
1515190465,47,55
1515194068,44,58
1515197670,91,59
1515201277,102,49
1515204877,46,60
1515212074,103,157
1515215671,49,41
1515219268,56,64
1515222862,55,67
1515226462,55,40
1515230070,64,59
1515233670,50,52
1515237260,53,63
1515240862,50,56
1515244462,62,40
1515248065,80,43
1515251662,49,74
1515255260,54,85
1515258855,63,65
1515262461,48,55
1515266067,59,58
1515269664,57,40
1515273269,59,64
1515276861,55,47
1515280465,46,71
1515284065,40,54
1515287666,72,36
1515291271,76,30
1515294871,57,47
1515298452,53,84
1515302062,61,61
1515305659,54,57
1515309260,59,62
1515312856,37,56
1515316461,65,53
1515320062,50,56
1515323665,45,61
1515327263,40,58
1515330860,55,60
1515334460,74,50
1515338060,40,38
1515341666,55,57
1515345260,44,73
1515348861,51,53
1515352459,49,52
1515356058,35,73
1515359661,54,30
1515363272,44,50
1515366859,43,45
1515370465,39,60
1515374058,42,48
1515377670,63,39
1515381268,76,43
1515384859,49,91
1515388451,39,78
1515392052,55,59
1515395658,44,60
1515399249,44,66
1515402849,46,55
1515406451,58,53
1515410054,44,34
1515413647,43,70
1515417253,34,58
