DateTime,Entries,UniqueIPs
1514992449,11459,11459
1514996054,11443,11443
1514999663,11452,11452
1515003260,11442,11442
1515006855,11435,11435
1515010464,11437,11437
1515014054,11415,11415
1515017658,11418,11418
1515021263,11423,11423
1515024872,11458,11458
1515028469,11462,11462
1515032060,11427,11427
1515035655,11432,11432
1515039247,11407,11407
1515042843,11408,11408
1515046442,11406,11406
1515050043,11414,11414
1515053647,11421,11421
1515057250,11409,11409
1515060854,11381,11381
1515064451,11390,11390
1515068049,11447,11447
1515071645,11470,11470
1515075243,11461,11461
1515078847,11458,11458
1515082451,11461,11461
1515086055,11482,11482
1515089658,11480,11480
1515093263,11510,11510
1515096866,11524,11524
1515100460,11548,11548
1515104059,11529,11529
1515107660,11519,11519
1515111261,11550,11550
1515114860,11598,11598
1515118459,11603,11603
1515122061,11588,11588
1515125657,11591,11591
1515129257,11577,11577
1515132854,11584,11584
1515136455,11598,11598
1515140055,11600,11600
1515143658,11618,11618
1515147258,11611,11611
1515150855,11597,11597
1515154456,11622,11622
1515158063,11665,11665
1515161654,11672,11672
1515165257,11657,11657
1515168851,11671,11671
1515172461,11677,11677
1515176061,11681,11681
1515179669,11679,11679
1515183269,11690,11690
1515186869,11696,11696
1515190465,11688,11688
1515194068,11674,11674
1515197670,11706,11706
1515201277,11759,11759
1515204877,11745,11745
1515212074,11691,11691
1515215671,11699,11699
1515219268,11691,11691
1515222862,11679,11679
1515226462,11694,11694
1515230070,11699,11699
1515233670,11697,11697
1515237260,11687,11687
1515240862,11681,11681
1515244462,11703,11703
1515248065,11740,11740
1515251662,11715,11715
1515255260,11684,11684
1515258855,11682,11682
1515262461,11675,11675
1515266067,11676,11676
1515269664,11693,11693
1515273269,11688,11688
1515276861,11696,11696
1515280465,11671,11671
1515284065,11657,11657
1515287666,11693,11693
1515291271,11739,11739
1515294871,11749,11749
1515298452,11718,11718
1515302062,11718,11718
1515305659,11715,11715
1515309260,11712,11712
1515312856,11693,11693
1515316461,11705,11705
1515320062,11699,11699
1515323665,11683,11683
1515327263,11665,11665
1515330860,11660,11660
1515334460,11684,11684
1515338060,11686,11686
1515341666,11684,11684
1515345260,11655,11655
1515348861,11653,11653
1515352459,11650,11650
1515356058,11612,11612
1515359661,11636,11636
1515363272,11630,11630
1515366859,11628,11628
1515370465,11607,11607
1515374058,11601,11601
1515377670,11625,11625
1515381268,11658,11658
1515384859,11616,11616
1515388451,11577,11577
1515392052,11573,11573
1515395658,11557,11557
1515399249,11535,11535
1515402849,11526,11526
1515406451,11531,11531
1515410054,11541,11541
1515413647,11514,11514
1515417253,11490,11490
1515420853,11498,11498
1515424453,11520,11520
1515428055,11524,11524
1515431657,11514,11514
1515435257,11516,11516
1515438858,11491,11491
1515442460,11477,11477
1515446063,11474,11474
1515449663,11482,11482
1515453259,11485,11485
1515456865,11457,11457
1515460454,11432,11432
1515464059,11443,11443
1515467659,11463,11463
1515471257,11453,11453
1515474864,11430,11430
1515478457,11424,11424
1515482064,11410,11410
