DateTime,AddedIPs,RemovedIPs
1514847813,0,1
1514851410,0,2
1514855013,2,3
1514858613,0,2
1514862211,1,6
1514869413,0,2
1514873016,1,0
1514876620,2,0
1514880219,0,2
1514883814,1,0
1514887415,2,0
1514891013,1,0
1514894612,0,1
1514898209,1,1
1514901819,3,0
1514905418,1,1
1514909012,0,1
1514916215,1,0
1514919816,0,2
1514923408,0,2
1514927022,1,2
1514930623,0,1
1514934218,2,2
1514937818,2,2
1514941422,8,3
1514945023,2,2
1514948620,1,0
1514952213,1,0
1514959410,2,1
1514963009,1,2
1514966610,1,1
1514970215,1,2
1514973814,1,0
1514977412,3,0
1514981012,2,1
1514984612,4,0
1514988209,1,4
1514991806,1,4
1514995408,4,1
1514999004,5,2
1515002609,2,1
1515006202,1,2
1515009807,6,0
1515013406,1,2
1515017001,2,4
1515020605,0,3
1515024214,2,5
1515027817,2,1
1515031408,1,0
1515035004,1,1
1515038601,2,1
1515042201,1,2
1515045796,1,0
1515049402,1,0
1515053001,1,7
1515056602,0,2
1515060202,3,2
1515063801,6,0
1515067398,1,3
1515071003,2,3
1515074595,0,1
1515078198,2,1
1515081797,3,6
1515085399,3,1
1515089006,2,2
1515092602,7,2
1515096202,3,4
1515099796,2,0
1515103400,2,2
1515107000,2,2
1515110602,1,6
1515114197,0,1
1515117801,1,0
1515121399,1,1
1515124998,2,1
1515132201,1,3
1515135799,0,2
1515139393,2,0
1515142999,3,2
1515146596,5,3
1515150201,2,2
1515153796,3,2
1515157402,1,2
1515160995,1,0
1515164593,1,1
1515171797,1,1
1515175402,1,2
1515179001,2,0
1515182610,2,1
1515186202,3,3
1515189807,1,1
1515193403,2,2
1515197007,1,5
1515200608,2,5
1515207807,5,1
1515211409,2,0
1515215005,2,3
1515218605,3,3
1515222203,1,2
1515225802,1,4
1515229404,1,3
1515233002,2,1
1515236604,4,1
1515240200,6,0
1515243802,5,1
1515247403,2,1
1515251007,1,4
1515254605,1,2
1515258197,1,2
1515261803,1,1
1515265403,0,1
1515268998,2,1
1515272606,2,0
1515276204,3,1
1515279801,0,2
1515283407,3,3
1515287002,2,1
1515290598,1,1
1515294206,2,0
1515297799,2,1
1515301402,3,0
1515305002,1,1
1515308600,2,1
1515312201,0,2
1515315802,2,1
1515319397,2,2
1515323015,2,1
1515326608,1,0
1515330202,0,2
1515333802,2,1
1515337403,0,1
1515341005,3,2
1515344602,2,2
1515351804,1,3
1515355405,5,0
1515359003,1,1
1515362606,2,0
1515366200,2,0
1515369803,2,1
1515373404,2,1
1515380602,1,0
1515387801,1,0
1515391403,3,1
1515394998,1,0
1515398598,1,0
1515402196,1,0
1515405796,1,0
1515409400,3,0
1515412996,2,4
1515416604,0,1
1515420204,1,1
1515423804,3,0
1515427402,2,1
1515430999,2,4
1515434597,1,2
1515438204,2,2
1515445403,0,1
1515449001,2,0
1515456203,1,1
1515463407,0,1
1515467004,2,0
1515474208,0,1
1515477807,0,1
1515481403,1,1
1515485002,3,0
1515488603,4,1
1515492198,0,2
1515495798,1,2
1515499396,1,0
1515502998,1,1
1515506603,3,1
1515510195,0,1
1515513802,2,0
1515521002,0,1
1515524604,0,1
1515528211,4,2
1515531807,0,1
1515535399,1,1
1515539002,1,2
1515542602,0,1
1515546202,0,5
1515549801,2,2
1515553402,1,1
1515556997,2,1
1515564203,0,1
1515567805,1,0
1515571395,3,2
1515575001,5,0
1515578593,0,2
1515582210,3,1
1515585805,2,0
1515589400,2,5
1515593012,1,4
1515600203,4,2
1515603803,4,5
1515607418,2,0
1515611008,4,2
1515614603,1,2
1515618209,2,2
1515621805,3,3
1515625413,1,1
1515629010,6,5
1515632605,0,1
1515636206,2,2
1515639804,0,2
