DateTime,AddedIPs,RemovedIPs
1516193716,3,0
1516195816,5,0
1516197617,29,0
1516197916,84,0
1516198515,216,0
1516198815,9,0
1516199415,42,3
1516200016,43,0
1516200916,5,0
1516203315,1,0
1516205116,4,0
1516205715,244,0
1516206316,171,3
1516208416,2,0
1516208714,5,1
1516209015,1,0
1516210515,72,0
1516211716,1,0
1516212016,1,0
1516214117,2,0
1516214416,13,0
1516215617,49,0
1516216214,158,0
1516216516,13,0
1516217715,2,0
1516218315,72,0
1516219516,5,0
1516221915,1,0
1516224016,5,0
1516224617,87,0
1516224915,7,0
1516225814,21,6
1516226417,50,0
1516227617,2,0
1516227916,1,0
1516228515,4,0
1516229716,17,0
1516230915,20,1
1516231815,31,0
1516232416,22,0
1516233618,3,0
1516234215,5,0
1516235715,27,0
1516236615,11,0
1516238115,60,0
1516241715,4,0
1516242016,22,0
1516243215,2,3
1516243515,3,0
1516244116,35,0
1516246515,3,0
1516248016,16,0
1516248915,1,0
1516249216,4,0
1516249815,6,0
1516250416,36,0
1516252215,6,0
1516253715,22,0
1516254315,1,0
1516254915,23,0
1516255217,1,0
1516256736,9,0
1516257015,37,0
1516258215,4,0
1516260016,12,0
1516261217,1,0
1516261515,1,0
1516263616,1,0
1516263917,4,0
1516264815,13,3
1516265415,61,0
1516267219,2,0
1516268417,1,0
1516268715,3,0
1516269316,1,0
1516269915,5,0
1516270515,2,0
1516270817,5,0
1516271414,38,0
1516272615,2,0
1516274115,3,0
1516274715,8,0
1516275315,12,0
1516275615,34,3
1516276215,46,0
1516276816,2,0
1516279515,3,0
1516281315,6,0
1516281915,55,0
1516282215,24,0
1516283415,3,0
1516283717,9,0
1516284018,1,0
1516284316,5,0
1516284616,6,3
1516285216,10,0
1516285816,35,0
1516286115,3,0
1516287015,2,0
1516287617,3,1
1516289116,171,0
1516289415,1,0
1516290017,3,0
1516290316,5,0
1516290615,5,0
1516290916,7,0
1516291222,47,3
1516292416,2,0
1516294215,21,0
1516294817,2,0
1516295414,1,0
1516296616,27,9
1516296915,42,0
1516297515,3,0
1516300216,1,0
1516300816,1,0
1516302915,33,0
1516303518,4,0
1516304417,30,0
1516304716,30,0
1516307119,6,0
1516307715,160,16
1516308315,4,0
1516308915,21,0
1516309515,1,0
1516312215,1,0
1516313415,45,3
1516315215,2,0
1516320016,1,0
1516320615,4,0
1516322417,3,0
1516322716,17,0
1516323314,68,0
1516324514,3,0
1516326016,12,0
1516326915,9,0
1516327217,1,0
1516328119,7,0
1516328417,34,5
1516329016,0,4
1516329617,3,3
1516330215,3,3
1516330817,0,5
1516331115,0,3
1516332316,3,0
1516332914,1,0
1516333515,8,0
1516334715,8,0
1516335315,10,0
1516335615,5,0
1516336516,22,0
1516338016,2,0
1516338615,4,0
1516339216,4,0
1516339817,6,0
