DateTime,AddedIPs,RemovedIPs
1508318116,0,1
1508330114,0,1
1508334316,0,2
1508375715,0,1
1508379616,0,1
1508409915,47,0
1508410215,19,0
1508410515,8,0
1508416216,10,0
1508430614,12,0
1508450115,0,1
1508452516,0,2
1508452814,0,1
1508453115,17,0
1508454315,194,0
1508454615,0,1
1508459715,0,1
1508467516,0,1
1508484614,20,0
1508485516,0,1
1508490314,0,1
1508490616,0,1
1508509515,0,1
1508518214,0,1
1508524814,19,1
1508541014,0,1
1508542515,12,0
1508556615,0,1
1508574015,0,3
1508577015,14,0
1508580016,5,0
1508584215,5,0
1508598920,11,1
1508599520,4,0
1508603415,2,0
1508603715,4,0
1508605215,6,0
1508606719,5,0
1508609114,2,0
1508610014,1,0
1508614216,4,0
1508614515,0,1
1508616915,1,0
1508617216,7,0
1508623217,5,0
1508623515,2,0
1508624115,1,0
1508625015,1,0
1508625616,1,0
1508636715,0,1
1508637314,0,1
1508652016,0,1
1508658615,0,1
1508661015,17,0
1508684716,10,0
1508685316,0,1
1508687715,0,1
1508690715,11,0
1508696723,0,1
1508703615,0,1
1508712016,8,0
1508712616,10,0
1508712914,2,0
1508713814,57,0
1508714416,5,0
1508775015,0,1
1508784615,0,1
1508800815,0,1
1508836516,0,1
1508852416,0,1
1508861715,0,1
1508862315,0,1
1508876718,0,1
1508905815,0,1
1508921116,0,1
1508944215,0,1
1508959216,0,1
1508976015,0,1
1509011416,0,1
1509011715,0,2
1509012016,0,1
1509022215,0,1
1509052816,0,1
1509053416,0,1
1509057615,0,2
1509063015,0,1
1509071124,0,1
1509088816,0,1
1509148514,0,1
1509171015,0,1
1509171315,0,3
1509171615,0,2
1509171928,0,1
1509209715,9,0
1509217518,0,1
1509292816,22,0
1509349216,0,1
1509349516,0,1
1509361814,0,1
1509369918,0,1
1509372914,0,1
1509373525,1,0
1509393015,0,1
1509461715,0,1
1509531920,0,1
1509533415,0,1
1509534016,0,1
1509534316,0,1
1509545715,0,1
1509561914,0,1
1509567615,0,1
1509578416,0,1
1509596115,0,1
1509603015,0,1
1509610215,0,1
1509614115,0,1
1509646215,0,1
1509667216,0,1
