DateTime,AddedIPs,RemovedIPs
1514949316,1,1
1514949616,3,0
1514950215,11,0
1514950816,1,0
1514951117,5,0
1514951715,5,0
1514952316,4,0
1514953216,3,0
1514953526,1,0
1514954115,1,0
1514954416,2,0
1514955017,1,0
1514955316,2,0
1514956216,1,0
1514956515,2,0
1514957116,2,0
1514958016,1,0
1514958317,1,0
1514958916,5,0
1514959218,1,0
1514959515,1,0
1514960115,2,0
1514960416,1,0
1514961316,4,0
1514961915,3,0
1514962215,2,0
1514962817,4,0
1514963416,4,0
1514963716,1,0
1514965516,1,0
1514965817,3,0
1514966115,5,0
1514966418,2,0
1514966717,2,0
1514967017,2,0
1514967617,4,0
1514968516,7,0
1514968817,0,2
1514969415,1,0
1514975115,1,0
1514975717,3,0
1514976316,3,0
1514976615,1,0
1514977217,1,0
1514977515,4,0
1514978115,3,0
1514982017,1,0
1514984715,2,0
1514985017,2,0
1514985616,3,0
1514985918,1,0
1514986516,3,0
1514987116,1,0
1514991915,1,0
1514992215,1,0
1514996716,0,1
1514998516,1,0
1514998817,1,0
1514999415,3,0
1515000016,1,0
1515002423,2,0
1515003918,3,0
1515004217,1,0
1515004817,1,0
1515006616,2,0
1515007216,4,0
1515007516,5,0
1515008116,3,0
1515008418,2,0
1515009316,7,0
1515009916,2,2
1515010516,1,0
1515013817,0,1
1515015016,3,0
1515015616,1,0
1515016817,1,0
1515023715,1,0
1515030315,1,0
1515031516,3,0
1515033015,8,0
1515037216,1,0
1515037516,1,0
1515038416,3,0
1515039017,4,0
1515047415,2,0
1515047716,1,0
1515048016,1,0
1515054616,5,0
1515054915,4,0
1515055515,2,0
1515056115,5,0
1515056417,2,0
1515057016,5,0
1515057616,1,0
1515062415,20,0
1515062716,5,0
1515063314,7,0
1515063916,1,0
1515064216,2,0
1515064816,1,0
1515066616,5,0
1515067216,3,0
1515067815,1,0
1515069615,1,0
1515069916,1,0
1515073216,1,0
1515074416,1,0
1515074714,1,0
1515078316,1,0
1515079216,1,0
1515079516,1,0
1515080116,5,0
1515080417,1,0
1515081015,7,0
1515081316,2,0
1515086417,1,0
1515086718,1,0
1515087915,12,0
1515088217,3,0
1515088817,1,0
1515089416,4,0
1515090016,5,0
1515090315,1,0
1515093315,3,0
1515096316,0,1
1515096616,0,1
1515096915,0,2
1515097216,1,0
1515097521,3,0
1515098114,7,0
1515099015,4,0
1515099617,4,0
1515100516,4,0
1515100815,1,0
1515101715,3,0
1515102916,11,0
1515105615,2,0
1515105915,2,0
1515106515,8,0
1515106819,1,0
1515107716,8,0
1515108916,1,0
1515110417,0,1
1515113715,2,0
1515114615,0,1
1515114915,1,0
1515115525,1,0
1515116116,1,0
1515118215,1,0
1515119127,1,0
1515123315,2,0
1515131117,4,0
1515131416,2,0
1515131715,6,0
1515132017,2,0
1515133532,3,0
1515138316,2,0
1515140115,1,0
1515140715,2,0
1515143415,1,0
1515144016,7,0
1515144316,7,0
1515144914,13,0
1515145216,1,0
1515145815,7,0
1515146115,1,0
1515146416,4,0
1515147015,4,0
1515147616,1,0
1515151216,1,0
1515151525,1,0
1515152716,3,0
1515153016,3,0
