DateTime,AddedIPs,RemovedIPs
1507792215,2,0
1507812014,0,1
1507818914,0,1
1507822815,0,1
1507831515,0,2
1507833913,0,1
1507932312,0,1
1507959314,0,2
1507975815,0,1
1508014514,0,1
1508058915,0,1
1508062814,0,1
1508078115,0,1
1508092214,1,0
1508099119,0,1
1508106614,3,0
1508113514,0,1
1508132414,0,1
1508137514,0,1
1508163921,0,1
1508229314,137,0
1508257813,38,3
1508286016,27,0
1508286317,3,0
1508293814,0,1
1508298014,0,1
1508314215,1,0
1508314815,11,0
1508343615,19,0
1508365816,0,1
1508366414,0,1
1508372415,22,3
1508397014,1,0
1508401215,11,0
1508409914,1,0
1508410215,1,0
1508427014,1,0
1508430017,31,0
1508442615,0,1
1508458815,23,0
1508459117,11,0
1508463615,2,0
1508464215,1,0
1508464815,2,0
1508465114,1,0
1508466014,2,0
1508487914,8,3
1508516415,21,0
1508529014,1,0
1508545215,13,3
1508574014,6,0
1508602814,21,3
1508622015,1,0
1508628323,1,0
1508631615,26,0
1508645714,0,1
1508660416,15,0
1508686514,0,1
1508689216,20,6
1508718014,21,0
1508732115,0,1
1508746815,10,0
1508748616,2,0
1508749215,2,0
1508749814,3,0
1508763314,0,2
1508763615,0,1
1508764214,0,1
1508766614,0,1
1508775014,0,1
1508775914,29,0
1508790315,1,0
1508792114,1,0
1508792415,1,0
1508793014,1,0
1508797215,1,0
1508797523,0,1
1508804414,18,0
1508830215,0,1
1508833214,12,0
1508847314,0,1
1508854214,0,1
1508855714,1,0
1508862314,18,1
1508874015,1,0
1508883615,0,2
1508890815,23,0
1508892015,1,0
1508919615,13,0
1508922015,0,1
1508926514,0,1
1508928016,1,0
1508948414,27,3
1508957414,1,0
1508961014,0,1
1508963714,1,0
1508964315,0,1
1508977215,24,0
1508977518,4,0
1508992215,0,1
1509006014,10,0
1509034816,24,0
1509035117,20,0
1509040215,0,1
1509043815,0,1
1509060615,0,1
1509063615,14,3
1509064514,13,0
1509092415,12,3
1509093615,0,1
1509121216,16,6
1509121526,32,0
1509146114,5,0
1509150016,18,0
1509150615,19,0
1509152114,42,0
1509152415,3,0
1509152714,3,0
1509153615,8,0
1509169815,0,1
1509171014,0,1
1509178814,11,0
1509189314,0,1
1509207615,27,0
1509227414,0,1
1509236415,7,6
1509237615,0,1
1509243014,3,0
1509246915,6,0
1509248415,19,0
1509262215,0,1
1509265214,12,0
1509294015,10,0
1509301518,1,0
1509322814,15,0
1509326718,1,0
1509327314,0,1
1509334814,0,1
1509351614,10,0
1509380416,19,0
1509381014,32,0
1509409216,18,0
1509409522,31,0
1509438015,14,3
1509466816,27,0
1509467124,11,0
1509489614,0,1
1509494415,0,1
1509495619,25,0
1509495915,9,0
1509524415,10,0
1509546914,0,1
1509551415,1,0
1509553815,35,1
1509576016,3,0
1509576615,4,0
1509582019,21,3
1509582315,16,0
1509582914,1,0
1509588915,0,1
1509606614,0,1
1509610815,11,0
1509639615,14,0
1509647125,0,1
1509662114,1,0
1509669614,14,0
1509697215,9,0
1509713414,0,2
1509726016,30,0
1509754816,13,0
1509783615,8,0
1509882016,0,1
1509893714,1,0
1509913215,44,0
1509918615,3,0
1509918914,4,0
1509919814,2,0
1509927615,16,0
1509927921,5,0
1509942315,17,0
1509949814,7,0
1509956416,5,0
1509958215,1,0
1509961814,0,1
1509966015,1,0
1509967215,1,0
1509970814,24,0
