DateTime,AddedIPs,RemovedIPs
1510464636,256,0
1510530309,0,768
1510534932,768,0
1510542908,0,256
1510551022,0,256
1510554635,256,0
1510555510,0,256
1510593329,256,0
1510621431,1536,768
1510623021,256,0
1510626618,0,256
1510633821,256,0
1510644645,0,256
1510677910,0,256
1510704066,1280,0
1510707173,256,768
1510708510,0,256
1510710665,256,0
1510714680,256,0
1510743176,768,0
1510777824,256,0
1510782631,256,0
1510787765,0,1536
1510788632,256,0
1510793472,0,256
1510795825,0,256
1510813842,256,0
1510830070,0,1024
1510836311,0,256
1510864245,0,512
1510875006,0,256
1510880823,1280,0
1510882242,256,0
1510885846,256,256
1510888121,512,0
1510900255,0,256
1510927871,256,0
1510967244,768,768
1510968642,0,512
1510971271,0,256
1510972251,256,0
1510974556,0,256
1510978171,256,0
1510993843,0,256
1511013902,0,256
1511052312,0,1280
1511053224,1536,0
1511058654,0,256
1511063110,0,256
1511064022,256,0
1511139014,1280,0
1511139651,0,1280
1511145034,256,0
1511220825,2048,0
1511225119,768,0
1511226918,256,1280
1511252444,1280,0
1511254804,768,0
1511256074,256,0
1511257509,0,256
1511261116,256,0
1511262914,256,0
1511275520,256,0
1511306134,0,512
1511310603,0,1024
1511312403,0,256
1511321402,0,256
1511338837,0,1792
1511340336,0,512
1511341205,0,256
1511343937,0,256
1511346603,0,256
1511348403,0,256
1511354737,0,256
1511361938,0,256
1511364049,1536,0
1511365526,256,0
1511369120,0,256
1511370928,1024,0
1511378133,1024,0
1511383532,256,0
1511386203,0,256
1511387134,256,0
1511392841,256,0
1511443803,1792,0
1511446879,256,0
1511449203,0,1024
1511456402,0,768
1511461803,256,0
1511464856,0,512
1511469930,0,256
1511471737,256,0
1511477139,256,0
1511493681,256,0
1511530202,0,3840
1511536558,0,256
1511541003,0,256
1511544602,2304,0
1511558132,256,0
1511567154,256,0
1511571603,512,0
1511585139,0,256
1511594447,0,256
1511623587,1536,0
1511630130,0,768
1511636402,0,256
1511637726,256,0
1511655839,256,0
1511657138,0,512
1511666142,0,256
1511687738,256,0
1511706074,512,0
1511709717,0,1792
1511714724,256,0
1511716869,0,512
1511723723,0,256
1511738139,256,0
1511765139,0,256
1511773205,0,256
1511775003,0,256
1511791204,0,768
1511792477,1024,0
1511801127,0,512
1511810134,256,0
1511814114,0,256
1511817645,256,0
1511822736,256,0
1511828154,256,0
1511878884,0,1024
1511882607,1792,0
1511887528,256,0
1511896892,256,0
1511910003,0,512
1511962203,768,0
1511967604,0,1280
1511973269,0,256
1511982931,0,256
1511986996,0,256
1511988337,256,256
1511995708,256,0
1511998204,0,256
1512007204,256,0
1512032406,0,256
1512048939,0,1024
1512055398,768,0
1512061204,0,256
1512074739,0,256
1512092739,0,256
1512138357,1536,0
1512141331,256,512
1512161182,256,0
1512169203,0,256
1512181369,256,0
1512224545,0,768
1512225003,0,256
1512227743,0,256
1512228636,1024,0
1512231328,256,0
1512234927,0,256
1512236082,256,0
1512238965,256,0
1512240328,256,0
1512247536,256,256
1512249743,256,0
1512254735,256,0
1512257404,0,256
1512292547,0,256
1512315003,0,768
1512316805,0,256
1512322204,0,256
1512325983,1024,0
1512327606,0,512
1512334805,0,512
1512340203,0,256
1512343390,512,0
1512347404,0,256
1512380736,256,0
1512394018,1536,0
1512405929,256,0
1512413129,0,512
1512421205,0,256
1512427533,256,0
1512429752,0,512
1512435603,0,256
1512467138,0,256
1512480201,0,1280
1512485137,0,256
1512491404,0,256
1512495004,2560,0
1512497720,256,0
1512501774,256,0
1512503121,256,0
1512506728,512,0
1512508530,0,256
1512515739,0,256
1512580535,0,1792
1512581530,2816,0
1512589521,0,256
1512602124,256,768
1512606604,0,256
1512613804,0,256
1512628204,0,256
1512653220,1024,0
1512668725,256,2304
1512674125,0,256
1512678604,0,256
1512679528,256,0
1512688949,256,0
1512694805,0,256
1512695742,256,0
1512739530,0,1024
1512753712,0,256
1512757832,1024,0
1512765097,0,256
1512774910,0,256
1512782110,0,256
1512801933,256,0
1512832534,256,0
1512837005,1280,0
1512843329,256,0
1512869004,256,256
1512915862,1792,0
1512922527,0,2304
1512924325,0,256
1512933331,256,0
1512945933,0,256
1512954005,256,0
1512967547,256,0
1513002293,0,1280
1513009805,0,512
1513013088,1280,0
1513025130,256,0
1513034133,256,0
1513039540,0,256
1513041341,256,0
1513062005,0,512
1513099450,0,1792
1513100741,256,0
1513106683,1024,0
1513111532,0,256
1513119608,0,256
1513125933,256,0
1513193081,0,1536
1513211127,1792,0
1513211406,0,256
1513212317,512,0
1513297464,0,1792
1513301407,768,0
1513302313,0,256
