DateTime,AddedIPs,RemovedIPs
1516437857,179,90
1516438353,65,4
1516438824,192,249
1516440049,329,136
1516440499,2,4
1516441219,203,167
1516441622,65,0
1516442197,150,158
1516442667,1,1
1516443164,227,135
1516444123,149,175
1516445575,349,337
1516446488,132,88
1516447476,166,195
1516448416,201,177
1516448822,321,0
1516449397,174,227
1516450608,224,203
1516451554,208,155
1516452501,193,286
1516453469,185,110
1516454422,199,202
1516455384,118,10
1516456344,244,227
1516457312,121,235
1516458498,161,182
1516459467,181,161
1516459622,55,0
1516460418,218,205
1516461407,185,307
1516462334,168,157
1516463307,220,114
1516464262,177,217
1516465225,162,230
1516466171,63,188
1516466822,78,0
1516467160,284,236
1516468098,137,236
1516469075,204,176
1516470012,158,113
1516470507,87,36
1516470997,187,268
1516471940,89,5
1516472898,181,188
1516473857,221,225
1516474022,69,0
1516474832,171,396
1516475783,184,3
1516476746,173,133
1516477697,179,212
1516478674,263,385
1516479617,129,196
1516480586,221,22
1516481223,41,0
1516481532,156,174
1516482522,144,336
1516483454,679,6
1516484417,602,196
1516484822,31,0
1516485393,191,137
1516485861,64,31
1516486341,492,1410
1516487293,116,208
1516488291,178,213
1516488422,43,0
1516489225,202,205
1516489699,31,0
1516490214,171,87
1516491648,273,409
1516492098,28,0
1516492574,131,9
1516493548,188,385
1516494035,3,2
1516494497,129,23
1516495480,166,301
1516495941,39,1314
1516496420,168,18
1516497382,141,225
1516497874,5,2
1516498335,174,138
1516499315,172,438
1516499775,0,2
1516500260,194,12
1516501217,78,198
1516501695,7,5
1516502195,185,330
1516502822,52,0
1516503134,197,17
1516504105,146,379
1516505068,184,15
1516505548,4,7
1516506012,164,153
1516506422,33,0
1516506982,174,447
1516507462,5,3
1516507944,183,17
1516508895,148,99
1516509381,7,2
1516509870,188,218
1516510022,49,0
1516510825,97,241
1516511314,3,0
1516511776,179,279
1516512762,215,245
1516513217,0,4
1516513700,173,225
1516514663,155,155
1516515158,5,4
1516515621,163,179
1516516606,135,244
1516517060,4,3
1516517222,82,0
1516517534,193,230
1516518495,159,243
1516519067,1,3
1516519476,155,217
1516520420,149,6
1516520906,53,4
1516521373,159,265
1516522364,153,14
1516522825,8,0
1516523293,200,241
1516524259,139,384
1516524422,47,0
1516524736,7,4
1516525246,140,217
1516526209,119,3
1516526660,4,2
1516527134,135,219
1516528101,189,165
1516528591,3,1
1516529061,139,346
1516530035,134,144
1516530751,1,1
1516531223,236,261
1516531622,56,0
1516532193,108,153
1516532665,3,0
1516533137,176,218
1516534092,137,181
1516534577,1,1
1516535081,150,137
1516535222,51,0
1516536022,115,252
1516536523,2,3
1516537096,150,232
1516538181,200,123
1516538424,7,1
1516538822,52,0
1516539139,123,203
1516540091,104,196
1516540337,4,2
1516541060,169,174
1516542025,142,141
1516542512,66,2
1516542972,182,130
1516543948,160,182
1516544430,3,3
1516544894,118,6
1516545868,164,443
1516546350,53,0
1516546846,175,166
1516547776,116,5
1516548255,2,2
1516548757,164,322
1516549699,178,12
1516550185,2,2
1516550669,168,351
1516551613,99,3
1516552595,189,353
1516553222,64,0
1516553532,177,9
1516554493,171,142
1516555474,171,222
1516555943,3,17
1516556413,117,364
1516556822,142,0
1516557373,213,13
1516558358,214,290
1516558814,25,58
1516559293,116,0
1516559786,6,6
1516560256,155,227
1516560422,33,0
1516561223,185,130
1516561716,2,7
1516562190,201,386
1516563136,171,24
1516563613,1,0
1516564119,248,356
1516565062,135,15
1516565558,6,0
1516566013,205,156
1516566994,167,402
1516567460,4,2
1516567622,45,0
1516567940,159,117
1516568895,179,3
1516569381,4,3
1516569876,709,412
1516570336,31,0
1516570812,456,7
1516571307,33,0
1516571772,146,191
1516572756,487,1526
