DateTime,Entries,UniqueIPs
1516473722,28403,36769
1516474322,28393,36758
1516474815,28403,36769
1516474936,28396,36761
1516475522,28398,36763
1516476122,28387,36751
1516476721,28366,36729
1516477321,28367,36731
1516477921,28359,36723
1516478644,28247,36608
1516479721,28231,36592
1516480564,28320,36680
1516480921,28310,36669
1516482122,28305,36664
1516482483,28190,36548
1516482722,28181,36539
1516483322,28175,36533
1516484522,28168,36523
1516485796,28158,36512
1516486323,28347,36703
1516487522,28309,36662
1516488243,28076,36429
1516488722,28066,36417
1516489321,28075,36427
1516489396,28071,36423
1516489921,28051,36403
1516490522,28012,36364
1516491181,27999,36349
1516492083,28100,36450
1516492322,28097,36447
1516492997,28065,36415
1516494121,28066,36417
1516494721,28065,36416
1516495323,28003,36353
1516495923,27928,36277
1516496521,27892,36240
1516496536,27891,36239
1516497122,27861,36209
1516498321,27862,36210
1516498922,27815,36162
1516499763,27835,36181
1516500722,27752,36098
1516501322,27769,36117
1516501684,27656,36004
1516501922,27654,36002
1516502521,27595,35942
1516503609,27679,36027
1516503722,27579,35926
1516504922,27491,35838
1516505524,27480,35827
1516506121,27418,35765
1516507397,27411,35758
1516508522,27405,35753
1516509363,27299,35645
1516509722,27273,35618
1516510322,27275,35620
1516510997,27273,35618
1516511521,27271,35616
1516512122,27281,35626
1516512722,27286,35630
1516513203,27361,35705
1516513322,27362,35706
1516514596,27376,35720
1516515121,27375,35719
1516515721,27370,35714
1516516381,27371,35715
1516517043,27386,35731
1516517521,27387,35732
1516518122,27381,35725
1516518197,27380,35724
1516518721,27380,35724
1516518963,27282,35626
1516519321,27279,35622
1516520522,27288,35633
1516520883,27379,35725
1516521797,27377,35723
1516522322,27378,35725
1516522922,27375,35722
1516523522,27375,35722
1516524723,27296,35643
1516525397,27288,35634
1516525921,27289,35635
1516526522,27285,35630
1516528563,27392,35735
1516528997,27391,35734
1516530723,27446,35786
1516530781,27444,35784
1516531321,27433,35773
1516531921,27424,35758
1516532644,27281,35614
1516533121,27293,35626
1516533722,27296,35629
1516534321,27294,35627
1516534563,27395,35729
1516534921,27392,35725
1516536483,27287,35619
1516537922,27288,35620
1516538404,27396,35729
1516538522,27388,35721
1516539737,27377,35710
1516540322,27374,35707
1516540922,27368,35694
1516541521,27368,35694
1516542484,27292,35617
1516543397,27281,35606
1516544522,27282,35607
1516545722,27280,35605
1516546322,27368,35694
1516546997,27374,35700
1516548244,27394,35719
1516549321,27383,35709
1516549921,27388,35711
1516550163,27302,35624
1516550597,27300,35622
1516551122,27302,35624
1516551722,27304,35627
1516552921,27309,35633
1516554008,27389,35714
1516554121,27375,35699
1516554197,27374,35698
1516555321,27350,35673
1516555981,27353,35676
1516556522,27350,35673
1516557842,27413,35734
1516558922,27420,35740
1516559762,27432,35752
1516560121,27432,35752
1516560722,27436,35756
1516561684,27229,35549
1516561921,27221,35540
1516562522,27222,35541
1516563122,27223,35542
1516563603,27328,35647
1516563721,27330,35649
1516564322,27331,35650
1516564997,27326,35645
1516565522,27322,35641
1516566122,27309,35628
1516567443,27372,35691
1516567922,27372,35691
1516569363,27209,35527
1516569721,27196,35510
1516570921,27207,35523
1516571283,27281,35599
1516571522,27284,35602
1516572198,27283,35601
1516573207,27284,35602
1516573321,27272,35589
1516573922,27273,35590
1516573981,27273,35590
1516574522,27272,35588
1516575123,27228,35546
1516576321,27232,35550
1516576922,27231,35549
1516578122,27229,35547
1516578722,27230,35548
1516579217,27086,35399
1516579322,27079,35391
1516579921,27078,35390
1516580522,27089,35401
1516581123,27208,35525
1516581721,27204,35521
1516582322,27205,35522
1516583042,27221,35534
1516583521,27222,35535
1516584122,27222,35536
1516584962,27287,35603
1516585322,27287,35602
1516586883,27136,35450
1516587121,27131,35445
1516588321,27132,35446
1516588803,27195,35510
1516588921,27199,35514
1516589522,27195,35510
1516590122,27196,35511
1516590722,27195,35510
1516591321,27197,35512
1516591921,27175,35490
1516592645,27163,35478
1516593721,27162,35477
1516594321,27160,35475
1516594922,27158,35473
1516595522,27159,35474
1516596121,27160,35475
1516596483,27247,35564
1516596721,27245,35562
1516597322,27247,35564
1516598405,27034,35349
1516598521,27027,35342
1516599121,27026,35341
1516599722,27011,35326
1516600323,27105,35421
1516600921,27101,35417
1516601521,27103,35419
1516602121,27102,35418
1516603322,27104,35420
1516603922,27105,35421
1516604164,27202,35518
1516604521,27205,35520
1516605121,27204,35519
1516605722,27203,35518
1516606084,27037,35349
1516606381,27038,35350
1516606921,27041,35353
1516607522,27041,35353
1516608013,27126,35438
1516608121,27127,35439
1516609322,27129,35441
1516609923,27049,35361
1516609990,27039,35352
1516610791,27027,35339
1516611843,27015,35326
1516612321,27016,35327
1516612921,27019,35330
1516613763,27097,35409
1516614122,27095,35407
1516614722,27096,35408
1516615374,27092,35404
1516615921,27085,35396
1516616522,27083,35394
1516617843,27149,35459
1516618922,27149,35459
1516619426,27149,35459
1516620005,27029,35339
1516620121,27019,35329
1516620722,27017,35327
1516621322,27015,35325
1516621923,27103,35414
1516622574,27102,35411
1516623121,27099,35408
1516623852,27170,35481
1516624322,27169,35480
1516624923,27162,35472
1516625763,27100,35410
1516626234,27104,35414
1516627321,27094,35401
1516627922,27096,35403
1516628521,27097,35404
1516629122,27097,35404
1516629612,27032,35336
1516629775,27031,35335
1516630322,27030,35334
1516630922,27027,35330
1516631523,27116,35418
1516632122,27119,35422
1516632722,27120,35423
1516633442,27117,35420
1516634522,27114,35416
1516635363,27183,35484
1516635722,27184,35485
1516636321,27184,35485
1516636922,27184,35485
1516637283,27037,35337
1516638122,27036,35336
1516638782,27032,35331
1516639444,27122,35424
1516640521,27120,35422
1516640575,27115,35417
1516641122,27090,35390
1516641722,27092,35392
1516642321,27090,35389
1516642921,27085,35384
1516643283,27014,35313
1516644175,26994,35293
1516644721,26993,35290
1516645321,26990,35287
1516646522,26993,35290
1516647123,27094,35391
1516647774,27111,35409
1516648321,27114,35412
1516649043,27017,35311
1516649581,27019,35313
1516650121,27018,35312
1516650962,27132,35426
1516651434,27130,35424
1516652522,27112,35406
1516653722,27124,35418
1516654322,27123,35417
1516654814,27016,35311
1516654922,27015,35310
1516654975,27014,35309
1516655522,27018,35313
1516656963,27081,35376
1516657321,27085,35380
1516657921,27087,35382
1516658522,27089,35385
1516659121,27086,35381
1516659721,27100,35396
1516660322,27095,35391
1516660803,26987,35282
1516660921,26994,35290
1516662177,26994,35289
1516662723,27097,35392
1516663322,27079,35374
1516663982,27078,35373
1516664643,27037,35333
1516665122,27040,35336
1516665722,27039,35335
1516666565,27142,35437
1516666922,27142,35438
1516667522,27150,35446
1516668121,27149,35445
1516668483,26988,35284
1516668722,26984,35280
1516669375,26982,35278
1516669922,26981,35277
1516670404,27077,35373
1516670521,27071,35367
1516671026,27078,35374
1516671723,27087,35383
1516672321,27088,35384
1516672922,27087,35383
1516674246,26983,35279
1516674722,26983,35280
1516674782,26982,35279
1516675321,26994,35292
1516675921,26994,35293
1516676163,27094,35393
1516676575,27096,35395
1516677121,27096,35395
1516678084,26997,35296
1516678921,27012,35311
1516679522,27015,35314
1516680011,27155,35454
1516680122,27152,35450
1516680722,27154,35452
1516681322,27153,35451
1516681926,27059,35356
1516681982,27059,35356
1516682521,27058,35355
1516683121,27057,35354
1516683844,26926,35227
1516684322,26935,35237
1516684921,26934,35236
1516685764,27031,35333
1516686121,27026,35328
1516687684,27070,35370
1516687922,27071,35371
1516688522,27079,35378
1516689121,27077,35376
1516689181,27048,35348
1516689721,27049,35349
1516690322,27048,35348
1516690975,27044,35344
1516691521,27045,35345
1516692121,27035,35335
1516693686,26951,35251
1516694522,26954,35254
1516694575,26953,35253
1516695121,26948,35248
1516695722,26949,35249
1516696922,26951,35251
1516697525,27034,35334
1516698175,27033,35333
1516698722,27032,35332
1516699443,27028,35328
1516699921,27026,35326
1516700522,27025,35325
1516701364,27099,35402
1516701776,27089,35392
1516702922,27086,35388
1516703285,26966,35265
1516704122,26984,35284
1516704721,26980,35280
1516705208,27060,35361
1516705389,27055,35356
1516705820,27071,35371
1516706522,27073,35373
