DateTime,AddedIPs,RemovedIPs
1516417321,2,24
1516417922,3,0
1516418521,5,7
1516419121,3,1
1516419722,0,12
1516420321,7,0
1516420922,3,9
1516421522,9,1
1516422121,0,11
1516422781,0,4
1516423322,2,0
1516424522,1,4
1516425122,2,14
1516426381,0,5
1516426921,0,2
1516428121,11,16
1516428721,2,0
1516429322,12,8
1516429921,0,1
1516430521,2,9
1516431122,1,0
1516431721,27,23
1516432321,1,5
1516432922,1,5
1516433521,2,0
1516434121,8,13
1516435321,9,3
1516435921,7,1
1516436522,5,3
1516437182,4,5
1516437722,2,3
1516438322,4,10
1516438921,11,25
1516439522,3,1
1516440122,2,9
1516441322,3,7
1516442521,7,12
1516443122,0,1
1516443722,6,6
1516445522,7,43
1516446946,12,9
1516447322,4,7
1516448522,14,17
1516449121,3,2
1516449722,15,6
1516450322,1,3
1516450922,7,0
1516452121,2,4
1516452722,11,4
1516453321,1,0
1516453921,2,0
1516454522,17,4
1516455181,2,9
1516455721,1,0
1516456321,0,2
1516456921,1,10
1516457521,5,2
1516458121,0,4
1516458781,4,3
1516459322,0,7
1516460521,4,11
1516461721,4,6
1516462923,27,0
1516463521,0,10
1516464722,4,1
1516465322,0,3
1516465921,1,1
1516466522,1,3
1516467722,2,0
1516468322,15,9
1516470122,21,23
1516470722,5,18
1516471322,4,1
1516471828,1,2
1516472522,2,14
1516473181,1,6
1516473722,2,0
1516474322,0,11
1516474921,0,5
1516475522,2,0
1516476122,1,13
1516476721,0,22
1516477321,2,0
1516477921,0,8
1516478521,3,0
1516479721,3,19
1516480381,2,7
1516480921,0,11
1516482122,2,7
1516482722,1,10
1516483322,1,7
1516484522,13,23
1516485721,8,20
1516487522,0,41
1516488122,1,18
1516488722,1,13
1516489321,10,0
1516489921,12,32
1516490522,14,53
1516491181,1,16
1516491721,1,0
1516492322,1,4
1516492922,1,31
1516494121,3,1
1516494721,0,1
1516495323,1,64
1516495923,3,3
1516496521,2,39
1516497122,0,30
1516498321,1,0
1516498922,2,50
1516499522,1,84
1516500722,2,85
1516501322,19,0
1516501922,0,2
1516502521,1,61
1516503722,0,101
1516504922,1,89
1516506121,2,64
1516507322,1,7
1516508522,8,13
1516509722,0,27
1516510322,2,0
1516510921,1,1
1516511521,0,2
1516512122,10,0
1516512722,6,2
1516513322,1,0
1516514522,25,10
1516515121,0,1
1516515721,2,7
1516516381,2,1
1516516922,4,0
1516517521,1,0
1516518122,1,8
1516518721,1,1
1516519321,0,4
1516520522,11,0
1516521722,0,2
1516522322,3,1
1516522922,4,7
1516523522,2,2
1516524722,1,10
1516525321,2,11
1516525921,1,0
1516526522,4,9
1516528322,1,17
1516530721,1,32
1516530781,0,2
1516531321,0,11
1516531921,0,15
1516532521,1,13
1516533121,26,14
1516533722,3,0
1516534321,0,2
1516534381,2,0
1516534921,4,8
1516536121,1,4
1516537922,2,1
1516538522,1,9
1516539721,4,13
1516540322,0,3
1516540922,0,13
1516541521,1,1
1516542121,0,8
1516543322,3,12
1516544522,5,4
1516545722,0,2
1516546321,3,8
1516546922,7,0
1516548121,0,6
1516549321,3,13
1516549921,8,6
1516550522,6,4
1516551122,2,0
1516551722,3,0
1516552921,10,4
1516554121,1,16
1516555321,6,31
1516555981,3,0
1516556522,4,7
1516557722,2,17
1516558922,7,1
1516560121,1,1
1516560722,4,0
1516561322,5,9
1516561921,3,12
1516562522,1,0
1516563122,1,0
1516563721,3,1
1516564322,1,0
1516564921,1,2
1516565522,0,4
1516566122,1,14
1516567321,4,2
1516567922,1,1
1516569721,4,21
1516570921,14,1
1516571522,3,0
