DateTime,AddedIPs,RemovedIPs
1515763691,2,0
1515764167,0,2
1515764664,1,0
1515768007,0,1
1515768491,0,3
1515768967,3,0
1515769448,0,2
1515769928,2,0
1515771365,0,2
1515771849,2,0
1515772332,0,3
1515772816,3,0
1515774011,0,4
1515774729,4,2
1515775205,2,1
1515775690,1,2
1515776166,2,0
1515776653,1,3
1515777129,3,0
1515779526,0,2
1515780017,2,0
1515780488,0,2
1515780970,2,0
1515783850,0,1
1515784324,1,0
1515785766,0,4
1515790086,7,3
1515791047,1,0
1515792007,0,2
1515792491,2,0
1515794887,0,1
1515795371,1,0
1515795845,0,1
1515796332,1,0
1515800133,1,0
1515800896,0,2
1515801365,2,0
1515802813,0,2
1515803287,2,0
1515806404,0,2
1515806888,2,0
1515809053,1,1
1515809524,1,0
1515810974,0,1
1515811446,1,0
1515811927,0,1
1515812417,1,0
1515817445,0,1
1515817929,1,0
1515819851,0,1
1515820326,1,0
1515820812,0,1
1515821285,1,0
1515824406,0,1
1515824893,1,0
1515827287,0,2
1515828250,1,0
1515828731,1,0
1515830651,0,2
1515831124,2,0
1515831612,0,1
1515832087,1,0
1515832568,0,1
1515835930,0,2
1515836407,2,0
1515837848,0,1
1515838327,1,0
1515838810,0,1
1515839290,1,0
1515842644,0,1
1515843132,1,0
1515845048,0,1
1515845525,1,0
1515846020,0,1
1515846490,1,0
1515850329,0,1
1515850810,1,0
1515853207,0,4
1515853684,4,0
1515854172,0,1
1515861605,0,1
1515862092,1,0
1515865927,0,1
1515866418,1,0
1515873128,1,0
1515876486,2,5
1515877455,0,1
1515877933,1,0
1515878409,0,1
1515878885,1,0
1515879368,0,2
1515879848,2,0
1515888486,0,1
1515888967,1,0
1515892329,0,1
1515892805,1,0
1515893766,0,1
1515894251,1,0
1515899050,0,2
1515899528,2,0
1515901931,0,3
1515902412,3,0
1515910089,0,1
1515910569,1,0
1515911048,0,3
1515911764,2,1
1515912249,2,0
1515912731,0,1
1515913451,1,0
1515914170,0,1
1515914647,1,0
1515916088,0,2
1515916570,2,0
1515920887,0,1
1515921369,1,0
1515926168,0,1
1515926649,1,0
1515928091,0,1
1515928570,1,0
1515929530,0,1
1515930006,1,0
1515931448,0,1
1515931929,1,0
