DateTime,AddedIPs,RemovedIPs
1498217456,204,196
1498236874,798,535
1498303852,307,1849
1498317730,231,223
1498340042,175,137
1498390250,183,248
1498417783,473,563
1498472265,290,257
1498472779,257,162
1498476651,145,2265
1498499724,280,134
1498554702,359,307
1498554806,143,135
1498563058,203,1041
1498585565,148,203
1498640615,592,527
1498649454,218,232
1498666604,296,184
1498694066,320,358
1498715582,124,151
1498735853,223,168
1498777620,487,421
1498777633,90,1675
1498822255,190,163
1498837592,282,293
1498837608,143,221
1498908651,180,200
1498942504,163,401
1498995046,259,181
1498998493,311,283
1498999456,239,182
1499023701,251,99
1499081451,263,187
1499082505,303,325
1499106393,377,389
1499120802,246,146
1499167850,243,218
1499189342,451,474
1499244064,405,472
1499254257,219,212
1499264484,245,148
1499269242,177,143
1499296016,325,293
1499340653,192,168
1499381775,672,614
1499417767,162,204
1499427059,193,223
1499449183,386,485
1499513453,243,242
1499525895,227,243
1499537950,225,134
1499541492,255,166
1499599883,196,259
1499601141,249,227
1499618674,98,115
1499628067,93,189
1499686246,201,206
1499703647,591,377
1499714178,232,162
1499774448,535,485
1499788304,241,267
1499789686,233,263
1499798915,249,214
1499860846,182,253
1499870754,208,224
1499875288,298,273
1499885211,257,183
1499947392,190,246
1499959949,484,423
1499963090,243,176
1500024938,167,139
1500033649,1910,236
1500044823,310,305
1500074322,399,391
1500120048,372,231
1500130359,460,426
1500154974,112,172
1500206448,375,412
1500216814,288,261
1500240089,270,95
1500241982,238,183
1500292848,295,174
1500314229,138,221
1500315285,226,220
1500379263,574,557
1500391290,303,279
1500398727,260,208
1500399708,216,184
1500402007,29,32
1500465649,197,191
1500478191,342,283
1500479489,233,246
1500480593,203,224
1500552046,187,185
1500566501,485,8200
1500574509,199,267
1500576229,305,372
1500638448,291,195
1500647966,7945,95
1500659727,574,445
1500724852,232,165
1500811258,195,187
1500821281,559,549
1500897648,613,2249
1500922199,535,670
1500931737,255,209
1500935712,151,136
1500984047,219,382
1500995791,147,221
1501013368,327,351
1501021917,242,140
1501070446,204,286
1501078062,439,169
1501092840,362,261
1501095205,208,193
1501156851,243,323
1501176448,484,490
1501179204,174,255
1501240525,300,167
1501243249,248,272
1501257905,319,325
1501269240,346,437
1501329649,427,206
1501350776,285,104
1501416049,374,207
1501419318,325,291
1501446986,445,550
1501500070,353,316
1501502449,301,271
1501526660,456,495
1501588852,1016,689
1501610007,223,237
1501610922,462,373
1501675247,191,201
1501681303,306,633
1501694166,405,362
1501761647,382,519
1501769772,343,203
1501779385,333,330
1501848051,202,214
1501860495,344,300
1501934448,279,199
1502020863,531,522
1502025930,870,1070
1502047819,234,126
1502107260,345,423
1502109893,308,264
1502130993,841,407
1502193647,224,441
1502201345,762,728
1502218156,230,431
1502280047,492,602
1502302922,622,659
1502303693,317,308
1502366448,423,519
1502386170,329,352
1502446533,168,242
1502452860,516,569
1502488827,873,473
1502539249,188,190
1502563082,337,93
1502568886,304,234
1502625671,176,237
1502644849,132,347
1502653436,104,375
1502712084,666,849
1502730868,270,148
1502731060,277,235
1502733299,257,146
1502798446,434,240
1502817614,161,214
1502818805,426,502
1502884849,463,213
1502893355,295,295
1502901156,824,346
1502971263,335,201
1502980440,442,472
1502984246,460,487
1503005886,227,117
1503057651,233,216
1503066619,333,306
1503088622,130,242
1503144048,268,254
1503230449,1165,1678
