DateTime,AddedIPs,RemovedIPs
1473180604,16384,22784
1473267003,256,28160
1473353403,32768,22784
1473439804,16640,55040
1473526204,256,23552
1473612605,1024,5376
1473699004,0,6144
1473785404,0,27648
1473871803,3328,43008
1473958203,0,36864
1474044604,6656,35072
1474131003,768,23552
1474217405,256,10496
1474303804,0,12288
1474390204,0,44800
1474476604,1536,96512
1474563004,2304,23040
1474649404,2048,23552
1474735804,1024,2124032
1474822204,3072,5120
1474908603,768,10496
1474995004,0,21760
1475081403,6656,562432
1475167804,2048,87552
1475254204,2048,22016
1475340603,1024,47104
1475427005,4352,1280
1475513404,0,4352
1475599804,256,25088
1475686204,2560,24832
1475772605,1536,34304
1475859003,0,36352
1475945405,2816,36864
1476031803,2048,6144
1476118204,0,6144
1476204603,256,21504
1476291004,17664,22784
1476377404,2048,26880
1476463804,2048,26880
1476550203,0,30208
1476636604,256,3072
1476723004,0,6912
1476809404,0,25088
1476895804,2048,34304
1476982204,2304,28416
1477068604,1280,37888
1477155005,2048,18432
1477241405,256,9728
1477327805,0,3584
1477414204,0,24832
1477500605,1024,38912
1477587008,0,45312
1477673405,1024,30720
1477759804,0,35840
1477846204,1024,6144
1477932605,256,5888
1478019005,0,302592
1478105404,4352,27136
1478191804,5120,17920
1478278207,3584,31488
1478364604,1024,33792
1478451004,2048,7168
1478537404,256,8704
1478623804,0,26368
1478710205,3072,33024
1478796604,0,23552
1478883005,1536,30208
1478969404,2304,21760
1479055804,1024,3072
1479142204,0,6400
1479228604,0,21504
1479315004,0,18688
1479401404,1024,18688
1479487805,0,28160
1479574204,5632,27648
1479660607,0,6400
1479747008,256,17152
1479833406,0,51200
1479919804,3072,18944
1480006203,1280,38144
1480092604,1280,35072
1480179004,2560,29184
1480265404,0,2304
1480351804,0,7424
1480438205,1024,19200
1480524603,0,33792
1480611006,0,57600
1480697404,0,25344
1480783804,5120,19968
1480870208,5376,7424
1480956604,512,9472
1481043003,0,30976
1481129403,0,26624
1481215804,2048,28928
1481302204,0,29952
1481388604,1024,22528
1481475004,0,4096
1481561404,0,2048
1481647804,0,24576
1481734205,1792,49664
1481820606,1024,33536
1481907004,65792,28928
1481993404,1024,23296
1482079805,4352,9216
1482166205,1024,5120
1482252604,1280,19200
1482339004,3328,28416
1482425405,6144,24576
1482511804,1024,18432
1482598203,0,1061632
1482684603,1024,0
1482771003,256,1024
1482857404,5120,9984
1482943805,3072,39936
1483030203,1536,19456
1483116604,2048,32512
1483203005,0,10240
1483289404,2048,1024
1483462204,0,20480
1483548604,1024,26112
1483635003,2048,546816
1483721403,0,27648
1483807804,256,15616
1483894204,0,9216
1483980607,0,5888
1484067007,0,21504
1484153404,1536,44288
1484239808,1792,32768
1484326234,2048,28160
1484412603,2048,21760
1484499004,256,19712
1484585403,1024,3328
1484671804,0,29952
1484758204,16384,46592
1484844604,0,24576
1484931003,1280,33536
1485017403,0,63744
1485103803,0,14592
1485190203,0,20992
1485276604,5120,17664
1485363004,32288,41984
1485449403,3584,17920
1485535804,1280,18688
1485622203,2048,19456
1485708604,2304,8704
1485795003,256,11264
1485881403,0,27648
1485967803,66560,30720
1486054203,256,55040
1486140603,1280,53504
1486227004,3328,14080
1486313403,1280,9728
1486399808,0,13824
1486486203,0,35072
1486572603,256,331776
1486659004,1024,44288
1486745404,13568,36352
1486831804,0,1191424
1486918204,256,9216
1487004604,0,7936
1487091004,0,1064448
1487177403,2048,27648
1487263805,139264,34816
1487350205,2304,17408
1487436604,0,110080
1487523004,0,8192
1487609404,0,6656
1487695803,4096,29440
1487782204,18176,27648
1487868604,256,43520
1487955005,0,16896
1488041404,512,28672
1488127804,2048,12288
1488214204,0,1024
1488300605,0,17920
1488387004,256,18432
1488473404,11520,37376
1488559804,8192,29184
1488646204,4096,17664
1488732604,1024,0
1488819005,0,6912
1488905404,8192,31488
1488991805,256,30720
1489078204,1536,34816
1489164604,4608,24576
1489251004,4096,33792
1489337404,0,8192
1489423804,0,5632
1489510203,0,23552
1489596613,0,17152
1489683004,0,26880
1489769404,2048,23552
1489855804,3584,30720
1489942204,0,7424
1490028603,0,5120
1490115004,0,25856
1490201403,286720,32256
1490287804,1024,35328
1490374203,131072,39424
1490460608,0,844800
1490547007,256,9216
1490633405,0,9216
1490719815,0,36864
1490806203,4096,34048
1490892603,0,38400
1490979006,0,30976
1491065405,10240,29184
1491151803,2816,9472
1491238203,0,13312
1491324604,0,1593600
1491411003,256,37632
1491497403,3851008,26880
1491583803,0,27648
1491670212,0,25856
1491756603,2816,8192
1491843003,0,9472
1491929404,0,23808
1492015804,0,36864
1492102204,0,30720
1492188604,8704,25856
1492275003,768,5632
1492361403,2816,0
1492447803,0,2048
1492534204,0,534784
1492620603,0,28672
1492707003,0,33792
1492793404,3328,61184
1492879804,3328,34048
1492966204,1536,3072
1493052603,1024,8192
1493139070,0,21504
1493225403,1024,35328
1493311803,28160,30208
1493398205,1024,12800
1493484603,0,97792
1493571003,0,78848
1493657403,0,768
1493743803,0,18432
1493830203,5632,33024
1493916604,21760,23808
1494003003,0,109568
1494089406,1024,57344
1494175803,1280,2048
1494262203,0,5376
1494348603,0,22272
1494435003,3840,31232
1494521403,2560,44288
1494607803,1536,38400
1494694204,1024,27648
1494780603,0,5120
1494867005,256,3328
1494953403,0,29952
1495039803,768,43008
1495126204,18944,553216
1495212603,0,118784
1495299003,1024,27904
1495385403,256,4864
1495471805,0,5632
1495558203,0,28928
1495644604,768,25856
1495731003,0,27904
1495817404,2048,1792
1495903803,1024,110592
1495990203,256,1024
1496076603,0,7936
1496163003,0,24576
1496249403,3072,35072
1496335803,4096,38912
1496422203,1024,41472
1496508604,256,22528
1496595003,2560,3584
1496681404,0,5888
1496767803,0,22016
1496854203,7424,32000
1496940603,1280,27136
1497027003,0,29696
1497113403,0,28672
1497199803,1024,218624
1497286204,0,7936
1497372603,1024,550912
1497459003,0,21504
1497545403,768,21760
1497631805,0,31232
1497718203,3072,75264
1497804603,1536,1024
1497891003,256,7424
1497977403,2304,24064
1498063803,12032,36608
1498150203,525312,32512
1498236603,0,27648
1498323003,1024,25600
1498409403,0,5120
1498495805,0,3840
1498582203,0,15360
1498668603,8192,32000
1498755003,5120,23040
1498841403,6144,38400
1498927803,14336,23040
1499014203,9472,4096
1499100603,0,3072
1499187008,0,547072
1499273403,5888,31744
1499359803,1024,23808
1499446203,1024,15360
1499532603,1024,18688
1499619003,7936,6144
1499705403,0,4352
1499791803,0,44800
1499878203,1536,36096
1499964603,18688,35840
1500051003,0,39680
1500137403,0,24064
1500223803,576,7168
1500310203,0,2816
1500396603,256,22784
1500483003,2304,17664
1500569403,5376,35840
1500655803,2304,35072
1500742203,0,17664
1500828603,256,5120
1500915003,0,1280
1501001403,256,9472
1501087803,2048,44032
1501174203,196608,44800
1501260603,132096,19200
1501347003,4352,13312
1501433403,3584,8704
1501519803,0,4608
1501606204,2304,14592
1501692604,18672,36864
1501779003,1024,52976
1501865403,2816,30976
1501951803,0,19712
1502038203,2304,3072
1502124603,0,1536
1502211003,256,29952
1502297408,1024,22784
1502383803,1024,24320
1502470203,2048,26624
1502556604,1024,25600
1502643003,1024,7168
1502729404,256,2816
1502815803,0,14592
1502902203,2048,16640
1502988603,2048,30720
1503075004,0,28928
1503161403,1536,12544
1503247803,0,6656
1503334203,0,7424
1503420603,0,21760
1503507003,3328,30720
1503593403,0,21248
1503679803,1024,27648
1503766204,1024,22784
1503852613,0,7168
1503939003,0,12288
1504025404,0,22272
1504111803,3072,16640
1504198204,1536,33280
1504284603,2048,22016
1504371005,0,12288
1504457404,1024,5120
1504543803,15616,6656
1504630203,4096,17408
1504716604,256,24832
1504803003,1024,17408
1504889403,4096,228608
1504975804,0,11264
1505062204,1024,1024
1505148604,0,4864
1505235003,0,27648
1505321403,2304,20992
1505407804,1280,37888
1505494204,2048,38912
1505580603,1024,23040
1505667004,0,11776
1505753403,8192,4352
1505839803,0,38400
1505926203,6400,7424
1506012603,1024,22016
1506099004,0,27136
1506185403,3328,84992
1506271804,1024,512
1506358203,512,15360
1506444603,2048,38400
1506531003,1024,35840
1506617403,6144,45312
1506703804,3328,27392
1506790204,7168,17664
1506876603,2048,9216
1506963004,768,0
1507049403,0,32000
1507135803,256,13056
1507222204,1024,30720
1507308604,7424,35328
