DateTime,AddedIPs,RemovedIPs
1480802402,1,0
1480845602,2,0
1480888803,1,0
1480910402,2,0
1480953602,1,0
1481018402,1,0
1481061602,1,0
1481083202,1,0
1481104801,1,0
1481148002,1,0
1481299202,1,0
1481364002,1,0
1481407202,1,0
1481428803,1,0
1481450403,1,0
1481472002,1,0
1481493604,1,0
1481515202,2,0
1481558402,1,0
1481580002,1,0
1481644802,2,0
1481731202,2,0
1481752802,2,0
1481860802,2,0
1481904003,1,0
1481990402,2,0
1482012002,1,0
1482033602,2,0
1482055201,1,0
1482076801,1,0
1482228002,1,0
1482292803,1,0
1482379203,2,0
1482444003,1,0
1482530402,2,0
1482573602,1,0
1482595203,3,0
1482638402,1,0
1482681602,1,0
1482724803,1,0
1482768002,3,0
1482789603,1,0
1482876002,2,0
1482897602,1,0
1482940802,1,0
1482984002,1,0
1483027202,2,0
1483048802,1,0
1483070404,1,0
1483156802,1,0
1483243203,1,0
1483264802,1,0
1483286402,3,0
1483394402,1,0
1483480802,1,0
1483502403,1,0
1483567202,3,0
1483696803,1,0
1483718402,1,0
1483740002,1,0
1483761603,1,0
1483783202,1,0
1483826402,1,0
1483891203,1,0
1483977602,1,0
1483999202,1,0
1484064002,1,0
1484085602,2,0
1484193602,1,0
1484236802,2,0
1484280002,2,0
1484431202,1,0
1484625601,2,0
1484755203,1,0
1484776801,1,0
1484906403,2,0
1485057603,1,0
1485122402,1,0
1485144003,2,0
1485208802,1,0
1485468002,1,0
1485489604,1,0
1485554401,1,0
1485576002,4,0
1485748802,2,0
1485770402,2,0
1485835202,4,0
1485856802,1,0
1485964802,1,0
1485986401,1,0
1486094403,1,0
1486159202,1,0
1486245602,1,0
1486288803,1,0
1486332002,1,0
1486353602,1,0
1486396801,1,0
1486418402,1,0
1486440001,4,0
1486483202,2,0
1486612801,1,0
1486634402,1,0
1486720802,1,0
1486742402,1,0
1486785602,2,0
1486807203,1,0
1486828803,2,0
1486850402,2,0
1486872002,2,0
1486893602,1,0
1486958402,1,0
1487001602,2,0
1487044803,1,0
1487066402,1,0
1487088002,1,0
1487109602,1,0
1487131203,2,0
1487152802,1,0
1487174402,2,0
1487217602,1,0
1487260802,1,0
1487304003,1,0
1487390402,1,0
1487412002,2,0
1487541602,2,0
