DateTime,AddedIPs,RemovedIPs
1515804006,20,18
1515805950,613,0
1515807858,18,33
1515809796,23,30
1515811953,12,21
1515813859,16,21
1515815790,15,27
1515817954,36,54
1515819893,18,22
1515821773,16,27
1515823727,10,19
1515825854,14,18
1515828284,16,31
1515830190,26,27
1515832110,17,13
1515834025,42,57
1515835952,15,34
1515837862,14,18
1515839794,17,22
1515841715,13,15
1515843872,18,20
1515846035,17,1041
1515847927,20,34
1515849856,572,0
1515851789,33,16
1515853713,20,24
1515855889,45,57
1515857773,14,12
1515859735,18,8
1515861634,25,14
1515863548,26,17
1515865459,17,19
1515867618,28,17
1515869553,23,25
1515871712,37,21
1515873618,51,42
1515875561,17,18
1515877481,11,27
1515879399,12,29
1515881307,17,34
1515883215,22,32
1515885164,17,44
1515887320,12,24
1515889210,22,19
1515891130,10,33
1515893052,509,0
1515894967,8,12
1515897159,22,51
1515899066,12,20
1515901003,13,11
1515902910,14,7
1515904823,11,11
1515906748,18,17
1515908673,9,18
1515910600,7,16
1515912757,8,25
1515914656,10,19
1515916595,30,20
1515918491,50,21
1515920444,35,42
1515922336,8,28
1515924272,14,33
1515926194,17,31
1515928125,25,42
1515930018,75,32
1515932026,27,1565
1515933872,61,21
1515935801,485,0
1515937727,45,30
1515939636,58,35
1515941549,66,14
1515943464,58,16
1515945397,61,19
1515947304,56,22
1515949251,143,31
1515951164,68,16
1515953071,48,8
1515955026,39,13
1515956925,48,13
1515958837,58,18
1515962700,71,34
1515964611,26,23
1515966522,29,17
1515968662,24,14
1515970599,15,14
1515972957,24,32
1515974907,12,16
1515976826,16,21
1515978752,354,0
1515980656,10,15
1515982598,16,17
1515984506,14,12
1515986661,20,13
1515988583,11,16
1515990511,3,17
1515992424,25,29
1515994349,12,14
1515996355,15,6
1515998439,11,12
1516000340,20,13
1516002257,33,16
1516004197,23,15
1516006099,10,14
1516008009,20,23
1516009948,22,16
1516011867,16,11
1516013769,16,14
1516015701,34,16
1516017878,31,1015
1516019788,22,54
1516021698,530,0
1516023612,55,7
1516025800,49,13
1516027709,36,16
1516029622,28,14
1516031534,29,14
1516033463,19,17
1516035385,28,11
1516037312,22,19
1516039227,34,21
1516041153,25,11
1516043064,20,19
1516044976,16,23
1516047657,19,40
1516049546,19,29
1516051468,24,26
1516053371,14,20
1516055297,18,14
1516057238,22,43
1516059259,16,28
1516061321,10,34
1516063217,10,53
1516065136,457,0
1516067066,27,6
1516068989,10,10
1516070908,18,14
1516072812,6,13
1516074731,6,9
1516076663,9,17
1516078570,12,9
1516080503,12,16
1516082423,62,16
1516084352,9,9
1516086263,11,17
1516088194,21,20
1516090114,21,40
1516092037,11,26
1516094200,14,24
1516096102,13,19
1516098023,16,14
1516099931,22,16
1516101855,16,24
1516103795,12,28
1516105693,13,1589
1516107623,491,0
1516109798,26,15
1516111694,27,15
1516113622,36,18
1516115536,21,23
1516117457,41,15
1516119377,36,10
1516121551,29,17
1516123456,31,15
1516125371,29,13
1516127293,31,21
1516129226,81,33
1516131157,36,31
1516133076,50,21
1516134998,65,18
1516136914,57,22
1516138834,74,19
1516140754,68,25
1516142661,50,24
1516144580,41,35
1516146755,43,18
1516148917,18,19
1516151319,455,0
1516153473,26,12
1516155413,26,13
1516157297,25,16
1516159222,15,20
1516161387,15,13
1516163546,45,24
1516165715,15,14
1516167619,15,10
1516169547,14,21
1516171714,14,12
1516173629,13,19
1516175551,11,30
1516177463,20,18
1516179633,29,37
1516181792,15,20
1516183965,20,22
1516186114,17,24
1516188274,21,32
1516190171,17,18
1516192114,16,1272
1516194268,561,0
1516196194,32,34
1516198123,35,40
1516200017,22,39
1516201953,42,28
1516203864,37,38
1516205806,30,23
1516207966,47,23
1516209867,52,37
1516211784,47,26
1516213703,24,13
1516215624,45,21
1516217796,17,12
1516219959,29,21
1516221863,18,15
1516224033,17,17
1516225948,27,11
1516228109,29,19
1516230030,34,37
1516231940,18,16
1516233868,18,13
1516235794,24,22
1516237716,511,0
1516239637,9,30
1516241548,12,39
1516243460,15,34
1516245397,8,27
1516247550,15,37
1516249465,14,23
1516251379,20,22
1516253333,12,37
