DateTime,Entries,UniqueIPs
1515804006,2730,2730
1515805950,3343,3343
1515807858,3328,3328
1515809796,3321,3321
1515811953,3312,3312
1515813859,3307,3307
1515815790,3295,3295
1515817954,3277,3277
1515819893,3273,3273
1515821773,3262,3262
1515823727,3253,3253
1515825854,3249,3249
1515828284,3234,3234
1515830190,3233,3233
1515832110,3237,3237
1515834025,3222,3222
1515835952,3203,3203
1515837862,3199,3199
1515839794,3194,3194
1515841715,3192,3192
1515843872,3190,3190
1515846035,2166,2166
1515847927,2152,2152
1515849856,2724,2724
1515851789,2741,2741
1515853713,2737,2737
1515855889,2725,2725
1515857773,2727,2727
1515859735,2737,2737
1515861634,2748,2748
1515863548,2757,2757
1515865459,2755,2755
1515867618,2766,2766
1515869553,2764,2764
1515871712,2780,2780
1515873618,2789,2789
1515875561,2788,2788
1515877481,2772,2772
1515879399,2755,2755
1515881307,2738,2738
1515883215,2728,2728
1515885164,2701,2701
1515887320,2689,2689
1515889210,2692,2692
1515891130,2669,2669
1515893052,3178,3178
1515894967,3174,3174
1515897159,3145,3145
1515899066,3137,3137
1515901003,3139,3139
1515902910,3146,3146
1515904823,3146,3146
1515906748,3147,3147
1515908673,3138,3138
1515910600,3129,3129
1515912757,3112,3112
1515914656,3103,3103
1515916595,3113,3113
1515918491,3142,3142
1515920444,3135,3135
1515922336,3115,3115
1515924272,3096,3096
1515926194,3082,3082
1515928125,3065,3065
1515930018,3108,3108
1515932026,1570,1570
1515933872,1610,1610
1515935801,2095,2095
1515937727,2110,2110
1515939636,2133,2133
1515941549,2185,2185
1515943464,2227,2227
1515945397,2269,2269
1515947304,2303,2303
1515949251,2415,2415
1515951164,2467,2467
1515953071,2507,2507
1515955026,2533,2533
1515956925,2568,2568
1515958837,2608,2608
1515962700,2645,2645
1515964611,2648,2648
1515966522,2660,2660
1515968662,2670,2670
1515970599,2671,2671
1515972957,2663,2663
1515974907,2659,2659
1515976826,2654,2654
1515978752,3008,3008
1515980656,3003,3003
1515982598,3002,3002
1515984506,3004,3004
1515986661,3011,3011
1515988583,3006,3006
1515990511,2992,2992
1515992424,2988,2988
1515994349,2986,2986
1515996355,2995,2995
1515998439,2994,2994
1516000340,3001,3001
1516002257,3018,3018
1516004197,3026,3026
1516006099,3022,3022
1516008009,3019,3019
1516009948,3025,3025
1516011867,3030,3030
1516013769,3032,3032
1516015701,3050,3050
1516017878,2066,2066
1516019788,2034,2034
1516021698,2564,2564
1516023612,2612,2612
1516025800,2648,2648
1516027709,2668,2668
1516029622,2682,2682
1516031534,2697,2697
1516033463,2699,2699
1516035385,2716,2716
1516037312,2719,2719
1516039227,2732,2732
1516041153,2746,2746
1516043064,2747,2747
1516044976,2740,2740
1516047657,2719,2719
1516049546,2709,2709
1516051468,2707,2707
1516053371,2701,2701
1516055297,2705,2705
1516057238,2684,2684
1516059259,2672,2672
1516061321,2648,2648
1516063217,2605,2605
1516065136,3062,3062
1516067066,3083,3083
1516068989,3083,3083
1516070908,3087,3087
1516072812,3080,3080
1516074731,3077,3077
1516076663,3069,3069
1516078570,3072,3072
1516080503,3068,3068
1516082423,3114,3114
1516084352,3114,3114
1516086263,3108,3108
1516088194,3109,3109
1516090114,3090,3090
1516092037,3075,3075
1516094200,3065,3065
1516096102,3059,3059
1516098023,3061,3061
1516099931,3067,3067
1516101855,3059,3059
1516103795,3043,3043
1516105693,1467,1467
1516107623,1958,1958
1516109798,1969,1969
1516111694,1981,1981
1516113622,1999,1999
1516115536,1997,1997
1516117457,2023,2023
1516119377,2049,2049
1516121551,2061,2061
1516123456,2077,2077
1516125371,2093,2093
1516127293,2103,2103
1516129226,2151,2151
1516131157,2156,2156
1516133076,2185,2185
1516134998,2232,2232
1516136914,2267,2267
1516138834,2322,2322
1516140754,2365,2365
1516142661,2391,2391
1516144580,2397,2397
1516146755,2422,2422
1516148917,2421,2421
1516151319,2876,2876
1516153473,2890,2890
1516155413,2903,2903
1516157297,2912,2912
1516159222,2907,2907
1516161387,2909,2909
1516163546,2930,2930
1516165715,2931,2931
1516167619,2936,2936
1516169547,2929,2929
1516171714,2931,2931
1516173629,2925,2925
1516175551,2906,2906
1516177463,2908,2908
1516179633,2900,2900
1516181792,2895,2895
1516183965,2893,2893
1516186114,2886,2886
1516188274,2875,2875
1516190171,2874,2874
1516192114,1618,1618
1516194268,2179,2179
1516196194,2177,2177
1516198123,2172,2172
1516200017,2155,2155
1516201953,2169,2169
1516203864,2168,2168
1516205806,2175,2175
1516207966,2199,2199
1516209867,2214,2214
1516211784,2235,2235
1516213703,2246,2246
1516215624,2270,2270
1516217796,2275,2275
1516219959,2283,2283
1516221863,2286,2286
1516224033,2286,2286
1516225948,2302,2302
1516228109,2312,2312
1516230030,2309,2309
1516231940,2311,2311
1516233868,2316,2316
1516235794,2318,2318
1516237716,2829,2829
1516239637,2808,2808
1516241548,2781,2781
1516243460,2762,2762
1516245397,2743,2743
1516247550,2721,2721
1516249465,2712,2712
1516251379,2710,2710
1516253333,2685,2685
1516255222,2691,2691
1516259312,2773,2773
1516261219,2785,2785
1516263140,2792,2792
1516265062,2805,2805
1516266998,2815,2815
1516268919,2833,2833
1516270818,2833,2833
1516273252,2854,2854
1516275397,2861,2861
1516277435,1438,1438
1516279461,1437,1437
1516281399,1921,1921
1516283302,1924,1924
1516285237,1930,1930
1516287138,1937,1937
1516289058,1956,1956
1516290972,1973,1973
1516292904,1979,1979
1516294827,2018,2018
1516296984,2053,2053
1516298929,2102,2102
1516300817,2146,2146
1516302767,2181,2181
1516304903,2214,2214
1516306819,2235,2235
1516308997,2260,2260
1516311154,2269,2269
1516313310,2269,2269
1516315470,2263,2263
1516317422,2260,2260
1516319556,2254,2254
1516321472,2258,2258
1516323391,2238,2238
1516325551,2668,2668
1516327475,2654,2654
1516329638,2641,2641
1516331785,2648,2648
1516334198,2655,2655
1516336356,2698,2698
1516338518,2733,2733
1516340675,2758,2758
1516342828,2780,2780
1516344833,2807,2807
1516346671,2830,2830
1516348826,2908,2908
1516350737,2922,2922
1516352678,2937,2937
1516354598,2946,2946
1516356516,2945,2945
1516358429,2953,2953
1516360340,2954,2954
1516362282,2953,2953
1516364201,1749,1749
1516366592,1742,1742
1516368512,2320,2320
1516370926,2354,2354
1516372829,2369,2369
1516374748,2381,2381
1516376673,2383,2383
1516378839,2388,2388
1516380737,2386,2386
1516382910,2390,2390
1516384839,2394,2394
1516386738,2373,2373
1516388676,2367,2367
1516390819,2377,2377
1516392759,2375,2375
1516394664,2383,2383
1516396604,2370,2370
1516398742,2368,2368
1516400900,2379,2379
1516402895,2393,2393
1516404866,2419,2419
1516406922,2428,2428
1516409056,2428,2428
1516410985,2945,2945
1516412898,2960,2960
1516414819,2976,2976
1516416734,2980,2980
1516418667,2995,2995
1516420571,3003,3003
1516422743,3012,3012
1516424666,3026,3026
1516426592,3026,3026
1516428513,3035,3035
1516430440,3025,3025
1516432342,3022,3022
1516434504,3032,3032
1516436434,3017,3017
1516438355,3019,3019
1516440500,3029,3029
1516442668,3057,3057
1516445561,3048,3048
1516447463,3049,3049
1516449384,3057,3057
1516451548,1531,1531
1516453464,2264,2264
1516455380,2275,2275
1516457307,2304,2304
1516459462,2329,2329
1516461393,2345,2345
1516463304,2359,2359
1516465221,2361,2361
1516467145,2354,2354
1516469069,2355,2355
1516470983,2355,2355
1516472894,2359,2359
1516474827,2393,2393
1516476742,2365,2365
1516478669,2372,2372
1516480582,2376,2376
1516482509,2380,2380
1516484413,2373,2373
1516486337,2385,2385
1516488272,2396,2396
1516490210,2401,2401
1516492099,2398,2398
1516494036,2401,2401
1516495942,2399,2399
1516497875,3039,3039
1516499776,3030,3030
1516501696,3025,3025
1516503638,3023,3023
1516505549,3007,3007
1516507464,2992,2992
1516509382,2965,2965
1516511315,2945,2945
1516513218,2916,2916
1516515159,2899,2899
1516517061,2877,2877
1516519068,2853,2853
1516520907,2805,2805
1516522826,2787,2787
1516524737,2776,2776
1516526661,2760,2760
1516528592,2750,2750
1516530753,2733,2733
1516532666,2722,2722
1516534578,2723,2723
1516536524,1430,1430
1516538425,1412,1412
1516540338,2090,2090
1516542514,2081,2081
1516544430,2092,2092
1516546351,2096,2096
1516548256,2081,2081
1516550187,2077,2077
1516552097,2071,2071
1516554036,2058,2058
1516555944,2048,2048
1516557861,2041,2041
1516559787,2031,2031
1516561717,2015,2015
1516563614,1993,1993
1516565559,1979,1979
1516567461,1977,1977
1516569382,1958,1958
1516571308,1934,1934
1516573223,1917,1917
1516575160,1898,1898
1516577679,1858,1858
1516579716,1854,1854
1516581626,1836,1836
1516583547,2466,2466
1516585456,2451,2451
1516587387,2439,2439
1516589317,2432,2432
1516591213,2422,2422
1516593140,2417,2417
1516595054,2403,2403
1516596973,2393,2393
1516598896,2393,2393
1516600813,2387,2387
1516602750,2378,2378
1516604659,2364,2364
1516606589,2348,2348
1516608504,2349,2349
1516610422,2343,2343
1516612337,2342,2342
1516614511,2317,2317
1516616412,2311,2311
1516618328,2315,2315
1516620259,2306,2306
1516622167,2296,2296
1516624099,1032,1032
1516626022,1386,1386
1516627946,1415,1415
1516630103,1436,1436
1516632022,1454,1454
1516633932,1472,1472
1516635858,1495,1495
1516637794,1507,1507
1516639692,1520,1520
1516641619,1529,1529
1516643532,1542,1542
1516645456,1556,1556
1516647382,1582,1582
1516649540,1719,1719
1516651458,1790,1790
1516653383,1860,1860
1516655293,1944,1944
1516657459,2010,2010
1516659380,2074,2074
1516661300,2135,2135
1516663232,2182,2182
1516665144,2218,2218
1516667054,2280,2280
1516668984,2342,2342
1516670894,2654,2654
1516672820,2752,2752
1516674736,2774,2774
1516676673,2801,2801
1516678575,2832,2832
1516680502,2850,2850
1516682410,2878,2878
1516684380,2899,2899
1516686264,2919,2919
1516688178,2943,2943
1516690091,2961,2961
1516692041,2986,2986
1516693938,3028,3028
1516695851,3048,3048
1516697783,3063,3063
1516699694,3084,3084
1516701621,3156,3156
