DateTime,AddedIPs,RemovedIPs
1509430810,8,0
1509445694,10,2
1509460344,10,1
1509474971,10,0
1509489617,28,2
1509504257,15,0
1509518896,12,0
1509533543,10,1
1509548169,10,0
1509562827,20,0
1509577714,20,0
1509592355,19,1
1509606988,12,0
1509621618,21,2
1509636251,16,0
1509650893,15,1
1509665528,7,0
1509680165,11,1
1509694811,7,2
1509709448,10,2
1509724353,13,0
1509738985,12,2
1509753869,15,6
1509768484,18,2
1509783140,10,0
1509797765,20,0
1509812405,15,0
1509827050,12,1
1509841706,12,2
1509856327,12,0
1509870975,12,0
1509885854,13,2
1509900508,17,0
1509915150,7,0
1509929772,10,0
1509944409,14,0
1509959056,27,1
1509973684,22,0
1509988343,11,1
1510002973,10,1
1510017604,16,2
1510032256,13,0
1510046888,14,0
1510061532,9,1
1510076171,9,3
1510090806,12,1
1510105449,10,0
1510120095,7,2
1510134741,11,0
1510149632,18,1
1510164497,5,0
1510179388,12,0
1510194029,4,0
1510208780,12,1
1510223303,7,0
1510237953,9,1
1510252591,11,0
1510268478,17,1
1510283052,32,1
1510297946,29,3
1510312574,25,0
1510327222,33,1
1510341848,19,0
1510356496,31,1
1510371132,29,1
1510385779,25,0
1510400655,21,0
1510415299,24,0
1510429942,19,0
1510444565,17,2
1510459233,22,1
1510473848,15,1
1510488515,20,1
1510503138,11,0
1510517781,12,1
1510532405,24,0
1510547300,12,1
1510562182,14,1
1510576813,11,2
1510591450,14,1
1510606349,20,0
1510620970,12,0
1510635631,13,0
1510650506,19,0
1510666869,15,0
1510681450,28,0
1510696107,37,2
1510710736,31,0
1510725389,15,0
1510740257,23,1
1510754885,21,1
1510769798,19,3
1510784426,22,0
1510799075,15,0
1510813689,14,2
1510828339,15,0
1510843226,10,1
1510857848,6,0
1510872510,5,0
1510887149,9,0
1510902033,19,1
1510916877,12,0
1510931798,39,0
1510946656,21,1
1510961661,20,3
1510976424,22,0
1510991300,15,0
1511005989,15,0
1511021084,15,0
1511035949,16,0
1511050586,10,0
1511065469,15,0
1511080117,7,0
1511094748,2,1
1511109629,8,1
1511124282,8,0
1511138897,4,0
1511153545,14,3
1511168186,5,0
1511182832,6,1
1511197448,12,0
1511212121,10,1
1511226748,8,0
1511241384,12,0
1511256024,6,1
1511270666,4,1
1511285288,6,1
1511299934,5,1
1511314566,5,2
1511329225,5,0
1511343848,6,1
1511358510,9,0
1511373151,10,0
1511387768,6,0
1511402405,6,1
1511417059,6,3
1511431685,4,1
1511446351,6,2
1511461230,7,1
1511475847,10,0
1511490495,14,1
1511505131,9,0
1511519793,2,0
1511534654,5,1
1511549299,11,0
1511563944,13,0
1511578581,18,1
1511593216,14,1
1511608093,15,0
1511622740,13,0
1511637369,13,0
1511652005,16,0
1511666652,13,2
1511681287,12,0
1511695933,16,0
1511710585,6,2
1511725228,14,3
1511740113,8,2
1511754742,7,1
1511769629,8,0
1511784272,2,2
1511798899,3,2
1511813544,15,0
1511828181,12,0
1511842814,9,1
1511857451,15,3
1511872350,8,0
1511887224,16,1
1511901855,6,0
1511916488,9,0
1511931131,9,0
1511945783,11,3
1511960416,14,2
1511975057,13,0
1511989699,9,1
1512004347,9,1
1512018966,12,0
1512033634,11,0
1512048270,7,0
1512062901,10,0
1512077553,5,0
1512092167,6,0
1512106953,2,1
1512121700,9,0
1512136600,3,3
1512151257,4,0
1512165877,10,3
1512180750,2,1
1512195631,4,0
1512210515,11,1
1512225125,4,1
1512239786,3,8
1512254424,11,3
1512269069,6,0
1512283687,4,0
1512298343,3,2
1512312971,4,1
1512327646,3,2
1512342670,9,0
1512357388,5,0
1512372018,4,0
1512386665,10,0
1512401304,6,0
1512416187,6,1
1512431303,7,1
1512445939,6,1
1512460589,4,1
1512475228,9,1
1512489852,4,2
1512504499,7,0
1512519130,9,1
1512533840,4,0
1512548408,1,0
1512563066,8,0
1512577701,6,0
1512592313,6,0
1512606969,8,0
1512621628,7,0
1512636267,3,2
1512650896,9,0
1512665540,2,2
1512680184,6,0
1512694818,4,1
1512709451,4,0
1512724352,4,0
1512739228,5,0
1512754110,7,0
1512768746,8,2
1512783629,8,0
1512798247,5,1
1512812975,5,0
1512827785,8,0
1512842440,4,0
1512857051,9,0
1512871953,7,0
1512886828,5,0
1512901451,8,0
1512916086,9,0
1512930733,8,1
1512945629,6,0
1512960266,10,0
1512975145,5,1
1512989772,3,0
1513004447,8,0
1513019075,5,1
1513033691,5,0
1513048599,6,2
1513063204,6,0
1513077852,3,2
1513092502,13,1
1513107392,10,0
1513122122,7,9
1513136654,7,1
1513151306,5,1
1513165953,7,0
1513180875,5,0
1513195698,4,1
1513210349,6,1
1513224978,8,1
1513239609,1,0
1513254275,2,0
1513268907,3,0
1513283529,5,1
1513298188,7,1
1513313064,16,1
1513327940,9,0
1513342569,13,0
1513357963,17,0
1513372820,10,0
1513387478,12,0
1513402348,11,0
1513417040,10,1
1513431623,9,0
1513446256,6,0
1513460893,5,0
1513475547,7,2
1513490181,9,2
1513504832,4,4
1513519447,6,0
1513534344,8,0
1513549478,9,0
1513564091,4,1
1513578742,8,1
1513593371,5,1
1513608025,2,0
1513622650,9,1
1513637308,10,2
1513651940,5,2
1513666834,7,0
1513681452,9,2
1513696352,4,1
1513711000,5,1
1513725860,9,1
1513740520,3,0
1513755150,7,1
1513770026,10,0
1513784653,12,0
1513799543,11,0
1513814447,10,0
1513829294,3,0
1513844430,2,1
1513859086,6,1
1513873707,8,2
1513888586,4,0
1513903456,6,0
1513918352,3,1
1513932966,5,1
1513947663,9,0
1513962250,6,1
1513976904,4,1
1513991794,8,1
1514006665,6,0
1514021285,5,1
1514035928,6,0
1514050585,4,1
1514065454,2,1
1514080585,9,0
1514095221,4,0
1514109858,7,0
1514124502,7,1
1514139393,3,1
1514154021,4,2
1514168894,5,0
1514183790,7,0
1514198658,10,0
1514213293,3,0
1514227946,7,0
1514242583,1,0
1514257481,3,0
1514272084,6,1
1514286747,2,1
1514301384,6,1
1514316026,7,2
1514330654,3,0
1514345306,7,0
1514360189,5,1
1514374829,2,0
1514389714,4,0
1514404588,12,3
1514419477,6,0
1514434344,8,2
1514448973,10,1
1514463874,2,1
1514478516,9,1
1514493391,12,0
1514508009,7,0
1514522672,5,1
1514537296,9,0
1514551933,5,0
1514566835,3,0
1514581697,4,0
1514596592,5,0
1514611206,5,0
1514625858,7,0
1514640492,5,1
1514655130,12,0
1514669790,7,0
1514684424,5,3
1514699297,5,0
1514713944,8,0
1514728578,4,1
1514743232,7,0
1514757852,9,2
1514772489,9,0
1514787393,6,1
1514802025,6,0
1514816675,5,2
1514831550,9,0
1514846426,8,1
1514861293,5,1
1514875926,6,0
1514890585,8,0
1514905454,5,0
1514920096,7,1
1514934746,9,0
1514949701,2,1
1514964268,4,1
1514979147,12,0
1514993819,3,0
1515008669,7,2
1515024279,5,0
1515039156,4,1
1515054027,11,1
1515068662,5,1
1515083301,9,0
1515098188,8,0
1515112809,6,0
1515127448,6,0
1515142113,7,0
1515157040,6,1
1515171887,1,0
1515186485,9,0
1515201392,9,1
1515216022,4,2
1515230649,7,0
1515245556,2,1
1515260184,4,1
1515275053,8,0
1515289943,5,2
1515304571,4,0
1515327152,10,0
1515341769,11,1
1515356426,6,1
1515371308,2,0
1515385951,3,0
1515400589,7,1
1515415222,3,0
1515429871,6,12
1515444497,8,1
1515459156,4,1
1515473784,5,1
1515488412,5,1
1515503050,5,1
1515517952,6,1
1515532590,8,0
1515547209,8,0
1515562094,5,0
1515576991,9,15
1515591856,3,1
1515606751,5,1
1515621385,6,4
1515636268,4,2
1515651147,6,2
1515665793,8,0
1515680409,3,1
1515695312,2,1
1515709957,5,2
1515724565,7,2
1515739221,5,2
1515753855,2,2
1515768532,7,3
1515783384,8,1
1515799000,7,1
1515813856,11,0
1515828751,8,1
