DateTime,Entries,UniqueIPs
1476786350,20704,20704
1476828129,20624,20624
1476913654,20639,20639
1476981953,20670,20670
1477063188,20729,20729
1477082852,20740,20740
1477226897,20758,20758
1477313487,20728,20728
1477387597,20765,20765
1477422226,20671,20671
1477509004,20933,20933
1477587593,21000,21000
1477674681,21135,21135
1477723140,21199,21199
1477800483,21284,21284
1477855293,21211,21211
1477941340,21392,21392
1478014703,21234,21234
1478095755,21133,21133
1478181691,21372,21372
1478267224,21682,21682
1478298465,21840,21840
1478358544,21866,21866
1478531248,21750,21750
1478617803,21598,21598
1478699272,21781,21781
1478779851,21729,21729
1478864715,21855,21855
1478891204,21946,21946
1479142845,22121,22121
1479226718,21961,21961
1479313256,22029,22029
1479396540,22038,22038
1479474200,22034,22034
1479485913,22049,22049
1479650846,22077,22077
1479733351,22056,22056
1479818121,22116,22116
1479865685,22304,22304
1479942078,22460,22460
1480009434,22554,22554
1480092866,22620,22620
1480177955,22672,22672
1480264342,22597,22597
1480347953,22548,22548
1480434954,22626,22626
1480521450,22673,22673
1480607083,22771,22771
1480693300,22551,22551
1480711383,22773,22773
1480795948,22736,22736
1480863956,22822,22822
1480946644,22789,22789
1480980556,22761,22761
1481062591,22970,22970
1481147160,23038,23038
1481218777,23039,23039
1481300706,23143,23143
1481372714,22955,22955
1481450214,23106,23106
1481586324,23040,23040
1481661119,23097,23097
1481742235,23280,23280
1481825935,23577,23577
1481912719,23632,23632
1481996874,23636,23636
1482071567,23600,23600
1482145696,23650,23650
1482192678,23634,23634
1482277383,23704,23704
1482361936,23737,23737
1482443436,23707,23707
1482520911,23739,23739
1482597953,23812,23812
1482625985,23771,23771
1482790045,23682,23682
1482875005,23642,23642
1482961228,23758,23758
1483040275,23551,23551
1483116396,23746,23746
1483203297,23756,23756
1483277791,23746,23746
1483361667,23651,23651
1483438942,23633,23633
1483524290,23526,23526
1483570486,23495,23495
1483633267,23384,23384
1483699628,23570,23570
1483767186,23487,23487
1483980068,23479,23479
1484060822,23416,23416
1484141077,23549,23549
1484219558,23461,23461
1484304344,23649,23649
1484334050,23408,23408
1484501492,23618,23618
1484582924,23649,23649
1484670058,23670,23670
1484754415,23436,23436
1484841541,23656,23656
1484923062,23669,23669
1484971033,23545,23545
1485018892,23617,23617
1485092179,23600,23600
1485164786,23522,23522
1485208688,23639,23639
1485290591,23560,23560
1485376551,23614,23614
1485462657,23707,23707
1485544530,23701,23701
1485579240,23748,23748
1485739024,23804,23804
1485823702,23771,23771
1485903298,23786,23786
1485987816,23681,23681
1486070765,23574,23574
1486157293,23873,23873
1486225496,23545,23545
1486289916,23543,23543
1486464090,23835,23835
1486519717,23891,23891
1486595367,23902,23902
1486673157,24039,24039
1486747587,23901,23901
1486830828,24032,24032
1486911442,23942,23942
1486985537,24035,24035
1487068349,24066,24066
1487111916,24033,24033
1487181459,23995,23995
1487265896,24095,24095
1487345844,24132,24132
1487418228,23978,23978
1487590400,23944,23944
1487676580,23914,23914
1487710317,23910,23910
1487794961,23920,23920
1487868301,23922,23922
1487935754,23937,23937
1488010711,24097,24097
1488038803,24052,24052
1488125149,24099,24099
1488209400,24156,24156
1488289957,24063,24063
1488370603,24033,24033
1488455368,24021,24021
1488512600,24209,24209
1488561150,24173,24173
1488712233,24239,24239
1488798547,24213,24213
1488820741,24200,24200
1488981559,24279,24279
1489145452,24377,24377
1489183598,24153,24153
1489256282,24196,24196
1489335217,24197,24197
1489417839,24217,24217
1489503213,24161,24161
1489568141,24112,24112
1489624631,24149,24149
1489682673,24242,24242
1489765596,24214,24214
1489784405,24195,24195
1489855323,24203,24203
1489930278,24180,24180
1490004769,24143,24143
1490055675,24033,24033
1490134681,23978,23978
1490220278,23987,23987
1490292077,23980,23980
1490372160,23995,23995
1490457709,23949,23949
1490541336,24008,24008
1490616220,24007,24007
1490696835,24057,24057
1490775684,24029,24029
1490819442,24009,24009
1490895515,24036,24036
1490975048,24110,24110
