DateTime,AddedIPs,RemovedIPs
1474987667,254,351
1475235663,277,573
1475328899,435,190
1475499784,395,251
1475511249,277,209
1475589355,496,342
1475675344,463,413
1475791300,440,333
1475853118,799,172
1475936116,302,165
1476110398,420,320
1476190190,314,197
1476302636,5308,238
1476358663,224,221
1476509164,1316,375
1476630537,428,288
1476707554,259,253
1476786752,538,251
1476828119,389,317
1476887812,325,295
1476969423,337,319
1477053352,472,242
1477084788,378,275
1477231883,430,1235
1477314180,233,253
1477333744,374,515
1477416273,171,202
1477494404,625,274
1477573356,272,225
1477605068,313,523
1477676585,335,259
1477724548,231,211
1477786180,399,159
1477856795,330,210
1477925042,475,475
1478089675,769,936
1478176661,483,337
1478212111,648,531
1478281663,315,230
1478356740,330,180
1478487117,411,338
1478555294,204,197
1478605106,248,275
1478648618,336,273
1478699511,263,209
1478779999,333,297
1478864862,444,356
1478884679,497,311
1479145364,650,365
1479212322,408,271
1479296438,276,302
1479370917,377,265
1479423045,457,306
1479486868,540,650
1479534862,184,296
1479602104,308,161
1479675797,358,241
1479753989,383,254
1479831359,405,298
1479989392,456,427
1480007944,462,237
1480092495,344,182
1480174736,333,246
1480259205,229,227
1480273054,423,392
1480346981,398,149
1480425669,291,347
1480507095,378,283
1480588386,306,269
1480617692,1988,850
1480695774,264,196
1480869097,462,351
1480940267,278,317
1481113501,524,379
1481162314,261,303
1481240771,351,250
1481402274,370,328
1481472218,1111,241
1481545474,522,532
1481656437,830,852
1481736580,554,215
1481889204,692,576
1481967649,488,535
1482071653,343,336
1482145719,181,210
1482168021,383,257
1482249137,230,225
1482324763,313,324
1482406940,453,258
1482483224,452,310
1482527143,849,312
1482625961,288,257
1482764586,256,333
1482838055,296,252
1482920741,325,399
1482950169,564,384
1483029156,703,256
1483097606,302,261
1483205196,372,267
1483369943,342,211
1483439189,210,286
1483487757,359,288
1483571130,312,250
1483652885,387,327
1483738622,377,333
1483751664,255,257
1483987891,539,361
1484062648,571,518
1484085971,560,503
1484154813,322,245
1484238546,554,344
1484304864,270,562
1484350924,404,324
1484502580,360,304
1484581430,599,528
1484664889,656,581
1484736439,276,360
1484822912,371,258
1484908847,341,323
1484976300,354,420
1485092306,415,426
1485176014,235,299
1485258996,360,368
1485344386,374,318
1485425568,303,358
1485484980,279,294
1485546581,313,242
1485691889,206,281
1485776081,228,216
1485862044,300,289
1485895331,278,348
1486047854,410,383
1486115622,317,295
1486154060,279,281
1486219044,234,415
1486289617,262,250
1486318680,409,225
1486405634,233,241
1486476260,671,513
1486552573,400,306
1486639064,330,294
1486724092,412,335
1486759600,263,311
1486902728,287,256
1486980414,771,237
1487020172,525,481
1487099795,409,316
1487184097,735,381
1487266582,459,304
1487330146,397,335
1487423861,546,526
1487507851,197,164
1487514381,386,325
1487676672,439,331
1487710002,461,354
1487794976,404,422
1487863043,420,452
1487940426,353,303
1487963532,542,301
1488125205,318,292
1488203636,763,647
1488318711,779,925
1488387137,265,395
1488410869,525,275
1488489691,539,223
1488564465,379,291
1488586027,524,558
1488712599,612,644
1488798673,469,291
1488824720,408,600
1488974567,425,386
1489145698,687,571
1489189780,340,784
1489336974,603,1235
1489403283,277,730
1489445328,365,850
1489527966,343,711
1489608653,416,612
1489695289,345,351
1489770280,410,345
1489923445,360,381
1489955373,446,385
1490038026,309,285
1490123907,358,360
1490207850,337,358
1490293110,423,416
1490375812,390,408
1490457724,249,310
1490537447,364,287
1490616494,315,404
1490644590,370,309
1490712450,246,271
1490786307,351,433
1490868436,304,834
1490909924,396,723
1490994341,320,457
1491072378,319,528
1491144694,276,724
1491228084,364,737
1491314121,997,801
1491391156,439,723
1491475137,333,618
1491561499,314,654
1491621504,348,740
1491679867,252,535
1491736996,249,519
1491770435,946,429
1491856382,473,332
1491925255,298,673
1492011277,342,441
1492080680,544,407
1492167722,318,351
1492204066,289,366
1492279555,201,266
1492449526,390,435
1492527984,262,357
1492605243,318,391
1492623177,323,449
1492735653,394,569
1492818110,209,283
1492895102,278,331
1492976430,331,347
1493052269,359,521
1493138162,317,501
