DateTime,Entries,UniqueIPs
1475585782,16436,16436
1475589979,16428,16428
1475676016,16575,16575
1475713594,16557,16557
1475791291,16681,16681
1475853912,16820,16820
1475936935,16738,16738
1476052682,16830,16830
1476114432,16767,16767
1476190808,16822,16822
1476215520,16783,16783
1476294194,16910,16910
1476528777,16900,16900
1476631598,16947,16947
1476711129,16971,16971
1476735577,17048,17048
1476802741,16989,16989
1476888632,17063,17063
1476998084,17031,17031
1477068024,16978,16978
1477087049,17041,17041
1477233948,17133,17133
1477314569,17115,17115
1477332194,17163,17163
1477407773,17182,17182
1477494499,17277,17277
1477574725,17381,17381
1477613664,17316,17316
1477688821,17608,17608
1477722653,17608,17608
1477798864,17543,17543
1477869704,17603,17603
1477941811,17795,17795
1478107781,18077,18077
1478192438,17993,17993
1478267293,18074,18074
1478297983,18004,18004
1478358548,18095,18095
1478519737,18066,18066
1478659003,18180,18180
1478737748,18190,18190
1478793906,18276,18276
1478878849,18188,18188
1478885991,18263,18263
1479132390,18286,18286
1479174396,18091,18091
1479234019,18314,18314
1479314539,18196,18196
1479397060,18282,18282
1479479325,18264,18264
1479487853,18517,18517
1479660652,18509,18509
1479746116,18409,18409
1479755277,18459,18459
1479835114,18667,18667
1479920000,18657,18657
1479940633,18567,18567
1480008944,18677,18677
1480093283,18654,18654
1480176589,18755,18755
1480261692,18650,18650
1480347485,18761,18761
1480380344,18694,18694
1480438207,18661,18661
1480507270,18722,18722
1480535276,18814,18814
1480693580,18766,18766
1480794074,18745,18745
1480872825,18914,18914
1481128655,19141,19141
1481207195,18986,18986
1481293399,19063,19063
1481338860,18942,18942
1481664262,19098,19098
1481732284,19023,19023
1481903777,19175,19175
1481941695,19141,19141
1482073067,19460,19460
1482243764,19458,19458
1482324830,19297,19297
1482365606,19506,19506
1482424306,19374,19374
1482511253,19461,19461
1482529581,19484,19484
1482624815,19455,19455
1482751603,19477,19477
1482838029,19349,19349
1482860151,19318,19318
1482942081,19526,19526
1483014745,19402,19402
1483097741,19615,19615
1483208234,19689,19689
1483369225,19705,19705
1483440805,19468,19468
1483524345,19724,19724
1483570587,19679,19679
1483657046,19828,19828
1483743120,19781,19781
1484000756,19915,19915
1484085921,19963,19963
1484172418,20105,20105
1484249528,20274,20274
1484332374,20397,20397
1484337582,20536,20536
1484506032,20535,20535
1484587269,20576,20576
1484667755,20774,20774
1484736520,20676,20676
1484823168,20910,20910
1484909793,21076,21076
1484971045,21067,21067
1485214687,21289,21289
1485291852,21262,21262
1485375813,21337,21337
1485448692,21315,21315
1485525886,21308,21308
1485564200,21420,21420
1485702435,21551,21551
1485776268,21487,21487
1485859059,21576,21576
1485879836,21530,21530
1486048088,21717,21717
1486123201,21658,21658
1486162557,21824,21824
1486226256,21615,21615
1486305720,21759,21759
1486382252,21815,21815
