DateTime,AddedIPs,RemovedIPs
1442182267,0,346758059
1442269230,346758059,0
1453534814,0,2097152
1495482316,0,233907652
1495568795,233907652,0
1500066089,0,456
1500152550,456,448
1500238995,448,1944
1500325466,1944,71648
1500411930,71648,66281
1500498376,66281,913
1500585017,913,920
1500671589,920,1113
1500758090,1113,84233
1500844514,84233,65737
1500931014,65737,912
1501017434,912,5345
1501103910,5345,547
1501190489,547,672
1501276961,672,857
1501363410,857,432
1501449860,432,634
1501536381,634,5920
1501622844,5920,117576
1501709332,117576,9130
1501795814,9130,135718
1501882316,135718,976
1501968744,976,68760
1502055195,68760,1632
1502141659,1632,1841
1502228218,1841,632
1502314636,632,6825
1502401222,6825,602
1502487678,602,1544
1502574147,1544,552
1502660619,552,672
1502747074,672,1737
1502833570,1737,1216
1502920039,1216,72257
1503006498,72257,197360
1503092978,197360,66184
1503179432,66184,1393
1503265886,1393,26208
1503352376,26208,208
1503438842,208,2489
1503525316,2489,4560
1503611774,4560,1867
1503698246,1867,2456
1503871156,2456,411
1503957660,411,17201
1504044101,17201,19112
1504130551,19112,12136
1504217011,12136,131417
1504303484,131417,1418
1504389923,1418,11712
1504476380,11712,8631
1504562846,8631,12654
1504649305,12654,68227
1504735757,68227,148089
1504822216,148089,1136
1504908678,1136,66306
1504995134,66306,69416
1505081608,69416,1144
1505168074,1144,65968
1505254516,65968,131738
1505340988,131738,334
1505427434,0,0
1505523303,334,33264
1505609833,33264,67321
1505696309,67321,640
1505782782,640,66448
1505869241,66448,4776
1505955675,4776,4392
1506042139,4392,224
1506128599,224,1448
1506215063,1448,216
1506301527,216,1907
1506387995,1907,98
1506474435,98,136048
1507339045,136048,66281
1507425499,66281,68985
1507511976,68985,688
1507598414,688,224
1507684985,224,1825
1507771473,1825,66937
1507857932,66937,18819
1507944438,18819,1264
1508030932,1264,65888
1508117416,65888,197440
1508203925,197440,1138
1508290416,1138,2272
1508376861,2272,65928
1508463359,65928,65896
1508549839,65896,2688
1508636353,2688,1704
1508722815,1704,576
1508809273,576,10736
1508895771,10736,888
1508982274,888,67455
1509068710,67455,1400
1509155222,1400,523154
1509241806,523154,1288
1509328337,1288,768
1509414825,768,24960
1509501269,24960,712
1509587715,712,2697
1509674264,2697,1946
1509760733,1946,2176
1509847163,2176,4728
1509933622,4728,702
1510020072,702,4440
1510106533,4440,408
1510193023,408,4232
1510279461,4232,976
1510365923,976,1272
1510452423,1272,680
1510538890,680,968
1510625406,968,65610
1510711892,65610,158720
1510798331,158720,68769
1510884793,68769,66961
1510971310,66961,5576
1511057827,5576,2433
1511144350,2433,560
1511230808,560,673
1511317387,673,262656
1511403852,262656,65752
1511490328,65752,922
1511576797,922,2360
1511663236,2360,51784
1511749775,51784,66410
1511836209,66410,84081
1511922759,84081,67817
1512009190,67817,6424
1512095656,6424,2744
1512182130,2744,7690
1512268630,7690,66480
1512355148,66480,7042
1512441610,7042,16929
1512528114,16929,135616
1512614577,135616,993
1512701007,993,65592
1512787460,65592,97448
1512873910,97448,432
1512960401,432,2489
1513046891,2489,922
1513133457,922,1545
1513220047,1545,8000
1513306514,8000,1185268
1513393013,1185268,4545
1513479430,4545,11081
1513565950,11081,480
1513652474,480,384
1513738936,384,5224
1513825431,5224,10969
1513911852,10969,67289
1513998314,67289,131224
1514084772,65688,66266
1514171252,66266,100961
1514257688,100961,888
1514344152,888,577
1514430667,577,330273
1514517161,330273,7664
1514603607,7664,132224
1514690104,132224,672
1514776626,672,124401
1514863152,124401,2921
1514949610,2921,5698
1515036074,5698,66985
1515122529,66985,136968
1515209030,136968,2505
1515295454,2505,65024
1515381920,65024,4753
1515468405,4753,850
1515554868,850,66489
1515641289,66489,65889
1515727765,65889,8976
1515814266,8976,2505
1515900750,2505,35160
1515987215,35160,641
1516073647,641,135104
1516160265,135104,2272
1516246747,2272,2553
1516333287,2553,4473
1516419730,4473,1488
1516506304,1488,66408
1516592772,66408,5283
1516679241,5283,672
1516765747,672,4057
