DateTime,AddedIPs,RemovedIPs
1516342504,498,594
1516343404,603,695
1516344304,798,927
1516345204,1135,1272
1516346103,796,891
1516347004,427,484
1516347903,375,419
1516348803,422,467
1516349703,548,593
1516350604,469,509
1516351503,541,589
1516352404,538,574
1516353303,694,744
1516354203,711,734
1516355104,660,701
1516356004,708,1000
1516356904,589,1030
1516357803,700,1053
1516358703,696,1232
1516359604,581,1122
1516360503,586,1180
1516361403,556,1184
1516362303,675,1195
1516363203,662,1294
1516364103,627,1555
1516365003,543,1856
1516365903,784,2297
1516366803,639,2966
1516367702,683,2047
1516368603,584,534
1516369503,590,612
1516370402,666,416
1516371303,607,440
1516372202,675,544
1516373103,584,505
1516374002,610,471
1516374902,510,440
1516375803,525,519
1516376703,466,589
1516377603,534,412
1516378502,452,384
1516379402,422,417
1516380303,366,551
1516381202,468,426
1516382103,417,417
1516383003,404,387
1516383902,508,383
1516384802,359,429
1516385703,399,403
1516386603,518,411
1516387502,425,349
1516388403,488,529
1516389302,371,546
1516390202,438,581
1516391102,450,363
1516392002,466,406
1516392902,358,536
1516393803,321,514
1516394702,362,442
1516395603,368,508
1516396502,439,606
1516397402,307,643
1516398302,357,670
1516399202,389,617
1516400102,313,748
1516401003,322,624
1516401902,419,637
1516402802,329,645
1516403703,287,588
1516404602,300,662
1516405502,298,581
1516406402,291,644
1516407302,333,655
1516408202,527,635
1516409103,383,640
1516410002,354,720
1516410903,373,592
1516411803,320,610
1516412702,447,672
1516413603,481,649
1516414503,440,625
1516415402,379,603
1516416303,238,679
1516417203,255,574
1516418102,298,553
1516419003,282,530
1516419902,301,502
1516420802,250,486
1516421702,392,460
1516422602,275,391
1516423502,291,396
1516424402,357,390
1516425302,409,442
1516426202,262,320
1516427103,305,328
1516428002,283,453
1516428902,341,349
1516429803,472,398
1516430702,301,450
1516431602,338,381
1516432502,314,462
1516433402,344,400
1516434302,445,361
1516435202,359,391
1516436102,399,464
1516437002,337,386
1516437903,401,342
1516438802,418,379
1516439702,439,331
1516440602,283,359
1516441502,351,324
1516442402,349,382
1516443302,300,384
1516445102,540,651
1516446002,351,390
1516446902,410,344
1516447802,365,383
1516448702,437,378
1516449603,338,331
1516450502,467,292
1516451403,360,338
1516452302,353,561
1516453203,524,433
1516454102,498,374
1516455002,442,383
1516455902,376,340
1516456803,355,510
1516457702,278,467
1516458602,367,440
1516459502,425,406
1516460402,403,269
1516461303,430,323
1516462202,384,391
1516463102,409,281
1516464002,388,309
1516464902,488,274
1516465802,383,414
1516466702,298,282
1516467602,346,299
1516468502,282,411
1516469402,422,446
1516470302,328,318
1516471202,338,405
1516472103,288,398
1516473002,399,444
1516473902,340,511
1516474802,294,309
1516475702,229,367
1516476602,292,376
1516477502,254,441
1516478402,286,406
1516479302,237,341
1516480202,269,343
1516481102,195,328
1516482002,266,493
1516482902,280,452
1516483802,261,468
1516484702,248,360
1516485602,212,382
1516486502,222,458
1516487402,225,437
1516488302,187,389
1516489202,187,304
1516490102,262,280
1516491002,169,307
1516491902,246,348
1516492801,255,386
1516493702,265,246
1516494602,192,354
1516495502,212,281
1516496402,212,342
1516497302,331,476
1516498202,249,387
1516499102,196,296
1516500002,213,358
1516500902,186,343
1516501802,204,287
1516502702,314,337
1516503602,199,292
1516504502,287,345
1516505402,250,335
1516506302,270,321
1516507202,248,339
1516508102,277,243
1516509002,295,363
1516509902,368,292
1516510802,251,252
1516511702,855,328
1516512601,805,251
1516513502,821,318
1516514402,821,312
1516515302,799,325
1516516202,784,296
1516517102,752,353
1516518002,705,279
1516518902,696,262
1516519802,594,284
1516520702,594,314
1516521603,611,217
1516522502,699,248
1516523402,587,193
1516524302,509,252
1516525202,590,246
1516526103,718,231
1516527002,674,264
1516527903,676,225
1516528802,723,206
1516529702,557,222
1516530602,526,248
1516531502,472,244
1516532403,583,192
1516533303,532,201
1516534203,521,308
1516535103,595,239
1516536002,598,250
1516536903,541,268
1516537802,471,267
1516538702,401,218
1516539603,684,275
1516540503,453,252
1516541402,413,331
1516542302,423,228
1516543202,462,234
1516544103,574,273
1516545003,472,255
1516545903,418,247
1516546803,540,262
1516547703,539,216
1516548602,495,373
1516549503,434,276
1516550403,602,354
1516551302,514,267
1516552202,411,251
1516553103,391,286
1516554002,451,374
1516554903,447,317
1516555803,347,868
1516556703,358,752
1516557603,379,856
1516558503,513,926
1516559402,447,882
1516560302,392,804
1516561202,396,713
1516562103,405,779
1516563003,521,699
1516563902,421,631
1516564802,366,576
1516565703,502,640
1516566603,449,770
1516567503,339,603
1516568402,499,562
1516569303,472,688
1516570202,380,735
1516571103,402,755
1516572003,479,725
1516572902,440,881
1516573802,487,682
1516574703,448,555
1516575603,439,515
1516576502,416,611
1516577403,480,528
1516578303,510,511
1516579202,469,558
1516580102,407,506
1516581003,421,469
1516581903,495,465
1516582803,360,394
1516583703,532,548
1516584602,622,392
1516585502,380,424
1516586402,458,422
1516587303,590,371
1516588203,439,461
1516589102,600,420
1516590003,412,357
1516590902,485,387
1516591802,483,449
1516592703,681,394
1516593602,481,323
1516594502,430,442
1516595403,454,378
1516596303,493,384
1516597203,442,355
1516598102,555,343
1516599002,634,379
1516599902,472,387
1516600802,468,380
1516601703,467,357
1516602602,496,476
1516603502,408,418
1516604402,511,390
1516605303,523,402
1516606202,482,465
1516607103,512,545
1516608002,688,416
1516608902,732,380
1516609803,518,507
1516610702,711,456
1516611603,453,394
1516612502,580,534
1516613402,523,456
1516614303,477,370
1516615203,424,516
1516616103,547,493
1516617002,537,454
1516617903,527,496
1516618803,483,413
1516619702,410,459
1516620603,398,463
1516621502,528,586
1516622403,455,487
1516623302,433,469
1516624202,567,448
1516625102,494,482
1516626003,630,557
1516626903,563,425
1516627802,776,566
1516628702,509,676
1516629602,512,426
1516630502,659,626
1516631403,550,685
1516632303,566,548
1516633203,566,715
1516634102,572,424
1516635003,599,531
1516635903,705,587
1516636803,526,638
1516637702,610,470
1516638602,507,488
1516639503,491,548
1516640402,421,592
1516641303,552,470
1516642203,658,497
1516643103,493,487
1516644003,440,539
1516644903,464,488
1516645803,575,424
1516646702,458,569
1516647602,462,391
1516648502,375,603
1516649403,494,507
1516650302,549,609
1516651202,421,487
1516652102,338,581
1516653003,346,730
1516653903,354,452
1516654803,455,595
1516655703,346,500
1516656602,340,563
1516657502,297,464
1516658402,324,556
1516659303,315,431
1516660203,353,488
1516661102,367,481
1516662002,315,476
1516662902,237,458
1516663803,177,477
1516664702,328,520
1516665603,244,527
1516666502,283,476
1516667402,285,481
1516668303,321,532
1516669203,303,503
1516670102,306,497
1516671002,431,502
1516671902,503,588
1516672802,485,520
1516673703,535,477
1516674602,321,559
1516675502,490,517
1516676403,384,544
1516677303,318,581
1516678203,361,573
1516679102,383,556
1516680002,383,566
1516680903,607,518
1516681802,570,570
1516682703,408,453
1516683603,509,442
1516684503,426,417
1516685403,415,462
1516686302,474,484
1516687202,337,452
1516688102,517,408
1516689003,409,418
1516689902,614,504
1516690803,509,414
1516691703,472,420
1516692602,451,393
1516693502,518,507
1516694402,472,534
1516695303,500,397
1516696202,459,422
1516697102,514,343
1516698002,577,409
1516698902,696,398
1516699802,496,346
1516700703,569,355
1516701603,480,312
1516702503,420,301
1516703402,444,379
1516704303,439,388
1516705202,494,360
1516706103,420,338
1516707002,639,275
1516707902,471,307
1516708803,574,342
1516709702,526,256
1516710603,459,308
1516711502,596,300
1516712403,658,395
1516713302,622,390
1516714202,467,310
1516715103,516,387
1516716003,575,554
1516716902,487,588
1516717803,414,532
1516718703,615,397
1516719602,507,502
1516720502,590,465
1516721402,514,520
1516722302,542,375
1516723203,531,470
1516724103,486,432
1516725002,560,574
1516725902,584,563
1516726802,460,484
1516727702,517,585
1516728602,545,456
1516729503,562,391
1516730402,478,485
1516731303,353,439
1516732202,438,545
1516733102,408,460
1516734002,502,603
1516734902,401,625
1516735803,373,653
1516736703,454,532
1516737603,446,554
1516738503,361,555
1516739403,355,525
1516740302,502,442
1516741202,441,538
1516742102,358,562
1516743002,498,655
1516743902,392,533
1516744802,303,613
1516745702,377,534
1516746602,349,507
1516747502,366,577
1516748402,261,527
1516749302,347,492
1516750203,333,447
1516751102,240,649
1516752002,396,530
1516752902,316,524
1516753802,285,517
1516754703,435,428
1516755602,255,603
1516756503,299,578
1516757402,432,481
1516758302,286,412
1516759202,418,564
1516760103,418,492
1516761003,273,451
1516761902,423,378
1516762802,394,564
1516763702,366,476
1516764603,418,463
1516765502,316,573
1516766402,364,454
1516767302,383,419
1516768202,361,387
1516769102,333,427
1516770002,375,476
1516770902,348,329
1516771802,464,432
1516772702,362,511
1516773602,414,378
1516774502,321,475
1516775402,468,308
1516776302,396,393
1516777203,519,412
1516778102,535,404
1516779002,322,329
1516779903,252,390
1516780803,298,320
1516781702,649,406
1516782602,377,320
1516783502,427,318
1516784402,310,478
1516785302,568,438
1516786202,357,343
1516787102,442,391
1516788002,436,346
1516788902,616,318
1516789802,501,400
1516790702,398,351
1516791602,402,329
1516792503,498,285
