DateTime,Entries,UniqueIPs
1516342504,36967,36967
1516343404,36875,36875
1516344304,36746,36746
1516345204,36609,36609
1516346103,36514,36514
1516347004,36457,36457
1516347903,36413,36413
1516348803,36368,36368
1516349703,36323,36323
1516350604,36283,36283
1516351503,36235,36235
1516352404,36199,36199
1516353303,36149,36149
1516354203,36126,36126
1516355104,36085,36085
1516356004,35793,35793
1516356904,35352,35352
1516357803,34999,34999
1516358703,34463,34463
1516359604,33922,33922
1516360503,33328,33328
1516361403,32700,32700
1516362303,32180,32180
1516363203,31548,31548
1516364103,30620,30620
1516365003,29307,29307
1516365903,27794,27794
1516366803,25467,25467
1516367702,24103,24103
1516368603,24153,24153
1516369503,24131,24131
1516370402,24381,24381
1516371303,24548,24548
1516372202,24679,24679
1516373103,24758,24758
1516374002,24897,24897
1516374902,24967,24967
1516375803,24973,24973
1516376703,24850,24850
1516377603,24972,24972
1516378502,25040,25040
1516379402,25045,25045
1516380303,24860,24860
1516381202,24902,24902
1516382103,24902,24902
1516383003,24919,24919
1516383902,25044,25044
1516384802,24974,24974
1516385703,24970,24970
1516386603,25077,25077
1516387502,25153,25153
1516388403,25112,25112
1516389302,24937,24937
1516390202,24794,24794
1516391102,24881,24881
1516392002,24941,24941
1516392902,24763,24763
1516393803,24570,24570
1516394702,24490,24490
1516395603,24350,24350
1516396502,24183,24183
1516397402,23847,23847
1516398302,23534,23534
1516399202,23306,23306
1516400102,22871,22871
1516401003,22569,22569
1516401902,22351,22351
1516402802,22035,22035
1516403703,21734,21734
1516404602,21372,21372
1516405502,21089,21089
1516406402,20736,20736
1516407302,20414,20414
1516408202,20306,20306
1516409103,20049,20049
1516410002,19683,19683
1516410903,19464,19464
1516411803,19174,19174
1516412702,18949,18949
1516413603,18781,18781
1516414503,18596,18596
1516415402,18372,18372
1516416303,17931,17931
1516417203,17612,17612
1516418102,17357,17357
1516419003,17109,17109
1516419902,16908,16908
1516420802,16672,16672
1516421702,16604,16604
1516422602,16488,16488
1516423502,16383,16383
1516424402,16350,16350
1516425302,16317,16317
1516426202,16259,16259
1516427103,16236,16236
1516428002,16066,16066
1516428902,16058,16058
1516429803,16132,16132
1516430702,15983,15983
1516431602,15940,15940
1516432502,15792,15792
1516433402,15736,15736
1516434302,15820,15820
1516435202,15788,15788
1516436102,15723,15723
1516437002,15674,15674
1516437903,15733,15733
1516438802,15772,15772
1516439702,15880,15880
1516440602,15804,15804
1516441502,15831,15831
1516442402,15798,15798
1516443302,15714,15714
1516445102,15603,15603
1516446002,15564,15564
1516446902,15630,15630
1516447802,15612,15612
1516448702,15671,15671
1516449603,15678,15678
1516450502,15853,15853
1516451403,15875,15875
1516452302,15667,15667
1516453203,15758,15758
1516454102,15882,15882
1516455002,15941,15941
1516455902,15977,15977
1516456803,15822,15822
1516457702,15633,15633
1516458602,15560,15560
1516459502,15579,15579
1516460402,15713,15713
1516461303,15820,15820
1516462202,15813,15813
1516463102,15941,15941
1516464002,16020,16020
1516464902,16234,16234
1516465802,16203,16203
1516466702,16219,16219
1516467602,16266,16266
1516468502,16137,16137
1516469402,16113,16113
1516470302,16123,16123
1516471202,16056,16056
1516472103,15946,15946
1516473002,15901,15901
1516473902,15730,15730
1516474802,15715,15715
1516475702,15577,15577
1516476602,15493,15493
1516477502,15306,15306
1516478402,15186,15186
1516479302,15082,15082
1516480202,15008,15008
1516481102,14875,14875
1516482002,14648,14648
1516482902,14476,14476
1516483802,14269,14269
1516484702,14157,14157
1516485602,13987,13987
1516486502,13751,13751
1516487402,13539,13539
1516488302,13337,13337
1516489202,13220,13220
1516490102,13202,13202
1516491002,13064,13064
1516491902,12962,12962
1516492801,12831,12831
1516493702,12850,12850
1516494602,12688,12688
1516495502,12619,12619
1516496402,12489,12489
1516497302,12344,12344
1516498202,12206,12206
1516499102,12106,12106
1516500002,11961,11961
1516500902,11804,11804
1516501802,11721,11721
1516502702,11698,11698
1516503602,11605,11605
1516504502,11547,11547
1516505402,11462,11462
1516506302,11411,11411
1516507202,11320,11320
1516508102,11354,11354
1516509002,11286,11286
1516509902,11362,11362
1516510802,11361,11361
1516511702,11888,11888
1516512601,12442,12442
1516513502,12945,12945
1516514402,13454,13454
1516515302,13928,13928
1516516202,14416,14416
1516517102,14815,14815
1516518002,15241,15241
1516518902,15675,15675
1516519802,15985,15985
1516520702,16265,16265
1516521603,16659,16659
1516522502,17110,17110
1516523402,17504,17504
1516524302,17761,17761
1516525202,18105,18105
1516526103,18592,18592
1516527002,19002,19002
1516527903,19453,19453
1516528802,19970,19970
1516529702,20305,20305
1516530602,20583,20583
1516531502,20811,20811
1516532403,21202,21202
1516533303,21533,21533
1516534203,21746,21746
1516535103,22102,22102
1516536002,22450,22450
1516536903,22723,22723
1516537802,22927,22927
1516538702,23110,23110
1516539603,23519,23519
1516540503,23720,23720
1516541402,23802,23802
1516542302,23997,23997
1516543202,24225,24225
1516544103,24526,24526
1516545003,24743,24743
1516545903,24914,24914
1516546803,25192,25192
1516547703,25515,25515
1516548602,25637,25637
1516549503,25795,25795
1516550403,26043,26043
1516551302,26290,26290
1516552202,26450,26450
1516553103,26555,26555
1516554002,26632,26632
1516554903,26762,26762
1516555803,26241,26241
1516556703,25847,25847
1516557603,25370,25370
1516558503,24957,24957
