DateTime,Entries,UniqueIPs
1512592339,4987,4987
1512623538,339,339
1512709977,5725,5725
1512796630,5301,5301
1512882655,4810,4810
1512969443,4975,4975
1513054931,4783,4783
1513142018,4788,4788
1513228632,5106,5106
1513314756,4727,4727
1513401417,4146,4146
1513487812,3903,3903
1513573965,3804,3804
1513660370,4108,4108
1513746798,4235,4235
1513833184,4104,4104
1513919589,4144,4144
1514006233,4011,4011
1514092597,3803,3803
1514178694,3685,3685
1514265317,3964,3964
1514351757,4134,4134
1514438022,4231,4231
1514524373,4058,4058
1514610775,4088,4088
1514697092,3891,3891
1514783594,3558,3558
1514869990,3445,3445
1514956352,3787,3787
1515042745,4013,4013
1515129206,3732,3732
1515215664,4004,4004
1515302217,3753,3753
1515388387,3483,3483
1515475203,3980,3980
1515561264,4139,4139
1515647609,4159,4159
1515733973,4202,4202
