DateTime,AddedIPs,RemovedIPs
1512623538,201,6187
1512709977,6824,180
1512796631,5690,5961
1512882655,5661,5704
1512969443,5619,5633
1513054931,5147,5677
1513142018,5455,5277
1513228632,5606,5330
1513314756,4999,5677
1513401417,4432,5101
1513487812,4211,4527
1513573966,4047,4232
1513660370,3985,4042
1513746798,4051,3985
1513833184,4159,4067
1513919589,3949,4185
1514006233,4112,3946
1514092597,4106,4121
1514178694,3963,4115
1514265317,4105,3976
1514351758,4187,4092
1514438023,4243,4167
1514524374,4375,4241
1514610776,4428,4386
1514697092,4540,4411
1514783594,4258,4513
1514869990,4338,4277
1514956353,4469,4379
1515042746,4510,4433
1515129206,4467,4470
1515215664,4601,4468
1515302217,4468,4579
1515388387,4344,4442
1515475204,4433,4391
1515561265,4501,4434
1515647609,4262,4464
1515733974,4516,4256
