DateTime,AddedIPs,RemovedIPs
1512623538,1,23
1512709977,12,1
1512796631,6,10
1512882655,10,8
1512969443,2,9
1513054932,7,3
1513142018,11,6
1513228632,23,12
1513314757,2,23
1513401418,1,1
1513487812,16,2
1513573966,11,16
1513660370,14,10
1513746799,11,14
1513833185,4,11
1513919590,1,5
1514006234,7,1
1514092598,6,7
1514178695,7,5
1514265318,6,7
1514351758,25,4
1514438023,4,28
1514524374,14,4
1514610776,26,14
1514697093,10,24
1514783595,2,12
1514869991,12,1
1514956353,1,12
1515042746,4,1
1515129206,3,5
1515215664,4,2
1515302217,2,3
1515388388,2,3
1515475204,7,3
1515561265,9,7
1515647610,1,7
1515733974,8,2
