DateTime,AddedIPs,RemovedIPs
1512623539,4,108
1512709978,109,4
1512796631,60,36
1512882656,48,50
1512969444,33,50
1513054932,56,46
1513142019,51,60
1513228633,38,54
1513314757,54,36
1513401418,22,112
1513487813,38,27
1513573966,16,35
1513660371,22,20
1513746799,18,23
1513833185,130,13
1513919590,68,51
1514006234,49,54
1514092598,62,49
1514178695,53,72
1514265318,41,57
1514351759,52,48
1514438024,49,54
1514524375,44,60
1514610777,43,51
1514697093,57,40
1514783595,33,56
1514869991,40,35
1514956353,36,48
1515042746,33,30
1515129207,36,33
1515215665,39,43
1515302218,43,42
1515388388,33,40
1515475205,44,44
1515561266,61,37
1515647610,38,68
1515733974,65,33
