DateTime,AddedIPs,RemovedIPs
1512623539,4,83
1512709978,118,4
1512796632,74,77
1512882656,140,72
1512969444,93,137
1513054933,84,96
1513142019,97,81
1513228633,153,87
1513314757,105,169
1513401418,92,100
1513487813,107,80
1513573966,101,109
1513660371,78,109
1513746799,69,82
1513833185,81,70
1513919590,81,81
1514006234,94,89
1514092598,102,86
1514178695,95,104
1514265318,104,93
1514351759,112,106
1514438025,102,112
1514524375,97,86
1514610777,113,105
1514697094,89,120
1514783596,83,91
1514869992,45,69
1514956354,50,56
1515042747,79,49
1515129207,83,89
1515215665,82,79
1515302218,64,83
1515388388,89,66
1515475205,79,86
1515561266,123,78
1515647611,85,131
1515733975,83,79
