DateTime,AddedIPs,RemovedIPs
1512623539,2,73
1512709979,108,2
1512796632,106,99
1512882657,104,108
1512969445,94,102
1513054933,77,99
1513142020,76,71
1513228634,149,77
1513314758,100,154
1513401419,95,98
1513487814,78,95
1513573967,74,79
1513660372,65,76
1513746800,72,61
1513833186,108,75
1513919591,78,105
1514006235,53,81
1514092599,78,56
1514178696,79,74
1514265319,65,77
1514351760,119,68
1514438026,110,121
1514524376,78,105
1514610778,117,79
1514697094,76,112
1514783596,79,69
1514869993,71,68
1514956354,75,84
1515042747,105,81
1515129208,85,101
1515215666,78,87
1515302219,89,77
1515388389,112,84
1515475206,230,105
1515561267,121,177
1515647612,127,134
1515733975,133,137
