DateTime,AddedIPs,RemovedIPs
1512623538,196,4741
1512709977,5354,109
1512796631,3544,3982
1512882655,3148,3677
1512969443,3347,3150
1513054931,3237,3403
1513142018,3198,3193
1513228632,3435,3124
1513314756,2896,3233
1513401417,2564,3092
1513487812,2476,2715
1513573965,2453,2556
1513660370,2790,2487
1513746798,2786,2660
1513833184,2609,2746
1513919589,2656,2608
1514006233,2513,2648
1514092597,2409,2593
1514178694,2226,2360
1514265317,2562,2285
1514351758,2586,2413
1514438023,2587,2503
1514524373,2485,2636
1514610775,2516,2493
1514697092,2353,2545
1514783594,2082,2426
1514869990,2140,2262
1514956352,2532,2183
1515042745,2520,2302
1515129206,2250,2533
1515215664,2555,2287
1515302217,2291,2533
1515388387,2102,2358
1515475203,2661,2164
1515561265,2663,2489
1515647609,2598,2587
1515733973,2584,2542
