DateTime,AddedIPs,RemovedIPs
1512623538,201,6032
1512709977,6602,181
1512796631,5523,5793
1512882655,5458,5542
1512969443,5411,5439
1513054931,4990,5484
1513142018,5284,5088
1513228632,5445,5147
1513314756,4923,5522
1513401417,4388,5004
1513487812,4132,4470
1513573966,4000,4161
1513660370,3922,3996
1513746798,4017,3927
1513833184,4097,4020
1513919589,3902,4124
1514006234,4052,3902
1514092597,4054,4058
1514178694,3913,4065
1514265317,4061,3933
1514351758,4106,4042
1514438023,4199,4090
1514524374,4329,4195
1514610776,4386,4338
1514697092,4484,4364
1514783595,4211,4460
1514869991,4298,4234
1514956353,4400,4339
1515042746,4463,4358
1515129206,4403,4435
1515215664,4534,4415
1515302217,4433,4504
1515388387,4285,4395
1515475204,4370,4338
1515561265,4447,4367
1515647610,4201,4412
1515733974,4470,4201
