DateTime,Entries,UniqueIPs
1512592339,6069,6069
1512623538,238,238
1512709977,6659,6659
1512796631,6389,6389
1512882655,6305,6305
1512969443,6277,6277
1513054931,5783,5783
1513142018,5979,5979
1513228632,6277,6277
1513314756,5678,5678
1513401417,5062,5062
1513487812,4724,4724
1513573966,4563,4563
1513660370,4489,4489
1513746798,4579,4579
1513833184,4656,4656
1513919589,4434,4434
1514006234,4584,4584
1514092597,4580,4580
1514178694,4428,4428
1514265317,4556,4556
1514351758,4620,4620
1514438023,4729,4729
1514524374,4863,4863
1514610776,4911,4911
1514697092,5031,5031
1514783595,4782,4782
1514869991,4846,4846
1514956353,4907,4907
1515042746,5012,5012
1515129206,4980,4980
1515215664,5099,5099
1515302217,5028,5028
1515388387,4918,4918
1515475204,4950,4950
1515561265,5030,5030
1515647610,4819,4819
1515733974,5088,5088
