DateTime,Entries,UniqueIPs
1512592340,23,23
1512623538,1,1
1512709977,12,12
1512796631,8,8
1512882655,10,10
1512969443,3,3
1513054932,7,7
1513142018,12,12
1513228633,23,23
1513314757,2,2
1513401418,2,2
1513487812,16,16
1513573966,11,11
1513660370,15,15
1513746799,12,12
1513833185,5,5
1513919590,1,1
1514006234,7,7
1514092598,6,6
1514178695,8,8
1514265318,7,7
1514351758,28,28
1514438024,4,4
1514524374,14,14
1514610776,26,26
1514697093,12,12
1514783595,2,2
1514869991,13,13
1514956353,2,2
1515042746,5,5
1515129206,3,3
1515215664,5,5
1515302217,4,4
1515388388,3,3
1515475204,7,7
1515561266,9,9
1515647610,3,3
1515733974,9,9
