DateTime,AddedIPs,RemovedIPs
1512623539,147,4182
1512709978,6528,91
1512796632,4981,5682
1512882656,3961,5181
1512969445,4496,4048
1513054933,5133,4392
1513142019,6211,4870
1513228634,6696,5940
1513314758,5050,6736
1513401419,3271,5695
1513487813,3202,3451
1513573967,2787,3224
1513660372,3646,2766
1513746800,3753,3568
1513833186,3922,3736
1513919591,3953,3890
1514006235,4062,3962
1514092599,3530,4101
1514178696,3033,3544
1514265319,3591,3045
1514351760,3854,3536
1514438025,4086,3819
1514524375,3852,4061
1514610777,3867,3874
1514697094,3212,3975
1514783596,3000,3266
1514869992,2907,2935
1514956354,3698,2937
1515042747,3947,3667
1515129207,3773,3935
1515215665,3764,3734
1515302218,3319,3813
1515388389,3047,3383
1515475206,4107,2967
1515561267,4192,4037
1515647611,4146,4152
1515733975,4225,4198
