DateTime,Entries,UniqueIPs
1512592341,4204,4204
1512623539,169,169
1512709978,6606,6606
1512796632,5905,5905
1512882656,4685,4685
1512969445,5133,5133
1513054933,5874,5874
1513142019,7215,7215
1513228634,7971,7971
1513314758,6285,6285
1513401419,3861,3861
1513487813,3612,3612
1513573967,3175,3175
1513660372,4055,4055
1513746800,4240,4240
1513833186,4426,4426
1513919591,4489,4489
1514006235,4589,4589
1514092599,4018,4018
1514178696,3507,3507
1514265319,4053,4053
1514351760,4371,4371
1514438025,4638,4638
1514524375,4429,4429
1514610777,4422,4422
1514697094,3659,3659
1514783596,3393,3393
1514869992,3365,3365
1514956354,4126,4126
1515042747,4406,4406
1515129207,4244,4244
1515215665,4274,4274
1515302218,3780,3780
1515388389,3444,3444
1515475206,4584,4584
1515561267,4739,4739
1515647611,4733,4733
1515733975,4760,4760
