DateTime,AddedIPs,RemovedIPs
1512623539,4,148
1512709979,180,2
1512796632,123,143
1512882657,155,121
1512969445,164,161
1513054933,117,162
1513142020,129,118
1513228634,167,123
1513314758,141,177
1513401419,116,144
1513487814,122,109
1513573967,137,124
1513660372,115,137
1513746800,129,108
1513833186,119,132
1513919591,107,126
1514006235,137,107
1514092599,159,124
1514178696,120,175
1514265319,151,117
1514351760,123,146
1514438025,109,123
1514524376,127,114
1514610778,125,116
1514697094,141,132
1514783596,128,134
1514869992,136,134
1514956354,112,135
1515042747,95,110
1515129207,114,92
1515215666,126,116
1515302219,101,121
1515388389,131,114
1515475206,152,127
1515561267,210,144
1515647611,142,211
1515733975,163,153
