DateTime,AddedIPs,RemovedIPs
1512623539,2,71
1512709979,108,2
1512796632,102,99
1512882657,101,104
1512969445,92,100
1513054934,75,96
1513142020,75,69
1513228634,149,77
1513314758,99,153
1513401419,95,97
1513487814,78,95
1513573967,74,79
1513660372,65,76
1513746800,71,61
1513833186,109,75
1513919591,78,105
1514006235,53,81
1514092599,78,56
1514178696,79,74
1514265320,65,77
1514351760,118,68
1514438026,111,121
1514524376,78,105
1514610778,117,79
1514697095,74,112
1514783596,79,67
1514869993,71,68
1514956355,74,84
1515042747,106,81
1515129208,85,101
1515215666,78,87
1515302219,89,77
1515388389,112,84
1515475207,230,105
1515561268,120,177
1515647612,128,135
1515733976,132,136
