DateTime,AddedIPs,RemovedIPs
1498906505,0,2
1498992905,0,1
1499050505,2,0
1499079305,2,3
1499108106,2,0
1499122506,4,0
1499151306,1,5
1499165706,1,0
1499194506,1,0
1499208905,1,0
1499237705,0,5
1499280905,2,0
1499295305,1,0
1499338508,2,2
1499352906,1,0
1499367306,1,0
1499396106,1,0
1499410505,1,3
1499453705,1,0
1499482508,2,0
1499496906,0,5
1499597706,1,0
1499655305,1,0
1499684106,1,0
1499698506,1,0
1499727306,1,0
1499770505,0,12
1499799306,2,0
1499856906,1,3
1499885706,1,0
1499900106,2,0
1499928905,0,4
1499957706,1,0
1499972105,2,0
1499986505,5,0
1500029705,0,8
1500044105,4,0
1500116105,1,2
1500130505,1,0
1500288906,1,0
1500303307,4,0
1500317706,2,0
1500360905,0,3
1500389705,2,0
1500418506,1,0
1500447305,0,1
1500476106,1,0
1500490506,1,0
1500548105,1,11
1500576908,1,0
1500591306,1,0
1500634506,0,4
1500706636,0,3
1500764236,1,0
1500807436,0,2
1500879436,0,1
1500908235,1,0
1500922636,2,0
1500980234,1,0
1501009035,3,0
1501037836,2,0
1501052236,0,3
1501066635,1,0
1501109835,1,0
1501153035,0,4
1501210635,1,0
1501239436,0,8
1501268235,2,0
1501325835,1,2
1501354636,0,0
1501441035,1,0
1501469836,1,0
1501484236,0,2
1501498635,4,0
1501527436,1,0
1501556235,1,0
1501570637,1,4
1501613835,2,0
1501671437,1,2
1501685837,1,0
1501714636,3,0
1501743437,0,3
1501757836,1,0
1501772236,4,0
1501801039,4,0
1501844235,1,5
1501873036,2,0
1501916237,0,4
1502089035,1,2
1502103437,1,0
1502132236,1,0
1502175436,0,5
1502189836,2,0
1502204237,2,0
1502218637,5,0
1502247436,2,0
1502261835,0,4
1502319435,1,0
1502348236,0,4
1502391437,3,0
1502405836,1,0
1502420236,1,0
1502434635,0,2
1502463436,1,0
1502521036,0,4
1502593036,1,0
1502607435,0,2
1502621835,1,0
1502751436,1,0
1502794637,1,7
1502809036,2,0
1502881036,0,3
1502924236,2,0
1502967435,0,13
1503010637,1,0
1503039436,0,3
1503082637,1,0
1503125705,0,1
1503356106,2,0
1503399305,0,2
1503442505,6,0
1503456905,1,0
1503471305,0,3
1503514505,2,0
1503572106,1,2
