DateTime,Entries,UniqueIPs
1509563414,3786,3786
1509577814,3896,3896
1509592213,3986,3986
1509606613,4096,4096
1509621014,4323,4323
1509635538,691,691
1509649814,4553,4553
1509664214,4665,4665
1509678616,4808,4808
1509693015,4923,4923
1509707415,5049,5049
1509721818,5155,5155
1509736215,5151,5151
1509750616,5274,5274
1509765016,5231,5231
1509779416,5208,5208
1509793817,5257,5257
1509808215,5194,5194
1509822616,5078,5078
1509837015,4949,4949
1509851415,4856,4856
1509865816,4823,4823
1509880216,4779,4779
1509894615,4733,4733
1509909015,4640,4640
1509923414,4564,4564
1509937814,4509,4509
1509952215,4485,4485
1509966614,4458,4458
1509981018,4503,4503
1509995416,4507,4507
1510009814,4474,4474
1510024214,4297,4297
1510038614,4326,4326
1510053014,4328,4328
1510067414,4304,4304
1510081814,4313,4313
1510096213,4303,4303
1510110614,4243,4243
1510125014,4220,4220
1510139413,4188,4188
1510153814,4192,4192
1510168214,4166,4166
1510182613,4137,4137
1510197013,4016,4016
1510211414,3973,3973
1510225814,3921,3921
1510240213,3818,3818
1510254612,3812,3812
1510269012,3766,3766
1510283414,3769,3769
1510297812,3795,3795
1510312213,3809,3809
1510326613,3799,3799
1510341013,3801,3801
1510355420,3807,3807
1510369819,3840,3840
1510384212,3817,3817
1510398615,3777,3777
1510413013,3717,3717
1510427413,3710,3710
1510441813,3646,3646
1510456215,3599,3599
1510470615,3556,3556
1510485015,3501,3501
1510499414,3406,3406
1510513817,3340,3340
1510528212,3347,3347
1510542613,3285,3285
1510557013,3299,3299
1510571412,3284,3284
1510585811,3253,3253
1510600213,3228,3228
1510614611,3193,3193
1510629012,3165,3165
1510643412,3179,3179
1510657812,3240,3240
1510672211,3237,3237
1510686612,3338,3338
1510701011,3427,3427
1510715412,3437,3437
1510729812,3531,3531
1510744213,3544,3544
1510758612,3632,3632
1510773012,3692,3692
1510787412,3739,3739
1510801813,3759,3759
1510816212,3830,3830
1510830614,3919,3919
1510845014,3880,3880
1510859413,3838,3838
1510873813,3837,3837
1510888215,3813,3813
1510902614,3882,3882
1510917014,3954,3954
1510931414,3944,3944
1510945813,3973,3973
1510960214,3996,3996
1510974613,3978,3978
1510989014,4022,4022
1511003415,4086,4086
1511017814,4134,4134
1511032215,4176,4176
1511046614,4206,4206
1511061014,4116,4116
1511075414,4156,4156
1511089815,4178,4178
1511104214,4166,4166
1511118613,4197,4197
1511133014,4265,4265
1511147414,4199,4199
1511161814,4160,4160
1511176215,4248,4248
1511190614,4231,4231
1511205014,4211,4211
1511219414,4190,4190
1511233814,4160,4160
1511248213,4130,4130
1511262614,4089,4089
1511277014,3961,3961
1511291414,3903,3903
1511305814,3859,3859
1511320213,3789,3789
1511334613,3734,3734
1511349021,3680,3680
1511363416,3641,3641
1511377817,3884,3884
1511388615,4078,4078
1511403013,4278,4278
1511417414,4466,4466
1511431816,4736,4736
1511446215,4993,4993
1511460616,5186,5186
1511475016,5297,5297
1511489416,5355,5355
1511503816,5367,5367
1511518216,5375,5375
1511532616,5098,5098
1511547016,4870,4870
1511561414,4755,4755
1511575816,4622,4622
1511590214,4441,4441
1511604615,4278,4278
1511619014,4248,4248
1511633415,4182,4182
1511647814,4199,4199
1511662214,4161,4161
1511676613,4138,4138
1511691013,4228,4228
1511705413,4164,4164
1511719814,4063,4063
1511734213,4054,4054
1511748616,4046,4046
1511763013,4039,4039
1511777413,3993,3993
1511791814,3955,3955
1511806217,3976,3976
1511820613,3978,3978
1511835013,3963,3963
1511849414,4129,4129
1511863814,4343,4343
1511878216,4555,4555
1511892618,4664,4664
1511907019,4789,4789
1511921415,4872,4872
1511935817,5143,5143
1511950223,5462,5462
1511964617,5777,5777
1511979017,6077,6077
1511993419,6376,6376
1512007819,6584,6584
1512022220,6787,6787
1512036629,6992,6992
1512051023,7178,7178
