DateTime,AddedIPs,RemovedIPs
1509549015,33,16
1509563416,16,11
1509577818,22,16
1509592216,14,14
1509606615,17,12
1509621016,16,17
1509631817,20,13
1509646219,20,11
1509660616,16,13
1509675017,18,18
1509689417,20,22
1509703819,26,36
1509718218,26,15
1509732623,11,22
1509747019,10,16
1509761418,14,17
1509775818,10,17
1509790218,9,25
1509804619,13,20
1509819027,2,16
1509833420,0,18
1509847818,4,20
1509862218,5,32
1509876618,7,22
1509891017,3,9
1509905417,7,9
1509919816,5,10
1509934217,2,10
1509948616,4,12
1509963016,7,8
1509977417,5,2
1509991818,11,1
1510006219,10,4
1510020616,10,4
1510035016,6,7
1510049416,9,4
1510063816,20,8
1510078216,12,4
1510092617,18,5
1510107015,17,4
1510121416,16,6
1510135816,12,12
1510150217,14,8
1510164617,14,9
1510179018,11,9
1510193416,14,8
1510207816,18,11
1510222217,15,19
1510236615,11,15
1510251015,16,14
1510265415,11,21
1510279815,9,13
1510294215,10,12
1510308615,11,18
1510323015,26,12
1510337416,11,11
1510351816,13,16
1510366215,5,12
1510380616,12,17
1510395016,5,17
1510409416,7,9
1510423816,11,9
1510438215,11,9
1510452615,5,9
1510467015,6,26
1510481418,6,12
1510495817,7,11
1510510222,16,9
1510524615,13,5
1510539032,7,15
1510553414,8,5
1510567814,24,7
1510582214,14,14
1510596618,10,5
1510611014,8,12
1510625414,8,3
1510639814,14,7
1510654214,7,14
1510668615,12,11
1510683015,16,9
1510697417,11,9
1510711815,7,10
1510726215,5,22
1510740615,4,11
1510755016,7,12
1510769415,7,5
1510783814,11,15
1510798215,4,11
1510812615,11,10
1510827016,11,13
1510841416,7,12
1510855815,8,13
1510870216,5,6
1510884616,4,3
1510899016,1,3
1510913416,2,9
1510927818,7,7
1510942216,2,10
1510956617,3,7
1510971016,2,10
1510985416,2,9
1510999817,2,11
1511014216,2,3
1511028618,17,4
1511043018,11,4
1511057417,9,2
1511071817,2,3
1511086216,3,5
1511100617,3,5
1511115016,4,1
1511129416,4,3
1511143816,4,1
1511158217,3,1
1511172616,4,9
1511187020,13,15
1511201417,6,3
1511215816,10,11
1511230216,8,0
1511244616,19,5
1511259017,17,3
1511273416,21,6
1511287816,14,5
1511302427,3,4
1511316631,5,1
1511331016,10,10
1511345415,9,10
1511359816,10,9
1511374218,11,7
1511388618,12,10
1511403016,7,25
1511417417,14,19
1511431819,11,18
1511446218,11,6
1511460618,13,5
1511475018,6,7
1511489419,9,7
1511503819,17,11
1511518219,15,11
1511532619,8,8
1511547019,4,12
1511561417,9,9
1511575819,4,12
1511590217,10,13
1511604618,5,9
1511619017,7,11
1511633419,11,9
1511647817,8,13
1511662217,4,20
1511676616,6,7
1511691016,3,3
1511705416,3,4
1511719817,5,3
1511734216,10,10
1511748621,9,4
1511763016,4,9
1511777416,5,15
1511791816,5,15
1511806220,7,1
1511820616,13,4
1511835016,11,1
1511849416,4,3
1511863817,2,5
1511878219,4,5
1511892621,4,8
1511907023,2,10
1511921418,12,7
1511935820,4,2
1511950226,1,9
1511964620,10,9
1511979020,3,9
1511993422,2,7
1512007822,2,6
1512022222,9,3
1512036637,7,7
1512051026,16,5
1512065426,5,9
1512079824,12,5
1512094227,4,1
1512108622,7,0
1512123025,5,12
1512137426,9,2
1512151824,3,2
1512166233,7,7
1512180623,1,7
1512195021,2,12
1512209421,2,12
1512223821,6,12
1512238222,8,6
1512252621,1,4
1512267022,4,5
1512281420,2,7
1512295819,8,7
1512310218,9,6
1512324618,5,4
1512339018,1,0
1512353418,2,2
1512367817,1,4
1512382218,6,9
1512396617,13,2
1512411018,8,5
1512425417,4,2
1512439818,5,9
1512454216,6,4
1512468616,18,10
1512483016,7,0
1512497416,30,2
1512511816,16,2
1512526216,9,0
1512540616,13,12
1512555016,11,8
1512569416,12,6
1512583984,7,6
1512601816,7,6
1512616220,5,11
1512630616,0,15
1512645016,1,25
1512659417,5,17
1512674005,3,7
1512688215,7,16
1512702616,5,10
1512717015,4,18
1512731416,10,5
1512745814,8,9
1512760215,7,2
1512774614,4,3
1512789131,2,0
1512800358,2,2
1512814214,4,4
1512828615,5,3
1512843014,6,7
1512857414,6,6
1512871815,19,4
1512886214,6,10
1512900614,2,10
1512915014,2,6
1512929414,2,5
1512943814,11,1
1512958214,2,1
1512972613,8,6
1512987014,6,6
1513001416,13,7
1513015814,1,8
1513030214,7,14
1513044613,3,5
1513059013,4,2
1513073414,10,4
1513087814,6,0
1513102213,9,9
1513116614,5,11
1513131016,8,2
1513145413,4,11
1513159814,15,6
1513174214,5,4
1513188617,10,5
1513203015,14,5
1513217416,5,3
1513231814,4,10
1513246214,5,6
1513260615,4,9
1513275015,6,3
1513289414,4,8
1513303814,2,11
1513318214,3,9
1513332614,2,5
1513347014,6,12
1513361414,5,14
1513375814,5,3
1513390214,0,7
1513404614,4,3
1513419014,2,7
1513433414,6,5
1513447814,6,2
1513462215,6,3
1513476615,13,2
1513491014,0,2
1513505414,2,6
1513519813,7,4
1513534214,3,4
1513548614,2,3
1513563012,2,1
1513577413,2,5
1513591813,2,7
1513606213,8,7
1513620614,2,0
1513635013,4,11
1513649416,4,0
1513663813,8,3
1513678217,7,6
1513692613,8,2
1513707015,4,3
1513721413,1,2
1513735815,5,2
1513750213,3,10
1513764613,4,2
1513779014,6,3
1513793414,6,5
1513807814,3,8
1513822213,2,7
1513836613,7,6
1513851014,2,6
1513865414,3,3
1513879813,1,3
1513894214,7,6
1513908613,6,3
1513923013,4,1
1513937414,3,7
1513951813,5,5
1513966213,7,2
1513980613,3,5
1513995013,0,5
1514009413,2,1
1514023813,1,4
1514038213,2,4
1514052613,1,8
1514067014,5,6
1514081413,1,3
1514095813,4,1
1514110213,1,8
1514124613,10,5
1514139013,8,2
1514153412,3,0
1514167813,1,3
1514182213,1,1
1514196612,0,2
1514211013,9,3
1514225413,2,1
1514239813,1,0
1514254213,2,3
1514268613,0,3
1514283013,1,10
1514297414,9,7
1514311813,3,2
1514326214,3,1
1514340614,0,2
1514355013,2,1
1514369413,2,10
1514383813,18,3
1514398213,3,1
1514412614,6,1
1514427014,2,1
1514441413,2,4
1514455813,4,7
1514470213,14,3
1514484614,3,1
1514499013,4,1
1514513413,3,1
1514527813,6,11
1514542212,4,11
1514553013,7,4
1514567413,6,4
1514581813,0,1
1514596215,0,2
1514610613,3,6
1514625014,4,12
1514639414,3,5
1514653813,3,2
1514668214,1,5
1514682613,3,5
1514697014,2,3
1514711413,6,9
1514725813,9,3
1514740213,4,0
1514754613,4,1
1514769013,3,4
1514783413,3,5
1514797813,2,1
1514812212,2,2
1514826612,3,2
1514841012,2,3
1514855413,2,2
1514869813,3,10
1514884212,1,7
1514898612,5,2
1514913012,2,4
1514927412,2,2
1514941812,2,3
1514998502,14,8
1515010211,0,4
1515024611,2,1
1515039011,5,4
1515053411,1,4
1515067811,2,2
1515082232,3,3
1515096611,4,4
1515111011,0,2
1515125411,2,0
1515139811,2,4
1515154211,3,4
1515168611,3,1
1515183019,2,1
1515197412,0,7
1515211812,3,1
1515226212,0,2
1515240611,3,3
1515255012,4,3
1515269411,0,1
1515283811,3,3
1515298211,2,2
1515312611,0,5
1515327011,2,2
1515341411,2,0
1515355811,1,1
1515370210,2,2
1515384611,4,2
1515399012,8,4
1515413411,5,0
1515427811,8,1
1515442214,6,3
1515456613,2,0
1515471012,4,1
1515485412,0,2
1515499812,5,2
1515514213,4,1
1515528616,4,2
1515543012,1,4
1515557412,2,9
1515571812,1,7
1515586214,5,5
1515600614,6,4
1515615012,6,5
1515629412,2,1
1515643812,3,1
1515658212,0,7
1515672612,2,3
1515687012,1,2
1515701413,1,0
1515715814,1,4
1515730212,7,4
1515744612,0,5
1515759012,3,6
1515773412,6,5
1515787812,4,3
1515802212,2,1
1515831013,4,3
1515845413,1,0
1515859813,0,2
1515874213,18,5
1515888613,31,2
1515903013,21,1
1515917412,12,4
1515931812,14,6
1515946212,27,3
1515960612,27,0
1515975012,17,3
1515989412,17,2
1516003812,3,1
1516018212,48,2
1516032612,56,32
1516047012,8,25
1516061412,6,19
1516075812,4,8
1516090212,8,22
1516104612,7,33
1516119012,11,19
1516133412,6,16
1516147819,12,11
1516162221,11,13
1516176626,5,73
1516191024,4,22
1516205426,6,7
1516219832,13,4
1516234229,6,9
1516248629,7,6
1516263028,9,7
1516277428,12,9
1516291823,12,8
1516306220,11,16
1516320619,9,6
1516335019,1,2
1516349417,0,6
1516363811,2,10
1516378219,1,9
1516392612,4,5
1516407012,3,8
1516421411,2,10
1516435812,2,13
1516450212,3,12
1516464614,7,12
1516479016,7,3
1516493420,4,1
1516507811,1,0
1516522211,6,3
1516536611,4,2
1516551011,4,5
1516565416,3,1
1516579811,0,3
1516594211,1,2
1516608612,0,5
1516623011,4,6
1516637414,1,9
1516651814,4,1
1516666211,0,2
1516680613,3,6
1516695014,3,4
1516709411,1,5
1516723812,3,0
1516738212,3,0
1516752612,3,1
1516767012,0,2
1516781413,2,3
