DateTime,AddedIPs,RemovedIPs
1466409137,37,83
1466493612,35,39
1466581937,35,0
1466666416,39,39
1466754739,38,74
1466839227,38,0
1466927779,39,72
1467012737,41,0
1467097292,43,38
1467186011,43,36
1467270495,41,39
1467358818,42,45
1467445950,37,79
1467672269,46,78
1467757215,45,46
1467841940,39,45
1467930755,38,43
1468015459,40,42
1468104252,39,44
1468188737,35,0
1468275383,42,0
1468361787,39,38
1468447266,43,73
1468535778,43,39
1468620255,38,0
1468708578,36,41
1468794495,35,75
1468878977,41,0
1468967300,43,81
1469052088,42,40
1469140346,42,0
1469224842,36,42
1469311240,30,42
1469400247,38,69
1469484972,39,46
1469571615,48,0
1469659935,41,80
1469744663,38,0
1469829146,39,40
1469917462,42,72
1470003847,42,0
1470088572,41,39
1470176896,40,81
1470261368,39,0
1470349933,45,86
1470434442,42,43
1470522737,38,42
1470607453,35,0
1470696253,39,78
1470782431,46,41
1470866897,41,40
1470955211,38,41
1471039940,35,37
1471128254,38,39
1471212974,47,42
1471299373,43,0
1471387690,41,88
1471472177,43,41
1471560733,40,37
1471645695,44,38
1471730174,37,0
1471818976,40,83
1471903694,36,0
1471992988,41,85
1472077713,36,41
1472162180,43,0
1472250735,34,81
1472337396,45,36
1472422341,35,0
1472510902,40,78
1472595615,42,0
1472683943,42,72
1472768903,40,39
1472854102,42,0
1472942411,43,81
1473027374,40,42
1473114248,38,0
1473198975,39,40
1473287538,41,42
1473372052,40,42
1473461052,42,79
1473545538,39,0
1473634339,44,82
1473720737,40,38
1473805221,43,40
1473892336,44,0
1473977054,40,85
1474065372,44,0
1474149849,40,40
1474238426,39,40
1474322902,43,43
1474409358,44,42
1474497853,41,86
1474582578,42,42
1474676899,37,42
1474761372,36,45
1474849459,41,42
1474936819,41,41
1475021297,41,42
1475109619,34,37
1475195295,37,31
1475279806,32,0
1475368343,30,76
1475453062,31,0
1475541611,40,41
1475628253,37,82
1475713214,37,0
1475801768,30,69
1475886782,45,31
1475971263,33,0
1476059542,40,62
1476146176,38,0
1476231375,38,38
1476318271,35,69
1476404676,44,0
1476492972,39,82
1476579651,39,33
1476664101,39,0
1476748847,35,43
1476835454,38,36
1476924014,42,74
1477008977,40,0
1477097775,36,83
1477182501,35,0
1477269143,44,80
1477353661,43,36
1477441936,37,40
1477526656,43,0
1477614970,44,80
1477699459,39,0
1477788734,44,76
1477875144,42,42
1477971371,41,39
1478048452,44,41
1478132902,41,47
1478217861,42,0
1478304864,42,86
1478393289,45,41
1478478500,43,0
1478563458,45,42
1478652011,40,43
1478737219,43,38
1478825551,40,87
1478910754,41,43
1478999002,44,44
1479083620,46,44
1479168275,46,46
1479257783,42,43
1479342513,42,42
1479430867,39,40
1479517468,41,41
1479602192,40,0
1479687151,44,42
1479775949,43,84
1479859478,42,0
1479947787,48,81
1480032509,47,0
1480120823,46,46
1480205539,42,40
1480294100,37,89
1480378829,43,0
1480467710,39,86
1480552581,48,0
1480638033,44,93
1480726570,46,44
1480810337,45,0
1480899147,43,83
1480984230,43,42
1481069378,44,0
1481157200,43,44
1481242591,47,47
1481331381,41,87
1481416594,45,43
1481501328,45,0
1481590105,47,88
1481674824,49,47
1481763153,47,46
1481848357,42,46
1481936661,43,41
1482021385,42,0
1482106369,44,91
1482195659,42,46
1482280101,37,47
1482368666,35,44
1482453634,39,36
1482538127,34,0
1482970829,34,202
1482974650,39,35
1483063280,42,38
1483147948,39,36
1483236494,44,0
1483320984,43,0
1483409294,35,0
1483494259,36,0
1483579228,37,37
1483667782,46,30
1483752272,36,43
1490858174,50,351
1490916492,46,0
1491004895,41,0
1491090029,39,0
1491174499,42,0
1491263060,38,0
1491347350,34,0
1491436097,41,0
1491521067,42,40
1491609705,41,73
1491694354,40,0
1491779308,38,69
1491867853,44,0
1491952829,29,76
1492041406,41,42
1492126337,43,46
1492211543,39,0
1492300590,29,77
1492385783,43,38
1492470748,34,0
1492559066,36,70
1492643779,35,0
1492732358,39,83
1492817552,38,32
1492902519,31,0
1492991314,34,70
1493076263,42,41
1493163628,40,0
1493248588,35,72
1493337699,39,36
1493453540,43,35
1493514496,33,34
1493596357,28,40
1493681048,32,0
1493766078,31,40
1493854809,32,76
1493940250,39,0
1494025288,35,31
1494114013,34,32
1494198989,31,29
1494284531,27,25
1494373452,31,65
1494458626,39,0
1494543711,31,33
1494630273,35,77
1494716680,40,0
1494805934,39,67
1494891155,40,30
1494976123,43,0
1495064894,42,77
1495149850,42,43
1495238545,42,43
1495323155,47,42
1495409571,45,0
1495494753,41,39
1495583313,40,87
1495669954,38,38
1495754923,41,39
1495839868,36,0
1495928431,32,88
1496013376,35,0
1496098900,35,40
1496185707,41,40
1496274988,34,73
1496362114,37,36
1496447785,42,34
1496532492,38,0
1496621311,41,69
1496706022,38,38
1496791236,38,41
1496880123,37,31
1496964501,40,0
1497053312,44,86
1497138511,41,36
1497223235,37,0
1497312091,41,79
1497396754,42,41
1497485535,42,39
1497570269,43,40
1497655242,39,0
1497743549,38,82
1497828990,41,43
1497914911,41,0
1498003305,38,77
1498087938,40,0
1498176994,37,84
1498262521,39,37
1498347626,40,0
1498436192,37,83
1498519706,41,0
1498608742,42,81
1498693950,40,36
1498778669,47,0
1498867948,38,75
1498952906,39,42
1499040996,40,34
1499126896,47,44
1499212344,43,0
1499297064,41,45
1499386116,45,88
1499471296,39,0
1499556030,42,38
1499645075,44,42
1499729548,46,42
1499818582,42,85
1499901856,43,0
1499990918,40,86
1500075383,39,0
1500163937,41,84
1500249387,25,0
1500334589,26,92
1500423392,23,46
1500508348,22,42
1500593297,20,0
1500682095,15,81
1500767309,20,0
1500852026,18,20
1500940573,26,43
1501025771,17,0
1501114343,41,46
1501200279,48,18
1501285713,41,0
1501372652,46,36
1501458518,42,25
1501546834,43,30
1501632277,46,40
1501717230,42,0
1501805797,43,84
1501890758,44,45
1501976199,39,0
1502064986,40,82
1502149712,46,0
1502235151,31,40
1502324198,34,74
1502409693,41,0
1502495065,40,41
1502583627,43,80
1502669072,41,0
1502754264,39,41
1502840194,44,82
1502928989,44,0
1503013953,44,42
1503099388,44,39
1503187947,45,44
1503272911,44,44
1503361454,40,86
1503446427,40,43
1503530896,44,0
1503678013,43,89
1503697215,41,0
1503782171,46,40
1503871269,43,42
1503956658,45,46
1504041616,45,39
1504107384,39,43
1504130421,39,0
1504214901,46,44
1504299854,38,46
1504388171,45,85
1504475534,45,0
1504560257,42,38
1504645233,37,44
1504734498,41,80
1504819456,38,39
1504908261,37,91
1504992968,38,0
1505077697,38,41
1505166735,36,79
1505252655,38,39
1505338097,33,0
1505426658,40,70
1505511853,41,0
1505597292,40,37
1505685632,34,82
1505771054,35,0
1505856018,34,38
1505941937,34,38
1506030971,38,31
1506115454,40,37
1506200899,40,43
1506289936,35,41
1506374656,38,33
1506459856,37,31
1506548657,39,74
1506633380,33,0
1506722174,34,78
1506806654,34,37
1506895463,37,37
1506980647,26,37
1507066806,39,36
1507152977,31,0
1507239614,40,64
1507326256,33,0
1507410979,35,32
1507499534,40,34
1507585212,32,34
1507670173,36,34
1507759224,32,76
1507844658,37,44
1507930099,38,0
1508016015,35,69
1508104826,33,36
1508189779,41,0
1508275693,46,68
1508360921,41,0
1508450441,41,71
1508535372,41,35
1508620813,41,0
1508706036,38,40
1508796026,42,86
1508882179,39,45
1508967141,36,38
1509052337,36,0
1509138731,39,42
1509228421,32,80
1509313696,32,40
1509398427,44,0
1509483640,39,32
1509573370,37,68
1509658820,37,39
1509743771,41,44
1509832088,41,0
1509917053,41,35
1510002970,43,40
1510091539,43,80
1510176493,34,0
1510263140,36,37
1510349296,45,87
1510437854,43,44
1510523290,35,41
1510608499,33,36
1510694178,38,0
1510783465,33,77
1510868656,28,37
1510956964,33,35
1511041461,27,0
1511126896,33,35
1511215453,35,66
1511301138,42,37
1511385850,41,0
1511472255,33,32
1511561064,41,27
1511645532,36,35
1511730250,34,31
1511819528,42,35
1511904979,40,35
1511990409,36,37
1512076579,36,41
1512165858,36,38
1512251055,31,73
1512336009,25,41
1512421457,32,0
1512510496,29,82
1512602456,27,42
1512680657,37,0
1512767535,29,35
1512856810,32,57
1512942258,37,23
1513029373,35,35
1513114098,31,0
1513199530,30,26
1513289540,27,69
1513371860,31,0
1513461609,26,31
1513547287,29,67
1513632498,37,0
1513717695,33,37
1513804332,35,54
1513891216,35,0
1513980256,24,59
1514065453,30,0
1514150691,25,25
1514239449,23,67
1514324908,33,34
1514411534,36,39
1514497698,38,30
1514583136,34,0
1514669775,33,25
1514754728,22,31
1514794089,0,25
1514841132,22,0
1514930423,25,65
1515016574,35,38
1515101299,36,0
1515186261,36,38
1515275769,27,47
1515360742,40,0
1515446896,41,46
1515534502,41,0
1515620418,36,29
1515707059,39,76
1515792012,41,37
1515877939,27,0
1515966503,31,80
1516052170,41,40
1516137385,29,0
1516223288,40,40
1516309458,39,38
1516396582,41,40
1516485861,36,55
1516570336,31,0
1516655050,31,37
1516743860,40,76
