DateTime,Entries,UniqueIPs
1466289854,457,472
1466376268,454,470
1466462648,455,471
1466547135,450,466
1466635696,441,457
1466720178,435,452
1466808497,424,443
1466893218,417,440
1466981531,419,440
1467066501,419,441
1467152896,422,444
1467241258,423,445
1467325933,423,445
1467414503,423,445
1467673242,414,435
1467757708,419,439
1467842183,430,451
1467930753,434,455
1468015456,428,449
1468102582,415,431
1468191140,412,428
1468277532,418,434
1468362254,430,447
1468447695,435,454
1468536253,430,448
1468620976,441,459
1468709550,430,448
1468795942,423,441
1468882575,424,442
1468967298,443,461
1469055861,435,453
1469140343,437,454
1469228652,444,459
1469315056,438,454
1469401694,436,449
1469486175,436,449
1469574741,437,449
1469659216,441,454
1469747539,443,456
1469832009,451,464
1469920336,439,451
1470004812,445,457
1470091449,439,451
1470177851,453,465
1470266172,451,463
1470350659,450,462
1470438972,443,455
1470523452,438,451
1470611773,436,449
1470698420,444,457
1470782904,455,468
1470870972,445,456
1470955693,447,458
1471044257,441,452
1471128751,440,451
1471217068,432,443
1471303696,436,447
1471388468,442,454
1471476973,445,456
1471561455,438,449
1471650497,436,446
1471734990,434,444
1471823532,427,437
1471908023,431,440
1471992984,448,457
1472081550,448,457
1472166078,461,473
1472254574,446,456
1472341481,445,456
1472426417,444,455
1472514747,443,454
1472599453,447,458
1472688054,451,462
1472772740,450,461
1472857942,458,469
1472946257,441,451
1473031215,447,457
1473117851,453,463
1473206183,465,475
1473290658,464,477
1473379251,465,477
1473463703,462,474
1473552049,467,479
1473636991,475,487
1473723390,475,487
1473811939,479,492
1473896889,481,495
1473981620,477,492
1474070445,479,497
1474155134,475,494
1474243458,477,496
1474327934,481,500
1474416255,485,503
1474500981,489,509
1474589779,489,509
1474676422,490,510
1474765006,486,504
1474849454,489,507
1474936815,485,503
1475021295,488,506
1475109614,487,505
1475194811,490,508
1475283655,489,508
1475368342,483,501
1475453060,483,502
1475539457,486,505
1475627778,478,497
1475714654,473,492
1475801057,468,488
1475889859,468,485
1475974572,467,484
1476059305,466,483
1476146174,466,483
1476233053,469,486
1476321375,463,480
1476407775,461,476
1476492493,460,475
1476579149,462,477
1476667452,454,468
1476751940,455,470
1476840253,461,475
1476926651,454,469
1477013296,452,466
1477097774,441,455
1477188264,436,448
1477272975,433,444
1477357455,435,447
1477445812,440,452
1477530495,447,458
1477618807,456,467
1477703318,464,476
1477789945,461,474
1477876577,460,473
1477971145,466,479
1478051782,469,483
1478136522,470,485
1478221294,481,496
1478308344,484,499
1478396667,489,503
1478481380,497,511
1478569965,491,504
1478654440,490,503
1478742985,486,500
1478829377,483,496
1478914578,484,497
1479002665,483,496
1479087382,487,499
1479172108,489,501
1479261663,503,515
1479346343,502,515
1479434652,500,513
1479521296,496,509
1479606021,495,508
1479694813,492,505
1479780074,506,520
1479867155,493,507
1479951625,495,507
1480040178,493,504
1480124662,493,504
1480213212,490,501
1480297950,479,488
1480386511,478,486
1480471463,477,485
1480556437,488,496
1480644744,473,480
1480729693,469,477
1480818529,463,471
1480902983,452,460
1480992411,455,463
1481078790,456,467
