DateTime,Entries,UniqueIPs
1466374337,328,335
1466462896,272,280
1466547373,304,318
1466635697,304,320
1466720179,290,308
1466808499,248,267
1466893219,285,305
1466981532,273,287
1467066502,318,333
1467151468,332,344
1467239773,337,343
1467324268,343,349
1467411400,346,351
1467672267,225,230
1467757213,221,228
1467841939,255,264
1467930754,202,212
1468015457,239,251
1468102583,243,256
1468191141,275,291
1468277533,274,290
1468362255,283,296
1468447695,297,306
1468536254,305,316
1468620977,304,316
1468709551,312,319
1468796431,314,320
1468882829,312,317
1468967299,312,318
1469052086,352,359
1469140344,345,354
1469224838,339,351
1469311239,335,349
1469397863,329,347
1469486176,323,342
1469570893,316,335
1469659217,292,304
1469743696,332,346
1469832009,290,304
1469916494,295,307
1470004812,301,309
1470091211,306,314
1470177852,312,317
1470262373,353,361
1470350660,319,325
1470435131,361,367
1470523453,318,323
1470607941,359,365
1470694573,360,365
1470782905,315,320
1470867232,313,318
1470955694,311,315
1471040424,311,318
1471128752,303,312
1471213233,302,311
1471301534,295,307
1471386030,331,344
1471474341,285,297
1471559056,323,336
1471648097,295,301
1471732811,335,341
1471817581,328,335
1471906341,282,289
1471992986,285,292
1472077711,321,330
1472166079,288,296
1472250734,327,339
1472337395,337,351
1472426418,301,311
1472510901,342,355
1472595614,340,356
1472683942,305,317
1472768901,344,357
1472857943,300,311
1472942410,301,310
1473031216,341,351
1473114019,346,357
1473202346,304,311
1473286819,344,354
1473375378,306,315
1473459859,350,361
1473548180,309,318
1473633146,349,360
1473719548,307,316
1473808106,308,317
1473893056,311,318
1473981620,308,315
1474066577,310,316
1474151293,354,362
1474239650,309,314
1474324101,350,356
1474412459,344,353
1474497141,338,350
1474585940,335,347
1474676431,288,304
1474765006,283,300
1474849456,288,304
1474936816,291,306
1475021296,291,305
1475109616,301,311
1475194811,295,307
1475279805,329,344
1475368343,325,337
1475453061,311,324
1475539459,311,325
1475627779,264,279
1475714656,262,276
1475801057,262,276
1475886088,275,289
1475974573,268,285
1476059308,269,289
1476144492,268,288
1476233055,269,287
1476317540,303,321
1476403944,309,326
1476492494,268,284
1476579151,302,319
1476663622,315,325
1476751941,266,276
1476836415,302,314
1476922809,273,281
1477009451,283,292
1477097775,293,300
1477182499,321,333
1477269140,282,295
1477357455,291,304
1477441935,293,303
1477530496,296,304
1477614970,296,304
1477703355,297,306
1477789946,303,307
1477873229,342,348
1477971146,307,311
1478047979,302,307
1478132656,341,347
1478221295,301,310
1478308345,304,309
1478392832,306,309
1478481380,306,311
1478566094,346,352
1478650573,337,347
1478739146,299,309
1478825769,338,348
1478910752,335,342
1478999001,298,306
1479083619,343,351
1479172109,303,309
1479257781,314,318
1479342506,354,362
1479430866,315,327
1479517466,314,327
1479602190,356,370
1479690977,319,329
1479775949,362,375
1479863303,316,327
1479947787,319,328
1480036347,317,328
1480120822,360,372
1480209373,323,332
1480294099,367,376
1480378828,364,372
1480465966,358,365
1480554523,306,315
1480639694,349,359
1480724425,346,358
1480813287,349,360
1480899689,308,320
1480986355,301,313
1481073701,298,311
1481157143,333,350
1481246430,295,308
1481331376,293,307
1481416587,321,347
1481505155,298,318
1481590104,341,364
