DateTime,AddedIPs,RemovedIPs
1514355626,37,0
1514360426,24,91
1514364627,70,15
1514369427,18,0
1514375427,47,35
1514380228,36,36
1514386227,32,42
1514391626,34,52
1514396428,63,32
1514401827,28,40
1514407227,34,47
1514412627,39,55
1514418027,47,69
1514424026,44,54
1514428826,56,78
1514434827,91,53
1514440227,70,34
1514445627,43,34
1514450428,35,65
1514456427,72,22
1514461828,22,58
1514467827,43,46
1514472627,16,42
1514477427,32,75
1514481028,39,0
1514485227,53,35
1514490027,43,35
1514495428,35,40
1514500829,42,57
1514506827,50,62
1514512226,53,54
1514517627,34,83
1514522427,50,55
1514528426,61,32
1514533827,65,31
1514539306,33,61
1514544027,64,22
1514550027,46,53
1514555428,20,33
1514560827,46,31
1514566227,29,73
1514571627,42,0
1514577027,77,37
1514581826,38,79
1514587228,32,57
1514593827,39,59
1514598630,41,56
1514604027,59,0
1514610027,40,124
1514614226,31,46
1514620227,64,0
1514625026,47,82
1514629834,21,0
1514634027,18,39
1514639427,65,26
1514645426,33,34
1514650229,34,41
1514653824,23,0
1514657427,19,56
1514661025,33,54
1514667027,55,42
1514671827,54,54
1514677228,32,59
1514682626,43,45
1514688027,28,76
1514694027,34,75
1514698826,30,50
1514704826,50,83
1514709626,53,52
1514715627,99,32
1514721628,57,15
1514726426,48,84
1514731227,53,24
1514737229,36,0
1514742027,36,65
1514747428,41,57
1514753428,56,43
1514758832,44,0
1514764227,34,63
1514769027,45,50
1514775027,34,0
1514780427,28,85
1514785827,33,43
1514790027,30,66
1514794230,23,0
1514797824,35,0
1514801428,47,42
1514806827,73,26
1514812827,59,29
1514818227,40,87
1514823027,57,33
1514829027,64,0
1514834428,16,83
1514839228,38,60
1514844627,34,49
1514850627,124,0
1514856027,56,33
1514866827,156,79
1514871627,38,69
1514877170,28,0
1514883628,43,108
1514888427,39,71
1514893828,38,61
1514899229,76,20
1514904027,86,0
1514910028,31,41
1514914828,29,76
1514918425,41,0
1514923828,53,48
1514929227,22,48
1514935227,31,34
1514940626,43,48
1514946027,25,91
1514951427,34,46
1514956227,37,0
1514961627,28,45
1514965224,16,0
1514970627,35,104
1514976028,32,71
1514981427,52,90
1514986827,60,75
1514992227,108,44
1514997627,78,26
1515003027,46,50
1515006625,54,43
1515012027,69,19
1515018028,41,41
1515022827,45,106
1515028827,39,88
1515034227,25,60
1515039027,21,42
1515044427,43,35
1515049872,23,69
1515055227,47,0
1515061227,36,36
1515066031,25,77
1515072027,49,55
1515076828,62,79
1515082227,84,19
1515087627,27,29
1515091224,25,0
1515096627,54,71
1515100225,46,0
1515104427,25,76
1515109229,39,0
1515114627,37,41
1515119426,22,37
1515123626,15,45
1515129026,41,54
1515134427,26,27
1515140427,44,44
1515144627,28,53
1515152424,51,50
1515158427,70,156
1515163827,73,55
1515168627,59,0
1515174027,20,23
1515179430,87,71
1515183025,34,0
1515186628,28,24
1515190224,23,10
1515193827,21,33
1515199227,28,30
1515204630,29,29
1515209429,23,40
1515213629,26,43
1515219026,30,41
1515224427,23,52
1515229827,26,38
1515235227,35,66
1515241227,50,65
1515246027,68,62
1515251427,43,34
1515256827,31,28
1515260425,26,0
1515265227,46,44
1515268825,33,32
1515273029,27,34
1515279027,36,19
1515283228,26,34
1515287427,21,52
1515293426,28,28
1515298227,36,42
1515301824,34,0
1515306627,34,86
1515310827,29,46
1515314424,20,0
1515318027,37,0
1515321630,44,47
1515327026,60,116
1515332427,52,0
1515338426,26,25
1515343227,53,45
1515346825,21,66
1515350427,23,0
1515354025,23,14
1515357627,24,18
1515361224,20,0
1515364227,23,32
1515372024,48,27
1515376227,25,47
1515381626,29,49
1515386438,40,64
1515391826,22,0
1515397227,39,28
1515401426,45,96
1515405627,44,56
1515409224,33,0
1515412827,24,0
1515416424,22,54
1515420026,40,0
1515423624,19,32
1515427226,24,54
1515430825,25,0
1515435028,19,56
1515439826,28,23
1515443425,16,0
1515447026,17,23
1515454225,48,91
1515461425,32,36
1515465027,37,0
1515468624,17,46
1515472226,22,41
1515475824,30,0
1515479427,62,37
1515483627,50,101
1515487225,33,0
1515490827,24,0
1515496227,33,79
1515499825,40,32
1515503427,32,38
1515509427,34,51
1515514228,30,17
1515519627,30,22
1515522624,18,0
1515526826,24,64
1515530430,25,0
1515535228,42,65
1515543024,40,42
1515546627,40,0
1515552026,50,62
1515558027,82,49
1515563427,68,46
1515568827,36,28
1515573627,24,52
1515578427,63,38
1515583227,26,34
1515588627,31,27
1515594027,18,0
1515598827,25,26
1515604227,28,30
1515607824,13,0
1515612628,29,45
1515619824,47,52
1515624027,31,56
1515629427,32,42
1515633024,29,59
1515638426,53,0
1515643826,67,113
1515649226,36,0
1515654028,82,36
1515657625,53,39
1515661828,50,40
1515667828,39,19
1515672628,33,31
1515678029,29,27
1515683429,30,28
1515688230,29,32
1515692429,26,60
1515697829,46,0
1515702630,26,60
1515706226,20,0
1515709829,32,37
1515714029,39,43
1515719430,86,83
1515724828,31,53
1515728425,35,0
1515733828,47,25
1515738028,46,42
1515743428,26,28
1515747629,22,0
1515754826,32,23
1515759029,23,68
1515764429,24,58
1515769828,21,0
1515774631,37,65
1515778225,22,0
1515785425,63,34
1515789628,32,124
1515793225,62,0
1515796828,64,45
1515802229,212,67
1515807630,291,35
1515813030,139,105
1515818431,127,0
1515823831,104,20
1515829230,16,36
1515832828,19,26
1515838231,28,30
1515841827,26,21
1515847235,28,35
1515852633,29,32
1515857431,21,44
1515861028,32,0
1515868828,54,92
1515871831,19,46
1515875428,52,0
1515879031,34,72
1515883232,51,75
1515886828,52,0
1515892829,33,63
1515897628,73,53
1515903629,47,43
1515908428,32,77
1515912026,61,0
1515917428,37,58
1515922829,22,0
1515928229,24,53
1515931225,16,0
1515935429,17,42
1515939026,24,0
1515945028,47,19
1515949228,36,81
1515952826,49,0
1515956429,20,17
1515960026,22,32
1515963629,55,31
1515971427,63,37
1515975028,23,531
1515980428,34,227
1515985828,35,42
1515989426,19,0
1515994828,36,34
1515997825,27,68
1516001428,22,0
1516005026,22,0
1516009228,17,55
1516014028,49,20
1516018229,22,31
1516023629,48,114
1516029028,44,0
1516032025,16,45
1516035629,19,0
1516043425,44,104
1516046428,32,41
1516050628,48,68
1516055429,42,33
1516059026,18,0
1516063228,23,38
1516068628,51,44
1516073428,31,77
1516077629,87,0
1516083028,166,49
1516088429,50,8
1516093230,27,33
1516100426,32,30
1516108227,26,91
1516113029,38,65
1516116627,35,0
1516120230,28,68
1516123826,30,60
1516127430,43,0
1516131026,31,36
1516134630,51,33
1516138829,49,48
1516144229,57,49
1516147227,117,0
1516151430,265,64
1516155630,87,0
1516161031,56,75
1516167031,130,48
1516171829,60,41
1516177230,37,20
1516182636,51,54
1516187429,30,45
1516192860,42,54
1516198230,43,0
1516204230,54,49
1516209030,46,66
1516214430,36,22
1516219829,35,85
1516225230,51,0
1516228827,34,54
1516234829,58,34
1516240229,60,101
1516245029,42,0
1516251028,48,64
1516256428,27,112
1516261229,47,79
1516267229,31,52
1516272028,53,22
1516275626,21,0
1516281628,55,65
1516286428,28,49
1516291828,23,50
1516296028,25,69
1516300829,42,54
1516305629,69,0
1516309829,21,43
1516314629,48,84
1516318226,23,0
1516321829,37,0
1516326028,26,371
1516330829,40,0
1516335028,28,105
1516340429,49,36
1516344628,19,45
1516349428,40,42
1516354828,39,50
1516360228,35,72
1516365629,36,0
1516368627,29,0
1516372228,19,31
1516375825,20,29
1516380033,39,23
1516383626,29,0
1516387228,13,42
1516392629,31,39
1516397429,42,83
1516401629,35,81
1516406428,49,42
1516410628,27,0
1516414828,31,86
1516420228,61,33
1516425628,30,59
1516430428,48,47
1516435829,48,31
1516441228,37,84
1516444825,43,0
1516450229,43,54
1516455627,31,51
1516460429,44,41
1516464629,45,0
1516468226,46,0
1516471828,23,27
1516477229,54,29
1516482028,42,24
1516486228,24,46
1516491028,29,29
1516495228,22,35
1516500628,57,27
1516506029,40,60
1516511431,41,31
1516515026,26,52
1516520429,46,58
1516526428,23,42
1516531230,57,80
1516536628,41,42
1516542028,27,0
1516548029,44,49
1516552830,29,79
1516558229,56,46
1516561825,53,0
1516566629,57,32
1516570828,30,25
1516576229,41,27
1516581628,44,33
1516585226,21,50
1516591229,38,67
1516596028,24,32
1516601428,30,82
1516606829,41,0
1516611629,24,136
1516619426,37,0
1516624828,33,87
1516630228,58,40
1516635028,38,36
1516638626,19,0
1516642229,26,0
1516649426,59,115
1516653628,17,28
1516657226,94,0
1516662628,77,44
1516667429,53,65
1516671026,63,0
1516675230,31,45
1516680628,60,46
1516686028,32,47
1516690828,27,44
