DateTime,Entries,UniqueIPs
1514344828,4021,4081
1514349628,4014,4074
1514355626,4016,4076
1514360426,4012,4072
1514364627,4010,4069
1514369427,4000,4058
1514375427,3990,4047
1514380228,3981,4038
1514386227,3975,4032
1514391626,3975,4032
1514396428,3969,4027
1514401827,3966,4024
1514407227,3949,4008
1514412627,3942,4001
1514418027,3940,3999
1514424026,3930,3989
1514428826,3926,3985
1514434827,3928,3987
1514440227,3934,3993
1514445627,3931,3990
1514450428,3926,3985
1514456427,3927,3986
1514461828,3922,3981
1514467827,3920,3979
1514472627,3916,3974
1514477427,3914,3972
1514481028,3920,3978
1514485227,3911,3969
1514490027,3917,3975
1514495428,3912,3971
1514500829,3896,3956
1514506827,3895,3955
1514512226,3891,3951
1514517627,3887,3947
1514522427,3892,3952
1514528426,3883,3942
1514533827,3894,3953
1514539306,3888,3947
1514544027,3892,3951
1514550027,3891,3950
1514555428,3887,3945
1514560827,3889,3947
1514566227,3883,3941
1514571627,3892,3950
1514577027,3909,3967
1514581826,3895,3953
1514587228,3900,3958
1514593827,3904,3962
1514598630,3894,3952
1514604027,3897,3955
1514610027,3890,3948
1514614226,3887,3945
1514620227,3890,3948
1514625026,3898,3956
1514629834,3897,3955
1514634027,3895,3953
1514639427,3900,3958
1514645426,3894,3952
1514650229,3888,3946
1514653824,3889,3947
1514657427,3891,3949
1514661025,3888,3946
1514667027,3893,3951
1514671827,3896,3954
1514677228,3895,3953
1514682626,3894,3952
1514688027,3892,3950
1514694027,3889,3947
1514698826,3886,3944
1514704826,3888,3946
1514709626,3883,3941
1514715627,3888,3947
1514721628,3901,3960
1514726426,3920,3979
1514731227,3921,3980
1514737229,3921,3980
1514742027,3923,3982
1514747428,3926,3985
1514753428,3928,3987
1514758832,3929,3988
1514764227,3913,3971
1514769027,3915,3973
1514775027,3913,3970
1514780427,3912,3969
1514785827,3905,3962
1514790027,3904,3960
1514794230,3892,3948
1514797824,3895,3951
1514801428,3901,3957
1514806827,3892,3948
1514812827,3899,3956
1514818227,3898,3955
1514823027,3903,3961
1514829027,3901,3960
1514834428,3894,3953
1514839228,3892,3951
1514844627,3889,3947
1514850627,3972,4031
1514856027,3990,4049
1514866827,4068,4126
1514871627,4069,4127
1514877170,4068,4126
1514883628,4068,4126
1514888427,4064,4122
1514893828,4064,4122
1514899229,4072,4130
1514904027,4077,4136
1514910028,4076,4135
1514914828,4074,4133
1514918425,4078,4137
1514923828,4072,4130
1514929227,4066,4125
1514935227,4055,4113
1514940626,4068,4127
1514946027,4052,4109
1514951427,4050,4108
1514956227,4044,4102
1514961627,4041,4099
1514965224,4042,4101
1514970627,4030,4089
1514976028,4025,4084
1514981427,4032,4090
1514986827,4031,4089
1514992227,4035,4092
1514997627,4034,4091
1515003027,4032,4089
1515006625,4036,4093
1515012027,4035,4092
1515018028,4034,4090
1515022827,4032,4089
1515028827,4028,4085
1515034227,4017,4074
1515039027,4013,4070
1515044427,4016,4073
1515049872,4018,4075
1515055227,4007,4062
1515061227,4003,4058
1515066031,4010,4065
1515072027,4007,4062
1515076828,4007,4062
1515082227,4015,4070
1515087627,4009,4063
1515091224,4012,4066
1515096627,4008,4062
1515100225,4014,4068
1515104427,4000,4054
1515109229,4002,4056
1515114627,3999,4053
1515119426,3988,4043
1515123626,3978,4033
1515129026,3966,4021
1515134427,3961,4016
1515140427,3962,4017
1515144627,3961,4016
1515152424,3958,4013
1515158427,3966,4022
1515163827,3973,4029
1515168627,3977,4033
1515174027,3970,4026
1515179430,3995,4051
1515183025,4001,4057
1515186628,3994,4051
1515190224,3991,4048
1515193827,3983,4040
1515199227,3980,4037
1515204630,3972,4029
1515209429,3962,4019
1515213629,3960,4017
1515224427,3945,4002
1515229827,3951,4008
1515235227,3951,4008
1515241227,3957,4014
1515246027,3969,4027
1515251427,3977,4035
1515256827,3977,4034
1515260425,3980,4037
1515265227,3978,4035
1515268825,3983,4040
1515273029,3983,4040
1515279027,3979,4036
1515283228,3977,4034
1515287427,3975,4032
1515293426,3980,4037
1515298227,3975,4032
1515301824,3980,4037
1515306627,3972,4029
1515310827,3964,4021
1515314424,3971,4028
1515318027,3973,4030
1515321630,3980,4037
1515327026,3985,4042
1515332427,3979,4036
1515338426,3978,4035
1515343227,3977,4034
1515346825,3981,4038
1515350427,3980,4037
1515354025,3977,4033
1515357627,3978,4034
1515361224,3968,4023
1515364227,3971,4026
1515372024,3967,4022
1515376227,3959,4015
1515381626,3960,4016
1515386438,3958,4014
1515391826,3956,4012
1515397227,3956,4012
1515401426,3954,4010
1515405627,3952,4008
1515409224,3955,4011
1515412827,3957,4014
1515416424,3951,4009
1515420026,3955,4013
1515423624,3958,4016
1515427226,3956,4013
1515430825,3951,4008
1515435028,3941,3998
1515439826,3925,3982
1515443425,3927,3984
1515447026,3926,3982
